name01#0,"""希爾妲"""
name01#1,"""ヒルダ"""
11_voice_navi02_103#0,"""好，熱身<br>已經夠了。<br>那麼，移往攻擊方法的指南。"""
11_voice_navi02_104#0,"""好，實際使用武器看看。"""
text00#0,"""關於擅長的武器『攻擊方法』、『蓄力射擊』"""
text01#0,"""教學<br>說明關於擅長武器的『攻擊方法』。<br><br>擅長的武器是近距離攻擊的刀與<br>適合遠距離攻擊的弓箭兩種。<br>可搭配使用這兩種武器，是擅長遠近作戰的戰鬥類型<br><br>開始使用射擊武器「弓箭」的訓練。"""
text02#0,"""按<%NormalAttack>執行一般攻擊。"""
text03#0,"""按<%NormalAttack>執行一般攻擊。"""
text100#0,"""以<%NormalAttack>進行一般攻擊！"""
text1000#0,"""以<%NormalAttack>進行一般攻擊！"""
11_voice_navi02_103#1,"""よし、ウォーミングアップは<br>十分なようだな。<br>では、攻撃手段の指南に移るぞ。"""
11_voice_navi02_104#1,"""さあ、実際に武器を使ってみるんだ。"""
text00#1,"""バウンサーの『攻撃方法』について"""
text01#1,"""チュートリアル<br>バウンサーの『攻撃方法』について、説明します。<br><br><c 00ffff>バウンサーは、打撃力と法撃力に優れたクラスです。<br>連続攻撃や空中戦闘に優れた「ジェットブーツ」と<br>華麗な剣さばきで敵を圧倒する「デュアルブレード」の<br>両方を得意とし、テクニックも使用できる万能タイプです。<c><br><br>まずは、法撃武器「ジェットブーツ」を使った<br>訓練を開始します。"""
text02#1,"""<%NormalAttack>を押すことで、通常攻撃を行います。"""
text03#1,"""<%NormalAttack>を押すことで、通常攻撃を行います。"""
text100#1,"""<%NormalAttack>で通常攻撃を行え！"""
text1000#1,"""<%NormalAttack>で通常攻撃を行え！"""
11_voice_navi02_105#0,"""快點熟悉才有幫助。<br>接著的課程內容是<br>3段連續攻擊。"""
11_voice_navi02_106#0,"""好了，等待時機<br>試試3段攻擊。"""
text00#2,"""關於『連續攻擊』"""
text01#2,"""教學<br>說明關於『連續攻擊』。<br><br>連續施展<%NormalAttack><br>連續執行3段攻擊。"""
text02#2,"""教學<br>說明關於『連續攻擊』。<br><br>連續施展<%NormalAttack><br>連續執行3段攻擊。"""
text100#2,"""以<%NormalAttack>決定3段攻擊！"""
text1000#2,"""以<%NormalAttack>決定3段攻擊！"""
11_voice_navi02_105#1,"""飲み込みが早くて助かるな。<br>続いてのカリキュラムは、<br>３段の連続攻撃だ。"""
11_voice_navi02_106#1,"""では、タイミングを取って<br>３段攻撃を行ってみろ。"""
text00#3,"""『連続攻撃』について"""
text01#3,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text02#3,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text100#3,"""<%NormalAttack>で３段攻撃を決めろ！"""
text1000#3,"""<%NormalAttack>で３段攻撃を決めろ！"""
