text01#0,"""One Wizard weapon of choice is the deck.<br>Let's just say it's a special weapon."""
text02#0,"""You can place decks far away from yourself,<br>then unleash photon magic at a distance.<br>I call it remote invocation."""
text03#0,"""You can also use them as a standard weapon<br>to attack enemies a short distance away.<br>They can be very useful."""
text04#0,"""So, do decks pique your interest?<br>Then you might as well have this.<br>It's an old one, but it's still in working order."""
text05#0,"""There's no manual, but it's quicker to<br>get a feel for it by using it yourself, anyway.<br>Why don't you go give it a try?"""
text06#0,"""Decks"""
text07#0,"""Decks are card-shaped weapons that you can throw at a desired location,<br>then trigger photon magic. """
text08#0,"""Try basic deck attacks and photon magics for yourself.<br><br>They have a wide range of uses. Try throwing them into a place that<br>a Wizard cannot approach safely, and triggering an attack there."""
text01#1,"""……フォース系の武装に<br>タリスというものがある。<br>一言でいえば、特殊。"""
text02#1,"""……タリスは遠い場所に設置が可能。<br>そこにテクニックを遠隔発動できる。<br>簡単に言えば、テクニックの設置発動。"""
text03#1,"""……もちろん、通常の武器として<br>ちょっと離れた相手に攻撃することも<br>できる。特殊だけど便利。"""
text04#1,"""……タリスに興味出てきた？<br>なら、これを渡しておく。<br>私のお下がりで申し訳ないけど。"""
text05#1,"""……座学よりも、実践したほうが<br>感覚を掴むのも早いと思う。<br>少し、練習してきたらどうかしら。"""
text06#1,"""『タリス』について"""
text07#1,"""武器「タリス」について、説明します。<br><br>タリスは、カード状のパーツを飛ばしてテクニックを<br>パーツから発動させる独特な動きをする法撃武器です。"""
text08#1,"""タリス系の基本攻撃と<br>テクニックの動きを確認してみましょう。<br><br>フォースが近づきにくい場所にタリスを飛ばし<br>そこを起点にしての攻撃など、バリエーションが広がります。"""
