Primm#0,"""プリムシリーズ"""
Tzvia#0,"""ツヴィアシリーズ"""
Silver Primm#0,"""シルヴァプリムシリーズ"""
Trois De#0,"""トロワーデシリーズ"""
Theseus#0,"""テルセウスシリーズ"""
Gold Primm#0,"""ゴルドプリムシリーズ"""
Glissen#0,"""グリッセンシリーズ"""
Frostel#0,"""フロステルシリーズ"""
Cattleya#0,"""キャトリアシリーズ"""
Vialto#0,"""ヴィアルトシリーズ"""
Foursis#0,"""フォーシスシリーズ"""
Resurgir#0,"""リサージュシリーズ"""
Flamel#0,"""フランメルシリーズ"""
Evolcoat#0,"""エヴォルコートシリーズ"""
Straga#0,"""ストラーガシリーズ"""
Tempesta#0,"""テンペスターシリーズ"""
Quintel#0,"""クィンテルシリーズ"""
Gothica#0,"""ゴルシカシリーズ"""
Fivla#0,"""フィブラシリーズ"""
Greaga#0,"""グレティーガシリーズ"""
Relik#0,"""レリクシリーズ"""
Cinquem#0,"""サンクエイムシリーズ"""
Lumiere#0,"""ルメイラーシリーズ"""
Obscura#0,"""オブスクラルシリーズ"""
Kukuhroziat#0,"""ククロゼアトシリーズ"""
Sechetyl#0,"""ゼクストルシリーズ"""
Rokz#0,"""ロクスシリーズ"""
Sixiemes#0,"""-"""
Roughewn#0,"""-"""
Evolorbit#0,"""エヴォルオーヴァシリーズ"""
Renaissa#0,"""レネッサシリーズ"""
Evoleclipse#0,"""エヴォルイクリスシリーズ"""
Vladstram#0,"""ヴラドストラムシリーズ"""
Rugged#0,"""ラゲードシリーズ"""
Etincelle#0,"""エティンセルシリーズ"""
Kaizaar#0,"""カイゼラムシリーズ"""
Codeck#0,"""コルディークシリーズ"""
Crystia#0,"""クリスティアシリーズ"""
Obsidia#0,"""オブゾディアシリーズ"""
Effulgent#0,"""セイガヨウシリーズ"""
Tenebrous#0,"""セイガインシリーズ"""
Primm Libra#0,"""プリム・リブラシリーズ"""
Kouklophis#0,"""ククロフィスシリーズ"""
Gunblaze#0,"""ガンブレイズシリーズ"""
Neos Astraean#0,"""ネオス・アストリオンシリーズ"""
Neos Justitean#0,"""ネオス・ユースティロンシリーズ"""
Trunkul#0,"""トランクールシリーズ"""
Tisah#0,"""テスアシリーズ"""
Revita#0,"""リヴィーターシリーズ"""
Hextra#0,"""エクステルシリーズ"""
Revolcoat#0,"""レヴォルコートシリーズ"""
Monarkais#0,"""モノレクスシリーズ"""
Verschmelz#0,"""ファーシュメルシリーズ"""
Flugelgard#0,"""フリューガルドシリーズ"""
Alcinq#0,"""アルクエイムシリーズ"""
Brawnaga#0,"""ブロナーガシリーズ"""
Herite#0,"""ヘリテシリーズ"""
Melek#0,"""メレクシリーズ"""
Variocool#0,"""バリオクールシリーズ"""
Argenti#0,"""ラジャンティエシリーズ"""
Reyaar#0,"""ロウゼラムシリーズ"""
Millenium Round#0,"""ミレニアムラウンドシリーズ"""
Qual De#0,"""クアルデシリーズ"""
Geant#0,"""ジオントシリーズ"""
Greas#0,"""グライアスシリーズ"""
Vijf#0,"""ヴェフスシリーズ"""
Vida#0,"""ヴィダーシリーズ"""
Vio#0,"""ヴィオーシリーズ"""
Schwar#0,"""シュヴァルシリーズ"""
1064_test#0,"""セスタトシリーズ"""
Sestato#0,"""セスタトシリーズ"""
1065_test#0,"""ディフローシリーズ"""
Defro#0,"""ディフローシリーズ"""
1066_test#0,"""ベルグリンシリーズ"""
Behlgren#0,"""ベルグリンシリーズ"""
1067_test#0,"""エルヴィオースシリーズ"""
El Vios#0,"""エルヴィオースシリーズ"""
1068_test#0,"""アンシェンシリーズ"""
Ancien#0,"""アンシェンシリーズ"""
Provo#0,"""プロヴォシリーズ"""
Sest#0,"""セスティシリーズ"""
Efitus#0,"""エフィタスシリーズ"""
Einea#0,"""エイネアシリーズ"""
Gun Blade#0,"""￥ガンスラッシュシリーズ"""
