un_020140_0010#0,"""哇哈，你好。<br>你很努力喔。"""
un_020140_0020#0,"""對了，你認不認識<br>這項武器種類呢？"""
un_020140_0030#0,"""這是刀。<br>是那三英雄之首的雷吉亞斯<br>最為擅長的特殊武裝。"""
un_020140_0040#0,"""好像是雷吉亞斯<br>終於點頭要將這項技術<br>流傳給後進的樣子呢。"""
un_020140_0050#0,"""換句話說，就是雷吉亞斯親授！\u3000怎麼了？<br>哈哈，不過我並沒有<br>那麼值得驕傲的身手啦。"""
un_020140_0060#0,"""好吧，做大姐的就特別<br>將這刀的特性<br>傳授給你囉！"""
un_020140_0070#0,"""這類型武器的特性呢......<br>嗯，這樣說吧......總之<br>可說是非常重視時機的武器吧。"""
un_020140_0080#0,"""調整呼吸，一口氣拔刀！<br>配合呼吸，後發先至！"""
un_020140_0090#0,"""......大概就這樣。<br>難怪雷吉亞斯沒辦法傳授技術呢。<br>這非常消耗精神。"""
un_020140_0100#0,"""若是不配合呼吸、心中混亂，<br>刀就會變成一把廢鐵。<br>是一種非常需要經驗的武器。"""
un_020140_0110#0,"""不過，當你適應招式之後，<br>就能發揮無與倫比的攻擊力。<br>呵，可以摸摸看啊？"""
un_020140_0010#1,"""やはっ、こんにちは。<br>がんばってるみたいだね。"""
un_020140_0020#1,"""そういやあなた、この武器種<br>知ってるかな？"""
un_020140_0030#1,"""これは、カタナ。<br>かの三英雄の筆頭、レギアスが<br>最も得意とする、特殊武装だよ。"""
un_020140_0040#1,"""レギアスがようやく<br>後進にその技術を伝える気に<br>なってくれたみたいでさ。"""
un_020140_0050#1,"""いわば、レギアス直伝！\u3000かな？<br>ははっ、そう威張れるような<br>腕前でもないけどね、わたしは。"""
un_020140_0060#1,"""よーし、それじゃ特別に<br>おねえさんがカタナの特性を<br>ご教授してあげちゃおう！"""
un_020140_0070#1,"""武器種としての特性はー……<br>んー、そうだなぁ……とにかく<br>タイミングが重要な武器、かな。"""
un_020140_0080#1,"""呼吸を整え、一気に抜刀！<br>呼吸を合わせて、後の先を取る！"""
un_020140_0090#1,"""……そんな感じ。<br>レギアスが技術伝えないわけだよ。<br>すっごく神経を使うからねえ。"""
un_020140_0100#1,"""呼吸が合わず、心が乱れると<br>カタナ自身もなまくらになる。<br>なによりも経験が必要な武器だよ。"""
un_020140_0110#1,"""でも、そのぶん型にハマったときの<br>攻撃力なんかは、たまらない。<br>まあ、一度は触ってみ？"""
