11_voice_NPC_5018_101#0,"""ああ、君か。<br>ちょうど良いところに来たね。"""
Chroto_favs_before_020#0,"""ほら、これを君にプレゼントだよ。<br>受け取ってくれるかい？"""
Chroto_favs_after_010#0,"""日頃のお礼、といったところ。<br>まあ、気にせず受け取って欲しいな。"""
Chroto_favs_after_020#0,"""これからもちょこちょこ<br>絡ませてもらうからさ。"""
Chroto_favs_after_030#0,"""それじゃあ、またね。"""
Chroto_favs_present_010#0,"""Received \""Synthesizer\"" from Klotho."""
Chroto_favs_present_020#0,"""Received \""Aerial Shooting\"" from Klotho."""
Chroto_favs_present_030#0,"""Received \""Satellite Aim\"" from Klotho."""
Chroto_favs_present_040#0,"""Received \""Synthesizer\"" from Klotho."""
Chroto_favs_present_050#0,"""Received \""Bullet Squall\"" from Klotho."""
Chroto_favs_present_060#0,"""Received \""Messiah Time\"" from Klotho."""
Chroto_favs_present_070#0,"""Received \""Synthesizer\"" from Klotho."""
Chroto_favs_present_080#0,"""Received \""Infinite Fire\"" from Klotho."""
Chroto_favs_present_090#0,"""Received \""Elder Rebellion\"" from Klotho."""
Chroto_favs_present_100#0,"""Received \""Synthesizer\"" from Klotho."""
Chroto_favs_present_add_001#0,"""Received \""<%skit_text>\"" from Klotho."""
Alice_01_10#0,"""ダーカー以外との戦いについて<br>どう思うか、ねぇ。<br>そりゃまた、面白い質問だなあ。"""
Alice_01_20#0,"""じゃあ逆に、私たちアークスが<br>戦わなかったら、って考えてみたら<br>どうかな？"""
Alice_01_30#0,"""次から次へとダーカーの侵食被害が<br>広がっていって、さあ大変。<br>しかも、誰も止められない。"""
Alice_01_40#0,"""……わかるかな？<br>放っておく訳にはいかないんだよ。"""
Alice_01_50#0,"""少しでも放っておいたら<br>取り返しのつかないことになる。"""
Alice_01_60#0,"""アークスは、戦いをやめてはならない。<br>誰に恨まれようとも、ね。"""
Alice_01_70#0,"""それに、ダーカーに完全に侵食されて<br>狂った生物は、その意志を失い<br>死んだも同然の状態になる。"""
Alice_01_80#0,"""生ける屍のようなそんな状態から<br>救ってあげるのもまた、アークスの<br>責務であり、優しさなんじゃないかな。"""
Alice_01_90#0,"""侵食があまり進んでいなければ<br>救うことだって出来るはずだ。"""
Alice_01_100#0,"""なーんて、実際そうとでも思わないと<br>やり切れないよねぇ。とくに演習任務や<br>彼らの身体の一部を奪うときなんかさ。"""
11_voice_NPC_5018_104#0,"""やあやあ、お兄さんに<br>何か用かな？"""
Kirara_01_20#0,"""え？\u3000一緒にパーティーを組みたいって？<br>んー、申し訳ないけど……<br>私も、結構忙しい身でねぇ。"""
11_voice_NPC_5018_100#0,"""それに、そういう頼みごとは<br>やっぱり君にぴったりじゃないかな？"""
Kirara_01_40#0,"""他の人の色よい返事を<br>お兄さんからも祈っとくよー。"""
11_voice_NPC_5018_100#1,"""やー、私に何か用かい？<br>サンタクロース？<br>もちろん知っているよー。"""
Paty_01_20#0,"""クリスマスの夜に<br>世界中の良い子たちにプレゼントを<br>配って回るというご老人だよね。"""
Paty_01_30#0,"""どこにいるのか？<br>さすがにそれは知らないけど<br>よほど裕福な人だろうね。"""
Paty_01_40#0,"""どうやって資金を調達してるのか？<br>一晩で配るってタイムアタックの達人？<br>私としても気になるところだねー。"""
Paty_01_50#0,"""力になれなくてごめんねー。<br>もし、そのサンタクロースを見つけたら<br>私にも教えてもらいたいね。"""
Oku_01_010#0,"""私に何か用かい？<br>……バレンタインのプレゼントに<br>もらって嬉しいもの？"""
Oku_01_020#0,"""うーん、そうだね。<br>お金で買えるようなものは<br>要らないかなー。"""
11_voice_NPC_5018_104#1,"""しいて言うなら、もっともっと<br>私のオーダーを受けてもらうのが<br>一番のプレゼントだねー。"""
Oku_01_040#0,"""みんなは強くなれて、報酬ももらえる。<br>そして、私は楽ができる。<br>どうだい、参考になったかな？"""
11_voice_NPC_5018_100#2,"""アークスとして大成するコツは<br>頑張りすぎないこと、かなぁ。<br>適度に、てきとーに。"""
11_voice_NPC_5018_101#1,"""アークスになったからって<br>必死になる義務はないんだし<br>ほどほどに頑張るのが一番。"""
11_voice_NPC_5018_105#0,"""アークスに夢を見ている子が多いけど<br>現実はそう甘くないからねぇ。<br>過度な期待は心の毒だよ。"""
11_voice_NPC_5018_104#2,"""んー……なんかもっとこう<br>効率よくサボる方法ないかなぁ……"""
11_voice_NPC_5018_102#0,"""どうしてそんなにやる気がないのか？<br>じゃあ逆に聞くけど、やる気があるって<br>どういうことを指すのかな？"""
Chroto_05_020#0,"""張り切って出しゃばること？<br>ひたむきに突っ込んでいくこと？<br>だったら私はやる気ナシでいいよ。"""
11_voice_NPC_5018_103#0,"""アークスの仕事っていうのは<br>ダーカーを倒すことだけじゃない。<br>それ以外にもやること山積みさ。"""
11_voice_NPC_5018_102#1,"""ダーカーや原生生物を倒すのがうまいと<br>やる気がある、ってなるのかな？<br>ま、殺る気という意味ではあってるか。"""
11_voice_NPC_5018_102#2,"""出しゃばっちゃったら叩かれる。<br>これ、どこの世界でも同じだよ。"""
Chroto_08_020#0,"""秘密裏に色々動いているのなら<br>せめて表向きには、静かにしていた<br>ほうがいいってこと。"""
11_voice_NPC_5018_106#0,"""ここにはいろんな性格の人がいるけど<br>君は珍しいね。プレーンな感じ。<br>君みたいなのが多くなればいいなぁ。"""
11_voice_NPC_5018_105#1,"""私たちの行いは、きっとどこかで<br>誰かに見られていたりするんだ。<br>でも、私たちにはわからない。"""
Chroto_10_020#0,"""だからこそ、注意深く用心深く<br>なっていかなきゃいけない。<br>たとえ、やる気ナシと言われても。"""
11_voice_NPC_18_106#0,"""ダークファルスは復活した。<br>けれどもアークスたちの目は<br>死んでいない。"""
Chroto_mb9_020#0,"""それは今こうして撃退できたって<br>事実があるからさ。<br>君の働きは無駄じゃない。決してね。"""
11_voice_NPC_18_106#1,"""ダークファルスは復活した。<br>けれどもアークスたちの目は<br>死んでいない。"""
Chroto_mb10_020#0,"""それは今こうして撃退できたって<br>事実があるからさ。<br>君の働きは無駄じゃない。決してね。"""
11_voice_NPC_5018_104#3,"""私たちの行いは、きっとどこかで<br>誰かに見られていたりするんだ。<br>でも、私たちにはわからない。"""
Chroto_mb11_020#0,"""だからこそ、注意深く用心深く<br>なっていかなきゃいけない。<br>たとえ、やる気ナシと誹られても。"""
11_voice_NPC_5018_104#4,"""私たちの行いは、きっとどこかで<br>誰かに見られていたりするんだ。<br>でも、私たちにはわからない。"""
Chroto_mb12_020#0,"""だからこそ、注意深く用心深く<br>なっていかなきゃいけない。<br>たとえ、やる気ナシと誹られても。"""
