name_7245#0,"""Xiemmy"""
ssn_019230_002_0010#0,"""……ど、どうも、<br>来てくれて……、ありがとうございます。"""
ssn_019230_002_0020#0,"""話したいのは……、<br>今、ハルファ全体で起きてる……ことです。"""
ssn_019230_002_0030#0,"""シーズンシンボルの付いた……エネミーが増えてて、<br>ほかのエネミーも……活動が活発になってます。"""
ssn_019230_002_0040#0,"""今後の……装備の開発のために……、<br>そのデータを集めたい……んですけど。"""
ssn_019230_002_0050#0,"""あなたにも……、<br>手伝ってもらえないかと……思ってて。"""
ssn_019230_002_0060#0,"""データは……、あればあるほど、<br>助かるんですが……。"""
ssn_019230_002_0070#0,"""ど、どうですか？"""
ssn_019230_002_0080#0,"""……その顔は、<br>オッケーって……感じですね？"""
ssn_019230_002_0090#0,"""……ですよね？"""
ssn_019230_002_0100#0,"""そ、それじゃ……頑張って！"""
ssn_019230_002_0900#0,"""エネミーの……、<br>データ収集、どうですか？"""
ssn_019230_002_0910#0,"""な、なにかお手伝いできること、<br>ありますか……？"""
npc_menu_0010#0,"""Exchange Seasonal Points (Until $(0))"""
npc_menu_0020#0,"""Exchange New Year's '24 Seasonal Points (Until $(0))"""
npc_menu_0030#0,"""Exchange Ore (Until $(0))"""
npc_menu_0040#0,"""Item Recycle (Until $(0))"""
npc_menu_0050#0,"""Ask about the Seasonal Event"""
npc_menu_0060#0,"""Close Menu"""
npc_menu_1010#0,"""About Seasonal Events"""
npc_menu_1020#0,"""About Seasonal Enemies"""
npc_menu_1030#0,"""About Mischief Symbols"""
npc_menu_1040#0,"""About Seasonal Regional Mags"""
npc_menu_1050#0,"""About Randomite"""
npc_menu_2000#0,"""Never mind"""
