st_065080_0930#0,"""龍晶、および灰の粒子による<br>演算包囲、完了しました！"""
st_065080_0940#0,"""……よし。<br>お膳立てはこれで終わり。<br>あとは頼むよ、スクナヒメ。"""
st_065080_0950#0,"""まかせるのじゃ！"""
st_065080_0960#0,"""なっ……！？"""
st_065080_0962#0,"""ここっ！"""
st_065080_0963#0,"""くっ！"""
st_065080_0966#0,"""……今のは、灰の！？"""
st_065080_0970#0,"""かかっ、ようやく表情を変えたな。<br>終の女神とやら。"""
st_065080_0980#0,"""……スクナヒメ！"""
st_065080_0990#0,"""貴方は……ハルコタンの神子。<br>星に縛られた存在が、どうしてここに！"""
st_065080_1000#0,"""まったくもって。<br>……ズルが得意と紹介はされたが<br>よもやわらわの灰を真似るとは思わなんだ。"""
st_065080_1010#0,"""アルマが生み出し、シャオが複製した<br>灰の円環がこの宙域を包み込んでおる。<br>しからば、転移も容易よ。"""
st_065080_1020#0,"""そなたは、アークスの総攻撃に意識が向き<br>気付いていなかったようだのう。"""
st_065080_1030#0,"""……ふふ、はははっ。<br>どこまでも楽しませてくれますね。"""
st_065080_1040#0,"""だが、いかなる奸計を巡らそうとも<br>絶大なる力の差は埋められない。<br>手間が増えるだけの話ですよ。"""
st_065080_1050#0,"""貴方程度の力では、我が力<br>封じるにあたわず！"""
st_065080_1060#0,"""それも承知しておる！<br>その上で、何故わらわがここへ<br>やってきたと思うておる！"""
st_065080_1070#0,"""これは……灰の風に、龍晶……！"""
st_065080_1080#0,"""<%me>、マトイ。<br>これが、僕が見いだした最後の作戦だ。"""
st_065080_1090#0,"""アークスのすべての力を<br>……今こそ、君達に、託す！"""
st_065080_1100#0,"""¡Esto es!... \u3000 ¡Este poder es!...<br>¡Que vista mas repugnante!..."""
st_065080_1110#0,"""Es decir... ¿Por que no se dan cuenta?, ¡Es el mismo error que cometieron los Photoner!"""
st_065080_1120#0,"""No es un error."""
st_065080_1130#0,"""No es un error."""
st_065080_1140#0,"""Este es el poder para detenerte."""
st_065080_1150#0,"""Este es el poder para detenerte."""
st_065080_1160#0,"""...Si, estan en lo correcto<br>¡Y seria bueno que supieran las consecuencias de ese poder perdido!"""
