f2#0,"""이머전시 트라이얼 「$(0)」 발생!"""
f0#0,"""파티 중 한 명이 전투 불능 상태가 되었다!"""
f1#0,"""파티 전원이 전투 불능이 되었다!"""
f4#0,"""타임 오버!"""
f3#0,"""퀘스트 리타이어를 선택했다!"""
f5#0,"""파티 인원이 퀘스트 규정의 인원이 아니다!"""
f6#0,"""$(0)님께서 전투불능이 되었습니다!"""
f7#0,"""다른 파티에 의해 퀘스트가 종료됐다!"""
f8#0,"""시간 냉에 퀘스트 포인트 $(0)만큼 모으지 못했다!"""
f9#0,"""퀘스트 시작시의 리더가 없으므로 종료합니다!"""
f10#0,"""모든 거점이 파괴되었습니다!"""
f11#0,"""채굴 기지 방어 실패!"""
f12#0,"""이머전시 트라이얼 실패!"""
f13#0,"""다른 파티에 의해 퀘스트가 종료됐다!"""
f14#0,"""전투불능횟수가 한계에 도달했다!"""
f15#0,"""방위대상이 파괴되었다!"""
f16#0,"""라이프 포인트가 0이되었다! 임무진행 불가능!"""
Test#0,"""Dummy1"""
ApeAnnihilate#0,"""자우단을 섬멸하라!"""
QueenAnnihilate#0,"""브리아다를 섬멸하라!"""
WormAnnihilate#0,"""캐터드란을 섬멸하라!"""
CollectData#0,"""나브 랍피를 포획하라!"""
DestroyTarget#0,"""최심부의 이상을 조사하라!"""
GetPoints#0,"""퀘스트 포인트를 모아라!"""
ReachDeep#0,"""최심 에어리어까지 탐색하라!"""
story_outline_10010#0,"""다커 무리를 돌파하라!"""
story_outline_10020_01#0,"""다커 무리를 돌파하라!"""
story_outline_10020_02#0,"""목소리의 정체를 확인하라!"""
story_outline_10020_03#0,"""목소리의 정체를 확인하라!"""
story_outline_10030_01#0,"""지질 샘플을 채취하라!"""
story_outline_10030_02#0,"""수수께끼의 사람 형태를 쫓아라!"""
story_outline_10040_01#0,"""리리파족을 찾아라!"""
story_outline_10040_02#0,"""리리파족을 찾아라!"""
story_outline_10050_01#0,"""용족과 접촉하라!"""
story_outline_10050_02#0,"""용족과 접촉하라!"""
story_outline_10060_01#0,"""최심부까지 탐색하라!"""
story_outline_10060_02#0,"""리리파족을 지키며 나아가라!"""
story_outline_10070_01#0,"""부유대륙을 탐색하라!"""
story_outline_10070_02#0,"""기다리는 사람을 만나라!"""
story_outline_10080#0,"""침입한 다커를 섬멸하라!"""
story_outline_10080_02#0,"""거주 지구로 가라!"""
story_outline_10090_01#0,"""유적의 비밀을 알아내라!"""
story_outline_10090_02#0,"""유적의 비밀을 알아내라!"""
story_outline_10090_03#0,"""유적의 비밀을 알아내라!"""
story_outline_10090_04#0,"""역사개변을 이뤄라!"""
story_outline_10100_01#0,"""조룡 하드레드를 붙잡아라!"""
story_outline_10100_02#0,"""조룡 하드레드를 붙잡아라!"""
story_outline_10110_01#0,"""안쪽에 있는 쿠나와 합류하라!"""
story_outline_10120#0,"""스코어 포인트를 벌어라!"""
story_outline_10130_01#0,"""카브라칸의 동료를 찾아라!"""
story_outline_10130_02#0,"""테오도르와 함께 안쪽으로 가라!"""
story_outline_10140_01#0,"""로 카미츠를 찾아라!"""
story_outline_10140_02#0,"""사라와 함께 가라!"""
story_outline_10150_01#0,"""옛 채굴장을 순찰하라!"""
story_outline_10150_02#0,"""아핀과 함께 탐색하라!"""
story_outline_10160_01#0,"""해저의 시설을 조사하라!"""
story_outline_10160_02#0,"""헤저 에어리어를 조사하라!"""
story_outline_10170_01#0,"""멜폰시나와 함께 가라!"""
story_outline_10180_01#0,"""서둘러 시온에게 가라!"""
story_outline_10175_01#0,"""서둘러 최심부에서 혼자 싸우는 그녀에게 가라!"""
freefield_outline_20010#0,"""최심부로 향해라!"""
freefield_outline_20020#0,"""최심부로 향해라!"""
freefield_outline_20030#0,"""최심부로 향해라!"""
freefield_outline_20040#0,"""최심부로 향해라!"""
freefield_outline_20050#0,"""최심부로 향해라!"""
freefield_outline_20060#0,"""최심부로 향해라!"""
freefield_outline_20070#0,"""최심부로 향해라!"""
freefield_outline_20080#0,"""최심부로 향해라!"""
freefield_outline_20090#0,"""최심부로 향해라!"""
freefield_outline_20100#0,"""최심부로 향해라!"""
freefield_outline_20110#0,"""최심부로 향해라!"""
arks_outline_30010#0,"""자우단을 토벌하라!"""
arks_outline_30015#0,"""폰 갈프를 토벌하라!"""
arks_outline_30020#0,"""나브 랍피를 포획하라!"""
arks_outline_30030#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30040#0,"""팡 밴시를 토벌하라!"""
arks_outline_30050#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30060#0,"""카르타고를 섬멸하라!"""
arks_outline_30070#0,"""캐터드란을 토벌하라!"""
arks_outline_30080#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30090#0,"""희소 광물을 회수하라!"""
arks_outline_30100#0,"""광석을 채굴하라!"""
arks_outline_30110#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30120#0,"""연락이 두절된 아크스를 찾아라!"""
arks_outline_30130#0,"""데 마루모스를 진압하라!"""
arks_outline_30140#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30150#0,"""구조대상자를 구하라!"""
arks_outline_30160#0,"""트랜마이저를 격파하라!"""
arks_outline_30170#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30180#0,"""특수 광물을 회수하라!"""
arks_outline_30190#0,"""캐터드란사를 토벌하라!"""
arks_outline_30200#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30210#0,"""다카임을 파괴하라!"""
arks_outline_30220#0,"""워루가다를 섬멸하라!"""
arks_outline_30230#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30240#0,"""솔 디란달을 토벌"""
arks_outline_30250#0,"""고론 조란을 진압하라!"""
arks_outline_30260#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30270#0,"""최심부의 포선화를 제거하라!"""
arks_outline_30280#0,"""오그 블랑을 토벌하라!"""
arks_outline_30290#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30300#0,"""최심부 취락을 방어하라!"""
arks_outline_30310#0,"""버더 소마를 토벌하라!"""
arks_outline_30320#0,"""퀘스트 포인트를 모아라!"""
arks_outline_30330#0,"""워파루 원주민을 구하라!"""
arks_outline_30340#0,"""데콜 마류다를 토벌하라!"""
time_outline_40010#0,"""최심부로 향해라!"""
time_outline_40020#0,"""최심부로 향해라!"""
time_outline_40030#0,"""최심부로 향해라!"""
