ra_010560_0010#0,"""아아, <%me>.<br>마침 잘 왔어."""
ra_010560_0020#0,"""이 바보 녀석의 치료를<br>도와줄 수 있을까."""
ra_010560_0030#0,"""꽤나 오랫동안 다커와<br>교전을 벌인 것 같아서 말이야.<br>솔직히, 얼른 치료하지 않으면<br>위험해."""
ra_010560_0040#0,"""〔……윽〕〔건들지마!〕<br>〔아크스의〕〔시주는 받지 않는다〕"""
ra_010560_0050#0,"""시주라니 무례한데.<br>우리는 아크스로서의 역할을<br>하는 것뿐이야."""
ra_010560_0060#0,"""그말인 즉<br>네 안에 있는 다커를 없애는 것.<br>그것뿐이야."""
ra_010560_0070#0,"""〔이 몸 안에〕〔다커라고……〕"""
ra_010560_0080#0,"""이제와서 뭘.<br>네 스스로 잘 알고 있을 거야.<br>내면에서 솟구치는 충동을."""
ra_010560_0090#0,"""뭐, 만약 네가 이대로 다커가<br>되고 싶다고 한다면<br>그 의지는 존중해줄 수 있다고?"""
ra_010560_0100#0,"""〔…………〕<br>〔싸움의 끝에서〕〔끝난다면 바라던 바〕<br>〔우리의 자랑〕〔우롱하지 마라〕"""
ra_010560_0110#0,"""……너희야 말로 어디까지<br>생명을 우롱해야 속이 풀려."""
ra_010560_0120#0,"""『자랑』이라는 듣기 좋은 말을<br>핑계로 삼지 마, 용족."""
ra_010560_0130#0,"""그 『자랑』이란 것을 위해서<br>지금까지의 역사를 전부<br>다 지워버릴 셈인가?"""
ra_010560_0140#0,"""외면하지 마, 용족.<br>너고 알고 있을 거야.<br>깨어있는 너희라면 알겠지."""
ra_010560_0150#0,"""이대로 미쳐가는 용족이 늘어나면<br>어떻게 되는지는 굳이<br>묻지 않아도 알 수 있겠지?"""
ra_010560_0160#0,"""〔…………〕"""
ra_010560_0170#0,"""〔네놈들이라면〕〔다커에게〕<br>〔정확하게〕〔정상적으로〕<br>〔대처할 수 있다〕<br>〔그런〕〔얘기인가?〕"""
ra_010560_0180#0,"""나 혼자서는 불가능해.<br>나는 아크스로서는<br>실력이 좋지 않거든."""
ra_010560_0190#0,"""하지만 여기엔<br><%me>.<br>그가 있기에 괜찮아. 맡겨 봐."""
ra_010560_0200#0,"""〔<%me>〕<br>〔그 이름〕〔히 노엔에게 들었다〕<br>〔네놈이〕〔그런건가〕"""
ra_010560_0210#0,"""〔로의 전언에〕〔의하면〕<br>〔구원의〕〔존재인가〕"""
ra_010560_0220#0,"""그건 또 엄청 부풀려진 이야기인데.<br>뭐, 그렇다고 틀린 말은 아니야."""
ra_010560_0230#0,"""증명이 필요하다면 우선<br>눈앞에 있는 허약한 용족을<br>구해보도록 하자."""
ra_010560_0240#0,"""알겠지, <%me>?"""
ra_010560_0250#0,"""A.P.238/3/24"""
