name_7664#0,"""Hounyan"""
ssn_011160_0010#0,"""I haven't seen your face before. I see... So you're a new arrival."""
ssn_011160_0020#0,"""Well then, once you've learned a little more, come back and see me."""
ssn_011160_0030#0,"""You came, as I hoped. I am Hounyan, the training instructor for Classes that use Techniques."""
ssn_011160_0040#0,"""It seems that you've grown a lot as an ARKS."""
ssn_011160_0041#0,"""Welcome. It seems that you've grown a lot as an ARKS."""
ssn_011160_0045#0,"""If you wish, I can give you some personal guidance. Which Class's fighting style would you like to know about?"""
ssn_011160_0046#0,"""If you wish, I can give you some personal guidance. Are you ready?"""
ssn_011160_0050#0,"""So, which Class's fighting style would you like to learn about?"""
ssn_011160_0060#0,"""Really? You don't have to be shy on my account, you know. If you change your mind, come back and see me again."""
ssn_011160_0070#0,"""Work hard on your training."""
ssn_011160_0080#0,"""If you do as I've taught you, your skill with Techniques will definitely improve."""
ssn_011160_0101#0,"""How'd it go? Did you fight the way I taught you?"""
ssn_011160_0102#0,"""My training should have taught you how important Class Skills are. Learn as many as you can, and master using them."""
ssn_011160_0103#0,"""Do your best out there."""
ssn_011160_0201#0,"""How'd it go? Did you make good use of Compound Techniques?"""
ssn_011160_0202#0,"""Targeting your enemies' Attribute weaknesses is the key. Practice with as many Techniques as you can, and master using them. Do your best out there."""
ssn_011160_0301#0,"""How'd it go? Did you fight the way I taught you?"""
ssn_011160_0302#0,"""Keep up with your training, and you'll definitely become stronger. Do your best out there."""
