Npc50_06_030#0,"""ですからせめて、我々管理官は<br>規律と礼節を重んじなければいけない。<br>適材適所というやつですね。"""
Npc50_07_010#0,"""アークスにとっての規範となるべきは<br>六芒均衡ですが、その選定は実力でのみ<br>選ばれています。"""
Npc50_07_020#0,"""とはいえ、かの方々にそれを求めるのは<br>酷というものでしょう。設立から未だ<br>四十年弱。今代は年若い人も多いです。"""
Npc50_07_030#0,"""ですからせめて、我々管理官は<br>規律と礼節を重んじなければいけない。<br>適材適所というやつですね。"""
Npc50_08_010#0,"""アークスにとっての規範となるべきは<br>六芒均衡ですが、その選定は実力でのみ<br>行われています。"""
Npc50_08_020#0,"""とはいえ、かの方々にそれを求めるのは<br>酷というものでしょう。設立から未だ<br>四十年弱。今代は年若い人も多いです。"""
Npc50_08_030#0,"""ですからせめて、我々管理官は<br>規律と礼節を重んじなければいけない。<br>適材適所というやつですね。"""
11_voice_NPC_5050_104#2,"""かのダークファルスについての情報は<br>私もほとんど持ち合わせていません。"""
Npc50_mb9_020#0,"""ですから、質問があったとしても<br>お答えすることができないんです。<br>……申し訳ありません。"""
11_voice_NPC_5050_104#3,"""かのダークファルスについての情報は<br>私もほとんど持ち合わせていません。"""
Npc50_mb10_020#0,"""ですから、質問があったとしても<br>お答えすることができないんです。<br>……申し訳ありません。"""
11_voice_NPC_5050_100#0,"""戦技大会という試み自体は<br>幾度か開かれたことがあったそうです。"""
Npc50_mb11_020#0,"""ルールについては、開催毎に<br>異なっていたそうなので<br>あまり参考にはなりませんけどね。"""
11_voice_NPC_5050_100#1,"""アークスのバックアップについても<br>日々、進化しています。<br>様々な面で役立つと思います。"""
Npc50_mb12_020#0,"""ですが、最終的には<br>アークス個々人の力量に<br>頼らざるを得ず……すみません。"""
11_voice_NPC_5050_100#2,"""アークスのバックアップについても<br>日々、進化しています。<br>新規クラスや新たなスキルなどですね。"""
Npc50_mb13_020#0,"""本当はもっと早く導入したいのですが<br>安全性を考えると、この速度が精一杯。<br>……仕方がないとは言え、すみません。"""
11_voice_NPC_5050_100#3,"""アークスのバックアップについても<br>日々、進化しています。<br>新規クラスや新たなスキルなどですね。"""
Npc50_mb14_020#0,"""本当はもっと早く導入したいのですが<br>安全性を考えると、この速度が精一杯。<br>……仕方がないとは言え、すみません。"""
11_voice_NPC_5050_101#0,"""アークス個々の練度については<br>めまぐるしい上昇曲線を描いています。"""
Npc50_mb15_020#0,"""実力者が増えてきているというのは<br>組織としてとても喜ばしいことです。"""
Npc50_mb15_030#0,"""誰も犠牲にならずに、というのは<br>虫のいい話ですが、できる限り<br>それに近づいていければ、と思います。"""
11_voice_NPC_5050_100#4,"""……アークスの管理状況については<br>現在も調整を行っている最中です。"""
Npc50_mb16zeno_020#0,"""でも、安心して下さい。<br>もう貴方の不利益になるようなことは<br>起きません。絶対に、起こさせません。"""
Npc50_mb18_010#0,"""アークスの管理状況について<br>少しずつ落ち着いてきました。"""
11_voice_NPC_5050_104#4,"""ですが全ての対応を終了するには<br>まだ時間がかかりそうです。<br>もう少し、お待ちください。"""
Npc50_mb19_010#0,"""アークスの管理状況ですが<br>新体制に向けての準備が<br>ようやく整いました。"""
Npc50_mb19_020#0,"""今後は万全の体制で、アークスを<br>全面的にバックアップしていきます。"""
Npc50_mb19_030#0,"""とはいえ、まだ始まったばかりです。<br>改善点など多くあるはずです。<br>その時は遠慮なく、言ってください。"""
mb19before_010#0,"""浮上施設への渡航許可ですか？<br>規定の条件を満たしていれば<br>承認しております。"""
mb19before_020#0,"""その条件は、クライアントオーダー<br>『適正能力審査試練・白ノ領域』<br>を達成する事となっております。"""
mb19before_030#0,"""こちらのクライアントオーダーは<br>私が発行しておりますが"""
mb19before_040#0,"""受注条件として、クエストの<br>『白ノ領域探索』が受注可能である<br>必要がありますのでご留意ください。"""
mb21before_010#0,"""採掘場跡への探索許可ですか？<br>規定の条件を満たしていれば<br>承認しております。"""
mb21before_020#0,"""その条件は、クライアントオーダー<br>『適正能力審査試練・海岸』<br>を達成する事となっております。"""
mb21before_030#0,"""こちらのクライアントオーダーは<br>私が発行しておりますが"""
mb21before_040#0,"""受注条件として、クエストの<br>『海岸探索』が受注可能である<br>必要がありますのでご留意ください。"""
Npc50_mb22_010#0,"""新体制へ変わったことによる<br>問題や障害などは、特に起きてません。"""
Npc50_mb22_020#0,"""ですが、問題が無いわけではなく<br>いくつか改善案や見直しは<br>出てきております。"""
Npc50_mb22_030#0,"""もちろん全ての案を採用するわけでは<br>ありませんが、頂いた意見を参考に<br>より良い組織づくりを心がけています。"""
11_voice_NPC_5050_104#5,"""現在、起きてる問題について<br>アークス全体で対応をするべく<br>動いております。"""
Npc50_mb23_after_020#0,"""公開されている以上の情報は<br>入っていないため、お待ちください。<br>情報が入り次第、必ず知らせます。"""
Npc50_mb23_after_030#0,"""あと、これは貴方宛に連絡です。<br>あまり無理をなさらないように。<br>私からは以上です。"""
11_voice_NPC_5050_104#6,"""現在、公開されている以上の情報は<br>もたらされておりません。"""
Npc50_mb24_020#0,"""せめてもう少し<br>進展があれば良いのですが……<br>お力になれず、申し訳ありません。"""
Npc50_mb24_030#0,"""情報を含め、何か進展があり次第<br>すぐに連絡をします。<br>今しばらく、お待ちください。"""
Npc50_mb24_after_010#0,"""今回、適切な情報開示により<br>アークス全体が共通の問題を認識し<br>的確な対応を取れました。"""
Npc50_mb24_after_020#0,"""一人ひとりのアークスが迅速かつ<br>適時適切な対応を取れることは<br>組織にとっても理想的です。"""
11_voice_NPC_5050_100#5,"""より盤石な組織を形成していくためにも<br>積極的な情報開示は行っていきたいと<br>思っています。"""
Npc50_mb25_010#0,"""シャオの持つ管理権限等の移行へ向けて<br>現在、準備を行っております。"""
Npc50_mb25_020#0,"""それに伴う管理体制の調整や変更が<br>終わり次第、改めて連絡をします。<br>もう暫くお待ちください。"""
st01_010#0,"""<%me> Felicitaciones por su regreso."""
st01_020#0,"""Ya tenemos la aprobación del comandante general.<br>Como Arks, espero más actividad que nunca."""
st01_030#0,"""Y... Bienvenido de nuevo.<br>Te estaba esperando."""
11_voice_NPC_5050_100#6,"""復帰早々、大変なご様子。<br>あまり無理はなさらぬように。"""
st01_020#1,"""Es divertido ver a Philia siempre siendo hilarante, pero es un poco triste."""
11_voice_NPC_5050_104#7,"""Disculpame si siempre te estoy dando<br>problemas y misiones de un alto grado de dificultad."""
st01_020#2,"""Pero tú habilidad y las de Matoi son<br>prometedoras, creo que podemos mejorar un poco más."""
st01_030#1,"""No quiero que recibas tratamientos<br>para que te vuelan a criogenizar."""
od04031805_010#0,"""¿Qué ocurre?...<br>Oh, una orden del Sr. Klotho."""
od04031805_020#0,"""Dado que los datos de Battle Arena contienen mucha información personal, solo personas limitadas pueden acceder a ella."""
od04031805_030#0,"""Para el Sr. Klotho, solo le revelamos una parte de la información que podemos entregar con el propósito de educar a los estudiantes."""
od04031805_040#0,"""...Ya envié los resultados de su patida al Sr. Klotho.<br>Espero poder seguir trabajando con usted en el futuro."""
sq00_010#0,"""Por fin está vez... Vamos a apoyar con toda potencia."""
sq01_010#0,"""Hay muchos problemas, pero eso es algo a considerar a partir de ahora. En primer lugar, regocijémonos en su regreso."""
sq02_010#0,"""Independientemente de las circunstancias, sólo me concentro en los deberes que lo apoyan."""
11_voice_NPC_5050_104#8,"""終の女神については<br>現在、最優先事項として<br>対応にあたっております。"""
ep6_sq00_02#0,"""外部から簡単に侵入されたことも含め<br>不備などないか、見直しもしています。"""
ep6_sq01_01#0,"""運航や管制など、シエラと協力し<br>対応を行っております。"""
11_voice_NPC_5050_104#9,"""これまで行ってきた体制変更が<br>ここにきて、活かされています……<br>皮肉なことですが。"""
ep6_sq02_01#0,"""シャオ不在中の臨時管理体制は<br>問題なく運用できました。<br>これまでの組織改革の成果と思います。"""
ep6_sq02_02#0,"""各種権限の分散や、情報の透明化が進み<br>さらには、アークスの個々人が<br>自律的な意思決定と行動で貢献する……"""
11_voice_NPC_5050_101#1,"""……つまり、理想的な組織は一人一人に<br>支えられて進化するということです。"""
ep6_sq02_01_01#0,"""管理体制については<br>シャオ不在時の体制で<br>引き続き運用を行っております。"""
ep6_sq02_01_02#0,"""臨機応変な対応が求められるため<br>シャオ不在でも即応できる体制が<br>維持されることになりました。"""
text01#0,"""無事の帰還、本当によかったです。<br>お疲れさまでした。"""
text02#0,"""終焉の危機を乗り越えた今<br>緊急体制は解除されましたが<br>私は変わらず皆さんを支えていきます。"""
11_voice_NPC_5050_106#0,"""お疲れさまです。どうされました？<br>……え？\u3000クリスマスプレゼントの<br>お返しを贈るなら……ですか？"""
text02#1,"""そ、そうですね。<br>私自身、そういったことは<br>経験がないのですが……"""
text03#0,"""季節柄、寒そうにされている<br>アークスを多く見かけますので……<br>防寒具がよいのではないでしょうか。"""
text04#0,"""そういえば、最近読んだ物語で<br>手編みの長い「マフラー」を恋人に贈り<br>二人で巻くシーンが、とても良く……"""
text05#0,"""……こほん。喋りすぎました。<br>お役に立てるかどうか分かりませんが<br>私から言えることは、以上です。"""
