Title#0,"""Ради чего вы родились"""
Explanation#0,"""Здесь пересекается прошлое, настоящее и<br>будущее. Финал для тех, кто преследует<br>бесконечную историю с единственной целью<br>в сердце. Каждый должен сражаться, чтобы<br>положить конец этой вечной трагедии, но два<br>человека должны отдать все силы. Существует<br>только одна цель: придать смысл своей<br>жизни, чтобы дать ответ на молитву.<br>――――――――――――――――――――<br>Поражение: возвращение после смерти"""
SimpleExplanation#0,"""？？？"""
Area0S#0,"""Лесная местность"""
Area0L#0,"""Набериус - Лесная местность"""
Area1S#0,"""Искаженная местность, Руины"""
Area1L#0,"""Набериус - искажённые Руины"""
Area2S#0,"""Искаженная местность, Лес 1"""
Area2L#0,"""Набериус - искажённый Лес 1"""
Area3S#0,"""Искаженная местность, Лес 2"""
Area3L#0,"""Набериус - искажённый Лес 2"""
Area4S#0,"""Искаженная местность, Лес 3"""
Area4L#0,"""Набериус - искажённый Лес 3"""
Area5S#0,"""Искаженная местность, Руины"""
Area5L#0,"""Набериус - Искаженные Руины"""
