st_063050_0150#0,"""Inútil.<br>fue detectado el parámetro del Mimetismo<br>¿Por qué sera? """
st_063050_0160#0,"""Si obtiene la potencia informática equivalente a la existencia omnipresente, puedes detectar el mimetismo."""
st_063050_0170#0,"""Creo que es una gran mejora."""
st_063050_0180#0,"""Como era de esperar, <br>Es una presencia creada por Photoner."""
st_063050_0190#0,"""El arma móvil de Ark se acerca.<br>Parece que fueron enviados desde las coordenadas de transición."""
st_063050_0200#0,"""je je,<br>Represalias,<br>¿En un lugar así?"""
st_063050_0210#0,"""Y de esta manera es como lo hacen<br>Aun así es tan fácil afrontarlos<br>Solo han hecho un trabajo mediocre"""
st_063050_0220#0,"""¡Las unidades de asalto han sido aniquiladas...!"""
st_063050_0230#0,"""¡No alcanzarán a salir!<br>¡Diles que vuelvan enseguida!"""
st_063050_0240#0,"""¡Si!<br>¡Todas las naves, retrocedan!<br>Repito, ¡Todas las naves regresen de inmediato!"""
st_063050_0250#0,"""Oh, ¿Estan escapando otra vez?<br>......No, es el papel de un demonio el de cazar.<br>asi que me tocaria ir de caseria."""
