un_062070_0001#0,"""A.P.242/3/5"""
un_062070_0010#0,"""Que! ¡eres muy descarado para ser más pequeño que yo!"""
un_062070_0020#0,"""〔¡Qué!〕〔¡Eres tú〕<br>〔pequeña!〕"""
un_062070_0030#0,"""¡Cualquiera con dos ojos podría decir que soy más grande!"""
un_062070_0040#0,"""¡No te metas aquí, Sara! ¡Oh, eres tú!"""
un_062070_0045#0,"""¡Sara se fue a realizar una vigilancia solitaria! Pero más importante, ¡Apoyame aquí!"""
un_062070_0050#0,"""〔¡Oh!〕 〔¡Buen momento!〕 〔<%me> 〕 〔seguramente callará〕 〔¡A la pequeña!〕"""
un_062070_0060#0,"""¿Whoooo me estás llamando pequeña? ¡Cuántas veces debo explicarte que eres minúsculo en comparación conmigo!"""
un_062070_0070#0,"""No puedo soportar esto más! Tú, dinos lo que piensas!"""
un_062070_0080#0,"""Rela es el más pequeño"""
un_062070_0090#0,"""Más pequeño es más lindo"""
un_062070_0100#0,"""〔¿Incluso tú〕〔piensas eso?〕 <br> 〔Yo soy〕〔el más pequeño...〕"""
un_062070_0110#0,"""〔... Ah.〕 〔Supongo〕 <br> 〔Soy〕 〔pequeño ahora...〕"""
un_062070_0120#0,"""O-Oh... No estaba preguntando por tus gustos, pero supongo que fue mi culpa preguntar..."""
un_062070_0130#0,"""〔Sí,〕 〔¡Ya veo!〕 <br> 〔pequeña ARKS,〕〔mira bien,〕 <br> 〔y mira〕〔¡quién es más pequeño!〕"""
un_062070_0140#0,"""うわっ！？"""
un_062070_0150#0,"""〔¡Cómo fue eso!〕 〔Ahora〕 〔ves〕 〔¡Soy〕 〔más grande!〕"""
un_062070_0160#0,"""H-Hmph! ¡Nunca dije que ser más grande era mejor! ¡Hay muchos beneficios de ser pequeño!"""
un_062070_0170#0,"""〔Oh,〕 〔¿hay?〕"""
un_062070_0180#0,"""S-si! ¡Por supuesto!"""
un_062070_0190#0,"""〔¿Qué tipo de〕 〔beneficios hay?〕"""
un_062070_0200#0,"""¿Q-qué tipo? Vamos a ver... E-eso es ¡Por ejemplo!"""
un_062070_0210#0,"""¡Puedes moverte rápidamente durante la batalla! ¡Ser más pequeño te convierte en un objetivo más pequeño para los ataques enemigos también!"""
un_062070_0220#0,"""¡Tus movimientos bruscos te hacen preciso, confiable y rápido! ¡Puedes darle una buena paliza a cualquiera!"""
un_062070_0230#0,"""〔Ya veo〕 〔Ciertamente,〕 〔cuando〕〔estábamos en la tumba...〕"""
un_062070_0240#0,"""〔¡Tus ataques〕 〔contra〕 〔el enemigo〕 〔fueron muy precisos!〕"""
un_062070_0250#0,"""Hmhmm! ¡Exactamente! ¡Eso fue como un paseo por el parque para alguien como yo!"""
un_062070_0260#0,"""〔¡Ser pequeño es〕 〔increíble!〕 〔¿Qué más?〕 〔Seguramente〕 〔hay〕 〔otros beneficios?〕"""
un_062070_0270#0,"""O-Otras cosas? Bueno... H-Hey! ¡Debes conocer algunos de ellos!"""
un_062070_0280#0,"""Umm... ¡Otras cosas, sí! No tienes que preocuparte por... ¡golpearte la cabeza contra el techo!"""
un_062070_0290#0,"""〔¡Eso es 〔〔genial!〕 〔¡Siempre estoy〕 〔golpeándome la cabeza!〕 〔¿Qué más?〕 〔¿Qué más?〕"""
un_062070_0300#0,"""¡Y otra cosa! ¡Debido a que su cuerpo es tan pequeño, solo se necesitan dos donas para llenarlo!"""
un_062070_0310#0,"""Sin embargo, debido a que se llena tan rápido, realmente no puede comer grandes porciones de comida sabrosa..."""
un_062070_0320#0,"""〔Eso es〕〔desafortunado...〕"""
un_062070_0330#0,"""¡Sin embargo! ¡La gente a veces te da dulces si eres pequeño!"""
un_062070_0340#0,"""〔¡Increíble!〕 〔¡Increíble!〕 〔¡Ser pequeño es〕 〔estupendo!〕 〔¡Muy bien!〕"""
un_062070_0350#0,"""〔¡Ahora yo también〕 〔recibiré〕 〔dulces!〕"""
un_062070_0360#0,"""¡Está bien!"""
un_062070_0365#0,"""Ahora, <%me>! ¡No me detengas, los pequeños nos Báñanos con la mayor cantidad de dulces posible!"""
un_062070_0370#0,"""〔¡Báñanos!〕"""
