name_7006#0,"""スタッギィ"""
msn_011350_020_0001#0,"""센트럴에 잘 와줬다! 환영한다고!"""
msn_011350_020_0002#0,"""계속해서 싸우고, 이기고, 벌어서,<br>지금보다도 좋은 장비를 맞춰가자!"""
msn_011350_020_0101#0,"""뭐야 뭐야?"""
msn_011350_020_0102#0,"""なに？\u3000戦いに役立つ知識がほしいだって？"""
msn_011350_020_0103#0,"""そういうの、待ってたんだぜ！"""
msn_011350_020_0104#0,"""いいか、よく聞け……。<br>武器って……“合体”できるんだぜ！"""
msn_011350_020_0105#0,"""“マルチウェポン”っていうんだけどよ！<br>試しに作ってみないか？"""
msn_011350_020_0106#0,"""マルチウェポンは、アイテムラボで作れるんだぜ。"""
msn_011350_020_0107#0,"""同じ種類の武器なら、<br>アイテムラボでなんでも組み合わせてくれるぜ。"""
msn_011350_020_0108#0,"""っと、合体させるなら、<br>触媒の“鉱石”も忘れないようにな！"""
msn_011350_020_0109#0,"""で、今回は大サービスだ！<br>俺のを分けてやるから、ラボへ行ってみな！"""
msn_011350_020_0201#0,"""フォトンクォーツを20個、50000<pict reb_meseta>メセタを入手しました。"""
msn_011350_020_0301#0,"""フォトンクォーツを2個、200<pict reb_meseta>メセタを入手しました。"""
msn_011350_020_0401#0,"""どうだ？<br>マルチウェポンを作ってみた感想は？"""
msn_011350_020_0402#0,"""どんな原理かは知らねーけど、<br>合体ってのはロマンだよなぁ！"""
msn_011350_020_0403#0,"""しかも、武器が合体すれば、攻撃の幅も広がるしな！<br>ホントにワクワクするぜ！"""
msn_011350_020_0404#0,"""いろいろ試して、<br>カッコイイ武器、作ってくれよな！"""
