TrialName_1Enemy#0,"""$(0)토벌"""
TrialBeginMsg_1Enemy#0,"""출현한 $(0)를 쓰러뜨려라!"""
TrialAbstract_1Enemy#0,"""$(0)를 쓰러뜨리기"""
TrialName_Multi#0,"""에너미 토벌"""
TrialBeginMsg_Multi#0,"""출현한 에너미를 쓰러뜨려라!"""
TrialAbstract_Multi#0,"""에너미를 쓰러뜨리기"""
Line_HelpEventManonAndAina#0,"""전투 지원(아이나＆마논)<br>이동 속도 상승<br>공격력 상승"""
Line_HelpEventNadereh#0,"""전투 지원(나데레프)<br>적의 방어력 감소<br>달레트 작동 중지"""
Line_HelpEventIlma#0,"""전투 지원(이루마)<br>공격 명중 시 추가 공격 발생"""
Line_HelpEventGlen#0,"""전투 지원(그렌)<br>PP 자연 회복량 증가"""
NpcComGod3ManonHelpEvent01#0,"""/voicemsc_020060_0370 なんとか、調整が間に合ったわね。"""
NpcComGod3AinaHelpEvent01#0,"""/voicemsc_020060_0360 こちらアイナ。<br>これから、支援するよ！"""
NpcComGod3Nadereh01#0,"""/voicemsc_020060_0380 どうやら私の出番のようだな。"""
NpcComGod3IlmaHelpEvent01#0,"""/voicemsc_020060_0390 よし、僕も援護するよ。"""
NpcComGod3IlmaHelpEvent02#0,"""/voicemsc_020060_0400 ちゃんとテストしてないけど、<br>たぶん大丈夫なはず……。"""
NpcComGod3Glen01#0,"""/voicemsc_020060_0410 これより、支援を行う。"""
NpcComGod3Glen02#0,"""/voicemsc_020060_0420 我々のぶんまで、頼んだぞ。"""
