skit01_01#0,"""Hola nya~<br>¿Eres un ARKSnya?~<br>Soy parte-miau."""
skit01_02#0,"""Cuando me di cuenta de que estaba en un lugar desconocido... Un Arks me ayudó... y me trajo aquí~Nya."""
skit01_03#0,"""Tengo una variedad de historias...<br>Aquí entendí que estaba en un mundo equivocado...<br>Entendí que estaba realmente equivocado..."""
skit01_04#0,"""Quiero volver a mi mundo original... Nico... Entonces, ARKSnya.<br><br>¿Podrías escuchar mi petición?."""
skit02_01#0,"""Escucha la historia<br>Gracias~Nya."""
skit02_02#0,"""Por favor, tenga cuidado y vuelva pronto.<br><br>Bienvenido a casa."""
skit03_01#0,"""Cómo usar (Momi-An)Nya a quien la Srita. Xiera enseñó."""
skit03_02#0,"""Acerca de (Momoya)<br>¿No sabes qué hacer~nya?."""
skit03_03#0,"""Si hay algo que no entiendes, pregúntame (Te enseñaré)Nya~."""
skit04_01#0,"""Aquí no solo está el Sr. Ranger de Hunter, el Sr. Force...<br><br>Nya tiene muchos nombres."""
skit04_02#0,"""Una variedad de ARKS me dice el nombre y la clase, etc.<br><br><br><br>Todos son muy amigables, Nyahaha."""
skit05_01#0,"""Sr. Marido, por favor escucha<br>toda mi solicitud, y muchas gracias."""
skit05_02#0,"""Nyah para volver al mundo de marido<br>fuente de gracias.<br>Pero, Owakare es solitario Nha....."""
skit05_03#0,"""Así que, decidí quedarme aqui un poco más~Nya...<br><br>Quiero recordar este mundo~Nya."""
skit05_04#0,"""Si no recuerdas bien la batalla, volverás al mundo anterior correctamente."""
skit05_05#0,"""Pero, yo soy tu esposo Otomonha. Entonces, siempre llámame Nya. Estoy esperando que me llames~Nya."""
