name_7245#0,"""Xiemmy"""
ssn_019180_002_0010#0,"""あ……、来てくれたんですね。<br>……あらためて、自己紹介します。"""
ssn_019180_002_0020#0,"""私は、シェミー。<br>技術開発部で、装備の開発を担当しています。"""
ssn_019180_002_0030#0,"""……で、本題なんですけど……。"""
ssn_019180_002_0011#0,"""あ……、来てくれたんですね。<br>ありがとうございます。"""
ssn_019180_002_0021#0,"""あの……、すごく……助かります。<br>うれしいです。"""
ssn_019180_002_0031#0,"""そ、それで……、<br>本題……なんですけど。"""
ssn_019180_002_0040#0,"""装備の“限界突破”って、<br>ご存じですか……？"""
ssn_019180_002_0050#0,"""装備のポテンシャルを……引き出すうえで、<br>すごく……重要なんですけど……。"""
ssn_019180_002_0060#0,"""でも……、<br>やらないヒトも少なくないみたいで……。"""
ssn_019180_002_0070#0,"""それで、みなさんにやりかたを覚えてもらうために、<br>あなたに、お手本に……なってもらいたいんです。"""
ssn_019180_002_0080#0,"""あなたが、必要な素材を集めるところを、<br>モニター……させてもらえないでしょうか。"""
ssn_019180_002_0090#0,"""素材をすこしお渡ししますので、<br>残りのぶんの収集を、頼めます……でしょうか？"""
ssn_019180_002_0100#0,"""その……、お手数ですけど、<br>よろしくお願いします。"""
ssn_019180_002_0101#0,"""ストラグメントAを7個、ストラグメントBを7個、<br>ストラグメントCを7個、N-エクスキューブを1個入手しました。"""
ssn_019180_002_0102#0,"""ストラグメントAを1個、ストラグメントBを1個、<br>ストラグメントCを1個入手しました。"""
ssn_019180_002_0120#0,"""あ、おかえり……なさい。"""
ssn_019180_002_0130#0,"""素材の収集、<br>ありがとう……ございました……。"""
ssn_019180_002_0140#0,"""しっかり記録……したので、<br>ほかのアークスたちに共有……したいと思います。"""
ssn_019180_002_0150#0,"""それで、次は、<br>実際の限界突破……なんですけど……。"""
ssn_019180_002_0160#0,"""そちらの手順は……、<br>自分たちのほうで、対応……したいと思います。"""
ssn_019180_002_0170#0,"""……今回、手に入れた素材は、<br>好きな装備の強化に……あててください。"""
ssn_019180_002_0180#0,"""装備は、いろいろとカスタマイズ……できるので、<br>挑戦してもらえると……うれしいです。"""
ssn_019180_002_0190#0,"""今回は、協力……ありがとうございました。"""
ssn_019180_002_0200#0,"""これからも……、<br>よ、よろしくお願いします。"""
ssn_019180_002_0300#0,"""やっぱり、私、こういう宣伝活動……みたいなの、<br>得意じゃないんですけど……。"""
ssn_019180_002_0310#0,"""な、なにかお手伝いできること、<br>ありますか……？"""
ssn_019180_002_0400#0,"""装備品のこと、もっと……みなさんに、<br>知ってもらうため……頑張ります。"""
ssn_019180_002_0410#0,"""な、なにかお手伝いできること、<br>ありますか……？"""
npc_menu_0010#0,"""Seasonal Point Exchange (Until $(0))"""
npc_menu_0030#0,"""Item Recycle (Until $(0))"""
npc_menu_0040#0,"""Ask about the Seasonal Event"""
npc_menu_0050#0,"""Close Menu"""
npc_menu_0060#0,"""Item Recycle (Until $(0))"""
npc_menu_1010#0,"""About Seasonal Events"""
npc_menu_1020#0,"""About Seasonal Enemies"""
npc_menu_1040#0,"""About Seasonal Regional Mags"""
npc_menu_1050#0,"""About Stragments"""
npc_menu_2000#0,"""Never mind"""
