name_7418#0,"""Bergmann"""
ssn_011100_0001#0,"""Isn't Central City the tops?"""
ssn_011100_0002#0,"""When it's sunny, try getting up on the wall. You can get a great view."""
ssn_011100_0101#0,"""By the way, do you have a moment? There's something I wanted to ask you."""
ssn_011100_0102#0,"""You know about the Aelio region's many mountains, don't you? I used to climb them all the time."""
ssn_011100_0103#0,"""I used to be a frontline ARKS, fighting DOLLS day in, day out, but the injuries took a steep toll..."""
ssn_011100_0104#0,"""So now, I'm stuck down here in the lowlands, working in the City."""
ssn_011100_0105#0,"""For one reason or another, my workload has been really mounting up lately, so I never get a chance to go outside any more."""
ssn_011100_0106#0,"""I've been thinking about where I'd like to go if I ever get some free time. I'd want to go somewhere I've been before, when I was still at peak performance."""
ssn_011100_0107#0,"""You're hiking around all over the place for your duties, aren't you? Could you climb this mountain and send me as much data on the scenery as you can?"""
ssn_011100_0108#0,"""Not that it's a high priority. Just whenever you have time."""
ssn_011100_0201#0,"""I see... You're busy too. I'll belay my request for some other time, then."""
