EnemyWeak#0,"""試し斬りにもならないの……"""
EnemyLarge#0,"""ちょっとは強そう……"""
EnemyBoss#0,"""わくわく……する……"""
EnemyRare#0,"""変なのがいる……<br>斬っていい？"""
EnemyBoost#0,"""あれは強い……<br>私も……戦いたい……"""
DestroyEnemy1#0,"""もっと斬りたい……"""
DestroyEnemy2#0,"""終わった……"""
DestroyEnemy3#0,"""こんなところで、負けられない……"""
CondFreeze#0,"""凍っちゃった……"""
CondBurn#0,"""熱い……"""
CondShock#0,"""ビリビリ……する……"""
CondPoison#0,"""苦しい……かも……"""
CondPanic#0,"""剣が……ゆらゆら……"""
CondStan#0,"""あ……動けない……"""
CondMirage#0,"""リーダーがいっぱいいる"""
Die#0,"""くっ……不覚……"""
ThankHeal#0,"""ありがとう……"""
ThankBuff#0,"""鋭くなった？"""
ThankCure#0,"""助かった……"""
DefeatEnemy#0,"""全部斬っちゃったみたい"""
LevelUp#0,"""強くなるのは、いいこと……"""
InvokeSkill1#0,"""Hah!"""
InvokeSkill2#0,"""斬り……捨てる！"""
InvokeSkill3#0,"""次は……斬る"""
PBFull#0,"""研ぎ澄まされていく……！"""
PBRelease#0,"""これが、私の力……"""
Avoid#0,"""見切った"""
HealSelf#0,"""治療を……"""
BuffSelf#0,"""もっと、鋭く！"""
HealOther#0,"""治してあげる……"""
BuffOther#0,"""まだ、これから……"""
QuestStart1#0,"""がんばる"""
QuestEnd1#0,"""終わり。<br>私を、上手く使えた？"""
IncidentStart#0,"""戦況が変わった……<br>切り抜けられる？"""
IncidentSuccess#0,"""さすが"""
IncidentFailure#0,"""もっと上手に、私を使って……"""
PSE#0,"""ＰＳＥみたい"""
PSELevelUp#0,"""もっとＰＳＥ……"""
PSEBurst#0,"""バーストした。<br>すごい……"""
HP30#0,"""苦戦かも……"""
HP10#0,"""私、壊れちゃう……"""
ItemRare#0,"""それって……強い装備？"""
DamageSmall#0,"""Uhn!"""
DamageMiddle#0,"""だめ……"""
DamageLarge#0,"""ああっ……！"""
Trap#0,"""捕まった……"""
ThankTrapRescue#0,"""Thank you very much!"""
TrapRescueOther#0,"""外した。<br>これで、動ける？"""
MemberDamaged#0,"""痛くない？"""
MemberDead#0,"""許さない……"""
AbilityExe#0,"""武器と使い手……<br>心ひとつに……！"""
AbilitySpecial#0,"""これが……<br>あなたの振るう、私の力！"""
Resurrect#0,"""今度こそ……うまくやる"""
PartyJoin#0,"""/ci2 1 ついてく"""
Marvelous#0,"""おぉー……"""
IncidentJsApcBegin#0,"""/ci2 1 来た……<br>指示を出して。私を使って"""
IncidentJsApcFailure#0,"""だめだった……<br>次はもっと、ちゃんとお願い"""
IncidentJsApcSuccess#0,"""/ci2 1 いい戦いだった……<br>私、満足"""
IncidentJsApcBeginEvo#0,"""/ci2 2 戦闘続行……<br>采配に……期待……"""
EnemyWeak#1,"""蹴散らすぞ"""
EnemyLarge#1,"""気を引き締めてかかるぞ！"""
EnemyBoss#1,"""相手に不足なし。<br>我が正義を貫くのみだ！"""
EnemyRare#1,"""……見かけないエネミーだな"""
EnemyBoost#1,"""危険なエネミーだ！\u3000気をつけろ！"""
DestroyEnemy1#1,"""この程度か"""
DestroyEnemy2#1,"""こんなところだな"""
DestroyEnemy3#1,"""これが罪の報いだ"""
CondFreeze#1,"""しまった！<br>凍って動けん……！"""
CondBurn#1,"""くっ、火が……！"""
CondShock#1,"""痺れる……！<br>俺の雷が負けるとは……！"""
CondPoison#1,"""毒か……<br>こんなもの、気合いでなんとか……"""
CondPanic#1,"""き……気にするな、大丈夫だ。<br>ところで右はどっちだ？"""
CondStan#1,"""くっ……<br>止められたか……"""
CondMirage#1,"""幻か……？<br>狙いが定まらん……"""
Die#1,"""力、およばなかったか……"""
ThankHeal#1,"""すまない、助かった！"""
ThankBuff#1,"""力がみなぎる！"""
ThankCure#1,"""これで万全だ！"""
DefeatEnemy#1,"""エネミーを掃討しきったようだな"""
LevelUp#1,"""また、腕を上げたようだな"""
InvokeSkill1#1,"""くらえっ！"""
InvokeSkill2#1,"""打ち砕け！"""
InvokeSkill3#1,"""裁きの力よ！"""
PBFull#1,"""力が……満ちたっ！"""
PBRelease#1,"""光よ、我がもとに集え！"""
Avoid#1,"""甘いな"""
HealSelf#1,"""癒やしの光よ！"""
BuffSelf#1,"""雷光の力よ！"""
HealOther#1,"""いま助ける！"""
BuffOther#1,"""援護する！"""
QuestStart1#1,"""我が剣を稲妻と為し<br>悪しき者を討ち滅ぼさん！"""
QuestEnd1#1,"""任務完了。<br>俺たちの戦いは、また一歩前進した"""
IncidentStart#1,"""想定外の出来事も、任務には付きものか。<br>臨機応変に対応しよう"""
IncidentSuccess#1,"""上々の成果だな。<br>よし、任務に戻ろう"""
IncidentFailure#1,"""失敗か……<br>仕方ない、ここからの戦いで挽回しよう"""
PSE#1,"""ＰＳＥか"""
PSELevelUp#1,"""順調だな。このままバーストできるか？"""
PSEBurst#1,"""ＰＳＥバーストだ！<br>一気に行くぞ！"""
HP30#1,"""なかなか手強い……"""
HP10#1,"""負けるわけにはいかん……！"""
ItemRare#1,"""良い戦利品を得たようだな"""
DamageSmall#1,"""くっ！"""
DamageMiddle#1,"""Damn it!"""
DamageLarge#1,"""ぐあっ！"""
Trap#1,"""不覚……！<br>こんなものに捕まるとは！"""
ThankTrapRescue#1,"""感謝する。<br>まったく、俺としたことが……"""
TrapRescueOther#1,"""ケガは無いか？<br>……よし、先を急ぐぞ"""
MemberDamaged#1,"""大丈夫か！？<br>危ない状態なら下がってくれ！"""
MemberDead#1,"""劣勢か……<br>俺が、踏みとどまらねば！"""
AbilityExe#1,"""この雷こそ、俺の意志……！"""
AbilitySpecial#1,"""さぁ、断罪の刻だ！"""
Resurrect#1,"""負けるわけにはいかない……！"""
PartyJoin#1,"""/ci2 1 ライトニングエスパーダ、推参"""
Marvelous#1,"""いい動きだ！"""
IncidentJsApcBegin#1,"""/ci2 1 すまない、援護を頼む！"""
IncidentJsApcFailure#1,"""厳しいか……！<br>離脱するぞ！"""
IncidentJsApcSuccess#1,"""/ci2 1 助かったよ。<br>この先も気をつけてくれ。<br>武運を！"""
IncidentJsApcBeginEvo#1,"""/ci2 2 敵の増援か？<br>仕方ない、薙ぎ払うぞ！"""
EnemyWeak#2,"""おーおー、ザコがご苦労なこった"""
EnemyLarge#2,"""うわ、こいつの相手すんの？<br>ダルいな……"""
EnemyBoss#2,"""うげーっ……<br>やべえぞ、こいつ……<br>後ろで見てていいか？\u3000ダメ？"""
EnemyRare#2,"""レアなやつ発見……<br>潰しとくか？"""
EnemyBoost#2,"""あれって普通より強いやつじゃん……<br>アンラッキーすぎんだろ……"""
DestroyEnemy1#2,"""けっ！"""
DestroyEnemy2#2,"""弱ぇんだよ"""
DestroyEnemy3#2,"""うぜぇ……"""
CondFreeze#2,"""ひいっ！<br>寒っ！\u3000冷たっ！"""
CondBurn#2,"""うおっ！？\u3000燃えてるぞ！<br>消してくれ！"""
CondShock#2,"""あびゃばばばばば……"""
CondPoison#2,"""毒にやられちまった。<br>クソみてぇな気分だ……"""
CondPanic#2,"""あー……<br>気持ちいいような<br>気持ち悪いような……"""
CondStan#2,"""体が……動かねぇ……"""
CondMirage#2,"""なんか七色のリリーパ族が<br>空を飛んでるぞ？"""
Die#2,"""クソッ……どうせ俺なんか……"""
ThankHeal#2,"""あ、ありがとよ……"""
ThankBuff#2,"""余計なお世話だ！<br>だが……ありがとよ……"""
ThankCure#2,"""お、恩に着る……"""
DefeatEnemy#2,"""もうこの辺、エネミーいないし……<br>帰っても……いいだろ？"""
LevelUp#2,"""んだよ。おめでとうって言ってほしいのか？"""
InvokeSkill1#2,"""どうだ……"""
InvokeSkill2#2,"""逃がすかよぉ！"""
InvokeSkill3#2,"""そこだ！\u3000そこぉ！"""
PBFull#2,"""この辺で片付けようぜ……"""
PBRelease#2,"""あー、ダリィ……いい加減にしとけよ"""
Avoid#2,"""あぶねっ！"""
HealSelf#2,"""死ぬかと思った……"""
BuffSelf#2,"""やってやるぜ……"""
HealOther#2,"""チッ……<br>しょうがねぇな……"""
BuffOther#2,"""感謝しろよ"""
QuestStart1#2,"""とっとと終わらせんぞ……"""
QuestEnd1#2,"""やっと終わりかよ……<br>早く帰ろうぜ"""
IncidentStart#2,"""面倒が増えやがった……"""
IncidentSuccess#2,"""はー……上手く行ったのか"""
IncidentFailure#2,"""くたびれ損かよ……"""
PSE#2,"""ＰＳＥねえ……"""
PSELevelUp#2,"""ＰＳＥレベルアップな。<br>まあ……あんまり期待しないでおくよ"""
PSEBurst#2,"""ＰＳＥバースト？<br>マジかよ……<br>今のうちに稼ごうぜ"""
HP30#2,"""ヤベーって、おい！"""
HP10#2,"""おい……早く助けろ……"""
ItemRare#2,"""なんでお前だけ……<br>日頃の行いってやつかよ？"""
DamageSmall#2,"""だぁっ！"""
DamageMiddle#2,"""ぎゃっ！"""
DamageLarge#2,"""畜生……！"""
Trap#2,"""あぁ！？\u3000なんだこれ……<br>罠かよ、クソッ……"""
ThankTrapRescue#2,"""ひとりでも出られたっての……<br>でも、ま……た……助かったよ……"""
TrapRescueOther#2,"""ふん……見捨ててもよかったんだぜ。<br>感謝しとけよ……"""
MemberDamaged#2,"""おい……<br>もっとしっかりしろよ……"""
MemberDead#2,"""クソ！<br>この状況でどうしろってんだよ……"""
AbilityExe#2,"""フヒ……フヒヒヒヒ！<br>なんか妙に気分がいいぜ……"""
AbilitySpecial#2,"""俺に勝てるとでも思ったのかよ？<br>残念だったなぁ！！"""
Resurrect#2,"""見てろよ……<br>１００倍にしてやり返してやる！"""
PartyJoin#2,"""/ci2 1 俺でいいのかよ……"""
Marvelous#2,"""よくやるよなぁ、ほんと……"""
IncidentJsApcBegin#2,"""/ci2 1 ……おい、ちょっと手ぇ貸せ。<br>俺、今ヤベェんだよ！<br>見殺しにすんなって！"""
IncidentJsApcFailure#2,"""ま……逃げる余裕くらいはできたか。<br>ずらかるぞ……"""
IncidentJsApcSuccess#2,"""/ci2 1 うぐっ……わ、わかったよ。<br>ちゃんと言うよ。<br>……あ、あ、ああありがとな"""
IncidentJsApcBeginEvo#2,"""/ci2 2 やめてくれよ……<br>まだ来るのかよ……"""
EnemyWeak#3,"""あまり強くないエネミーのようです。<br>消し炭にします"""
EnemyLarge#3,"""大型のエネミーですね。<br>ですがご安心を。<br>迅速に吹き飛ばします"""
EnemyBoss#3,"""強敵です！\u3000ご指示を！<br>辺り一面を焼け野原にしようと<br>この私が仕留めてご覧に入れます！"""
EnemyRare#3,"""珍しいエネミーです。<br>ひとまず粉々に爆破しましょうか"""
EnemyBoost#3,"""強化されたエネミーでしょうか？<br>ご命令とあらば、焼き払います"""
DestroyEnemy1#3,"""撃破しました"""
DestroyEnemy2#3,"""完璧な作戦でした"""
DestroyEnemy3#3,"""誇らしい戦果です"""
CondFreeze#3,"""凍ってしまいました……<br>こんな氷、大砲さえ撃てれば……！"""
CondBurn#3,"""なんだか熱いです。<br>大砲のオーバーヒートでしょうか？"""
CondShock#3,"""しびしびびれれれましたたたたたた"""
CondPoison#3,"""毒を受けたようです……"""
CondPanic#3,"""目が回っておりますので<br>ひとまず適当に発射いたします"""
CondStan#3,"""動けない！<br>作戦行動に支障が……！"""
CondMirage#3,"""狙いが定まりませんので<br>ひとまず適当に発射いたします"""
Die#3,"""申し訳、ありません……"""
ThankHeal#3,"""これで、まだ戦えます！"""
ThankBuff#3,"""支援、感謝します"""
ThankCure#3,"""コンディション回復。<br>これなら作戦行動には問題ありません"""
DefeatEnemy#3,"""掃討完了。<br>もはや周囲に敵は存在しません"""
LevelUp#3,"""Congratulations!"""
InvokeSkill1#3,"""吹き飛ばします"""
InvokeSkill2#3,"""薙ぎ払います"""
InvokeSkill3#3,"""もっと、火力を！"""
PBFull#3,"""次の一撃で、全て破壊します"""
PBRelease#3,"""エネルギー充填……解放します"""
Avoid#3,"""転進！"""
HealSelf#3,"""この程度の傷、問題ありません"""
BuffSelf#3,"""これが次の作戦です"""
HealOther#3,"""応急手当、完了しました"""
BuffOther#3,"""支援いたします"""
QuestStart1#3,"""戦いのご命令を。<br>全ての標的を破壊します"""
QuestEnd1#3,"""任務完了。<br>今日もまた、全ての命令を<br>完璧に遂行できました"""
IncidentStart#3,"""緊急事態発生ですね。<br>ですが私の火力があれば<br>心配には及びません"""
IncidentSuccess#3,"""問題無く対処できました。<br>これも的確な指揮と<br>私の火力あってこそでしょう"""
IncidentFailure#3,"""申し訳ありません……<br>火力が足りなかったようです……"""
PSE#3,"""ＰＳＥの発生を確認"""
PSELevelUp#3,"""ＰＳＥがレベルアップしたようです。<br>この調子でバーストを狙いましょう"""
PSEBurst#3,"""ＰＳＥバーストです！<br>今こそ全力で攻勢をかけましょう！"""
HP30#3,"""まだ私は……戦えます……"""
HP10#3,"""くっ……<br>任務なかばにして倒れるわけには……"""
ItemRare#3,"""ふむふむ……それがあれば<br>さらに火力が上昇するのですか？"""
DamageSmall#3,"""くっ"""
DamageMiddle#3,"""この程度……！"""
DamageLarge#3,"""うわあっ！"""
Trap#3,"""申し訳ありません！<br>敵の卑劣な罠に捕らえられました"""
ThankTrapRescue#3,"""救助、感謝します！"""
TrapRescueOther#3,"""ご無事でしょうか？<br>気をつけて行きましょう"""
MemberDamaged#3,"""衛生兵っ、衛生兵ーっ！"""
MemberDead#3,"""くっ……<br>私の大砲にもっと火力があれば<br>こんな事には……！"""
AbilityExe#3,"""今なら、どんな敵であろうとも<br>木っ端微塵にできる気がします"""
AbilitySpecial#3,"""３、２、１……<br>ファイヤーッ！！"""
Resurrect#3,"""戦線に復帰いたします"""
PartyJoin#3,"""/ci2 1 はっ。<br>シューティングドライブ、参ります"""
Marvelous#3,"""素晴らしい戦果です"""
IncidentJsApcBegin#3,"""/ci2 1 奇遇ですね。<br>私も作戦行動中です。<br>よろしければ共闘いたしませんか？"""
IncidentJsApcFailure#3,"""撤退を進言いたします。<br>私が敵を食い止めている間に<br>お逃げください！"""
IncidentJsApcSuccess#3,"""/ci2 1 さすがです！<br>私ひとりでは<br>この戦果は無かったでしょう"""
IncidentJsApcBeginEvo#3,"""/ci2 2 敵勢力、増大！<br>さぁ！\u3000次のご指示を"""
EnemyWeak#4,"""敵……なの？"""
EnemyLarge#4,"""おっきーい！"""
EnemyBoss#4,"""ちょっと、怖いの……<br>くっついてて、いい？"""
EnemyRare#4,"""変わったエネミーなの"""
EnemyBoost#4,"""強い敵……なの？"""
DestroyEnemy1#4,"""やっつけたの"""
DestroyEnemy2#4,"""邪魔しちゃダメ……"""
DestroyEnemy3#4,"""エネルギー、使っちゃったの"""
CondFreeze#4,"""冷たいの……"""
CondBurn#4,"""燃えちゃう……"""
CondShock#4,"""しびれちゃった……"""
CondPoison#4,"""毒はイヤ……"""
CondPanic#4,"""迷子になりそう……"""
CondStan#4,"""エネルギー……切れ……？"""
CondMirage#4,"""遠くが近くで……<br>近くが遠く……"""
Die#4,"""ごめんなさい……なの……"""
ThankHeal#4,"""ありがとうなの"""
ThankBuff#4,"""力が湧いてくるの……"""
ThankCure#4,"""元気になったの！"""
DefeatEnemy#4,"""邪魔ものは、いなくなったの。<br>これでゆっくり歩けるの"""
LevelUp#4,"""力を感じる……"""
InvokeSkill1#4,"""そーれっ"""
InvokeSkill2#4,"""どっかーん！\u3000なの"""
InvokeSkill3#4,"""エネルギー……解放！"""
PBFull#4,"""今なら……できるの！"""
PBRelease#4,"""力が……あふれてくる……！"""
Avoid#4,"""わわわー"""
HealSelf#4,"""エネルギー充填……なの"""
BuffSelf#4,"""がんばる！"""
HealOther#4,"""だいじょうぶ？"""
BuffOther#4,"""がんばって……なの"""
QuestStart1#4,"""行くの。一緒に……"""
QuestEnd1#4,"""あれ……終わってる？"""
IncidentStart#4,"""なになに？<br>どうしたの？"""
IncidentSuccess#4,"""がんばった？<br>えへへ……"""
IncidentFailure#4,"""悲しいの……"""
PSE#4,"""わー！\u3000ＰＳＥなの！"""
PSELevelUp#4,"""ＰＳＥが強くなったみたい"""
PSEBurst#4,"""やったあ！<br>バーストしたの！"""
HP30#4,"""エネルギーが……足りないの……"""
HP10#4,"""お願い……<br>くっついてて……"""
ItemRare#4,"""珍しいもの……なの？"""
DamageSmall#4,"""いたいの……"""
DamageMiddle#4,"""やめてほしいの……"""
DamageLarge#4,"""わーん！"""
Trap#4,"""あれ……？<br>動けないの……"""
ThankTrapRescue#4,"""ほっ……<br>助かったの"""
TrapRescueOther#4,"""とれた？<br>よかったの！"""
MemberDamaged#4,"""だいじょうぶ？"""
MemberDead#4,"""ど、どうしよう……"""
AbilityExe#4,"""エネルギー……充填完了……"""
AbilitySpecial#4,"""見てて……<br>私の……全力！"""
Resurrect#4,"""まだ……がんばるの"""
PartyJoin#4,"""/ci2 1 面白い石が、見つかるといいの……"""
Marvelous#4,"""頼りになるの……"""
IncidentJsApcBegin#4,"""/ci2 1 助けてほしいの……<br>迷子なの"""
IncidentJsApcFailure#4,"""あっちの方に<br>いい石が落ちてるかも。<br>行ってみるの……"""
IncidentJsApcSuccess#4,"""/ci2 1 ありがとうなの。<br>わたし、また石を探しに行くの"""
IncidentJsApcBeginEvo#4,"""/ci2 2 あれ……？<br>増えてる気がするの"""
EnemyWeak#5,"""余裕です☆"""
EnemyLarge#5,"""へっちゃらです☆"""
EnemyBoss#5,"""大きければいいってもんじゃ<br>ありませんよ！"""
EnemyRare#5,"""あれって、めずらしい子ですよね！<br>へへ、もらっちゃいましょう☆"""
