un_020300_0010#0,"""Hello, <%me>! como has estado?"""
un_020300_0020#0,"""No sé cuántas veces, pero he estado haciendo muchas misiones sigilosas. Debería ser perfecto para ocultarme a mí ahora."""
un_020300_0030#0,"""Para una Idol, ocultarse completamente no es una tarea fácil. Sólo diré que ser famosa no es fácil."""
un_020300_0040#0,"""Hm? ¿Por qué sigo siendo una Idol? Para la seguridad, ¿hay alguna otra razón?"""
un_020300_0050#0,"""En mi profesión, no es raro que las personas simplemente se retiren, ¿verdad?"""
un_020300_0060#0,"""Por eso pensé que si continúo siendo famosa como una Idol, entonces podría ser más difícil desaparecer."""
un_020300_0070#0,"""Mi profesión puede ser sigilosa, pero prefiero no simplemente desaparecer."""
un_020300_0080#0,"""Eso y, porque estoy usando las hojas de Mai, es especialmente fácil para mí ser olvidada por todo el mundo."""
un_020300_0090#0,"""Es por eso que pensé que si hago mi mejor esfuerso como una Idol, que incluso si  muero, todo el mundo podría recordarme."""
un_020300_0100#0,"""Los movimientos son así, pasan rápidamente y luego se olvidan por completo."""
un_020300_0110#0,"""Pero está bien, si puedo hacer algo que todo el mundo recuerde, entonces estoy bien. Por eso estoy haciendo mi mejor esfuerzo como una Idol."""
