name01#0,"""???"""
name02#0,"""???"""
ra_020050_0001#0,"""A.P.238/6/29"""
ra_020050_0010#0,"""...I'd like to tell you a story.<br>A story of a foolish \""thing\""<br>and a foolish \""person\""."""
ra_020050_0020#0,"""When the \""thing\"" that knew all things<br>met a \""person\"" who held an interest in all things sets the stage for this story."""
ra_020050_0030#0,"""The \""thing\"" granted the wish of the \""person\"", bestowing wisdom and knowledge."""
ra_020050_0040#0,"""To the \""thing\"", such knowledge was only trivial, but the \""person\"" used it as a foundation for evolution."""
ra_020050_0050#0,"""This \""person\"" roused the curiosity of the \""thing\""."""
ra_020050_0055#0,"""Despite being omniscient, it could not understand the \""person\""s heart. The \""thing\"" was vexed."""
ra_020050_0060#0,"""And thus, the \""thing\"" and the \""person\"" became partners."""
ra_020050_0065#0,"""Providing what they wished from each other, they had a prosperous relationship which spanned a long, long time."""
ra_020050_0080#0,"""The \""person\"" was greedy and lazy. Yet for the sake of pleasure, it spared no effort. This involved wringing out knowledge from the \""thing\""."""
ra_020050_0090#0,"""This kind of behaviour was unique and fun to observe, but... It was taken too lightly."""
ra_020050_0110#0,"""When the \""thing\"" noticed that it was the cause of this sloth and would bring about an eventual downfall, it stopped answering the \""person\""s summons."""
ra_020050_0120#0,"""In doing so, with the intention to observe how the \""person\"" would change..."""
ra_020050_0130#0,"""The foolish one was not the \""person\"". It is I, the one who know but did not answer, who was foolish."""
ra_020050_0140#0,"""...Don't be concerned. When we met, I was happy. That is an unchangeable fact."""
ra_020050_0150#0,"""If not, I would not be able to be standing here talking to you. I did not believe such a present was possible."""
ra_020050_0160#0,"""There are many people who say \""The future is uncertain, therefore it is exciting.\"" Now I, too, believe it is so."""
text01#0,""" Matter Board 『To Welcome The Future』 has been obtained."""
