Title_Partyselect#0,"""파티 선택"""
Room_Friend_Filter#0,"""친구가 있는 룸을 좁히기"""
Room_Team_Filter#0,"""팀 멤버가 있는 룸을 좁히기"""
Basic_Info#0,"""기본 정보"""
Field_Info#0,"""필드 정보"""
Menber_Info#0,"""파티 멤버"""
Filter_On#0,"""ON"""
Filter_OFF#0,"""OFF"""
Room_Timecount#0,"""$(0)：$(1)"""
Room_Leaving#0,"""3시간 이상"""
PasswordTitle#0,"""패스워드 입력"""
PasswordMessage#0,"""패스워드를 입력해 주세요: """
Window_Titletelop#0,"""퀘스트 수주 메뉴"""
Window_TwolineGuide#0,"""자신이 파티 리더가 될지, 다른 파티에 멤버로 참가할지 선택해 주세요."""
Window_ControlGuide#0,"""<%Decide>：결정\u3000<%Cancel>：취소"""
Top_Quest_info#0,"""퀘스트 정보"""
Top_Quest_infodetails#0,"""퀘스트 상세"""
Title_Quest_Name#0,"""개요"""
Title_Quest_Reward#0,"""보수 <yellow>※클리어 결과에 따라 변경<c>"""
Title_Quest_Reward_2#0,"""첫회 클리어 보수 <yellow>※계정당 1회만<c>"""
Title_Quest_Restriction#0,"""제한"""
Title_Quest_Recommended#0,"""권장 능력치"""
Title_Quest_Order#0,"""수주 조건"""
Title_Quest_Clear_Failure#0,"""클리어 조건/실패 조건"""
Title_Quest_Clear#0,"""클리어 조건"""
Title_Quest_Failure#0,"""실패 조건"""
Title_Quest_Description#0,"""설명"""
Btn_Departimmediately#0,"""즉시 출발하기"""
Btn_Partyconfluence#0,"""파티에 합류"""
AcceptNG_Description1#0,"""파티 멤버는<br>퀘스트를 수주할 수 없습니다."""
AcceptNG_Description2#0,"""조건을 충족하지 못해<br>퀘스트를 수주할 수 없습니다."""
AcceptNG_Description3#0,"""클리어 횟수 제한을 넘은 멤버가 있어<br>퀘스트를 수주할 수 없습니다."""
AcceptNG_Description4#0,"""작전을 준비하고 있어<br>퀘스트를 수주할 수 없습니다."""
Btn_Fasttravel#0,"""패스트 트래블"""
Btn_Storyconfirmation#0,"""스토리 확인"""
Title_Mainmission#0,"""메인 미션"""
Title_Submission#0,"""사이드 미션"""
Title_Bestscore#0,"""개인 기록 (솔로 플레이)"""
Title_Bestscore_Challengebuff#0,"""개인 기록 (솔로 플레이 ・$(0))"""
Title_Bestscore_pt#0,"""개인 기록 (파티 플레이)"""
Title_Bestscore_pt_Challengebuff#0,"""개인 기록 (파티 플레이・$(0))"""
Title_Subjugationtarget#0,"""토벌 목표 에너미"""
Title_Recommendeditems#0,"""추천 드랍 아이템"""
Reward_Exp#0,"""$(0)<pict 4space><pict exp_boost_icon>"""
Reward_Meseta#0,"""$(0)<pict 4space><pict reb_meseta>"""
Reward_SeasonPoint#0,"""$(0)<pict 4space><pict event_point>"""
Reward_quantity#0,"""×$(0)"""
Reward_quantity2#0,"""+$(0)"""
Reward_Skillpt#0,"""스킬 포인트"""
Bestscore_time#0,"""$(1):$(2).$(0)"""
Bestscore_score#0,"""$(0)Pt"""
Bestscore_score_bonus1#0,"""<yellow>스코어 배율<c>"""
Bestscore_score_bonus2#0,"""<yellow>+$(0)%<c>"""
Bestscore_score_bonus2_Minus#0,"""<yellow>－$(0)%<c>"""
Bestscore_score_bonus3#0,"""<yellow>클리어 난이도 배율: <c>"""
Bestscore_score_bonus4#0,"""<yellow>$(0)%<c>"""
Bestscore_score_bonus4_Minus#0,"""<yellow>$(0)%<c>"""
Trigger_Reward#0,"""<yellow>보수 수령 가능<c>"""
Trigger_NoReward#0,"""<vivid_red>보수 수령 완료 다음 보수： 【일시】<c>"""
HighLevelQuestName#0,"""<yellow>긴급 퀘스트<c>"""
CreateNewRoom#0,"""퀘스트 수주하기"""
InRoom#0,"""퀘스트 중인 파티 참가"""
OrdersOption#0,"""수주 설정을 변경하기"""
Exit_QuestCounter#0,"""퀘스트 수주 메뉴에서 나가기"""
SelectPartyList#0,"""현재 블록 파티에 참가"""
SearchPartyList#0,"""퀘스트 검색 후 참가"""
QuestSelectTitle#0,"""퀘스트 선택"""
EventQuestName#0,"""기간 한정 퀘스트"""
BonusQuestName#0,"""보너스 퀘스트"""
