ChallengeSet#0,"""クラスセット"""
ChallengeSet_contents#0,"""クラスセット内容"""
ChallengeSet_ability#0,"""クラスセット説明（決定でクラススキルなど詳細を確認）"""
ChallengeSet_ability_list#0,"""クラススキル・PA・テクニック一覧"""
ChallengeSet_select#0,"""クラスセット選択"""
ChallengeSet_confirm#0,"""クラスセット確認"""
ChallengeSet_message#0,"""「$(0)」の内容で、<br>装備、クラススキルなどを変更します。<br><br>よろしいですか？"""
ChallengeSet_nouse#0,"""クエストが開始されたため、<br>クラスセットは変更できません。"""
ChallengeSet_Help#0,"""<c f0df60>クラスセットを選択できます<c>"""
ChallengeSet_Toast#0,"""クラスセット「$(0)」を適用しました"""
MySetClassSetNone#0,"""Класс не установлен."""
MySetEquipSetNone#0,"""Предмет не установлен."""
MySetPreSetNone#0,"""プリセットがありません"""
StatusLabelLevel#0,"""Ур."""
NoClassSkillMessage#0,"""Отсутствуют клас. умения"""
NoPaMessage#0,"""Отсутствуют Фотон Арты"""
NoTechnicMessage#0,"""Отсутствуют техники"""
MySetClassNone#0,"""Класс не выбран."""
MySetItemNone#0,"""アイテムが選択されていません"""
Title#0,"""クラス詳細"""
ItemDetailTitle#0,"""アイテム詳細"""
Class#0,"""Класс"""
Error#0,"""Ошибка набора"""
EquipError#0,"""装備変更できませんでした。"""
ListError#0,"""マイセットを取得できませんでした。"""
QuestStartError#0,"""すでにクエストは開始しています。"""
MenuError#0,"""Нету набора."""
ClassSet_Hunter#0,"""ハンタータイプ"""
ClassSet_Ranger#0,"""レンジャータイプ"""
ClassSet_Force#0,"""フォースタイプ"""
ClassSet_Braver#0,"""ブレイバータイプ"""
ClassSet_Bouncer#0,"""バウンサータイプ"""
SkillTree_Hu#0,"""Huタイプ"""
Preset_Hu#0,"""<yellow>ハンター、ファイター<c>を組み合わせたクラスセット。<br>使用可能な武器数が多く、耐久力に優れる打撃タイプ。"""
Preset_Ra#0,"""<yellow>レンジャー、ガンナー<c>を組み合わせたクラスセット。<br>特殊弾、トラップによる支援を得意とする射撃タイプ。"""
Preset_Fo#0,"""<yellow>フォース、テクター<c>を組み合わせたクラスセット。<br>全属性の攻撃、補助テクニックを駆使する法撃タイプ。"""
Preset_Br#0,"""<yellow>ブレイバー、ハンター<c>を組み合わせたクラスセット。<br>距離を問わない戦闘が可能なバランスタイプ。"""
Preset_Bo#0,"""<yellow>バウンサー、ハンター<c>を組み合わせたクラスセット。<br>空中戦、機動力に秀でるバランスタイプ。"""
ClassSet_CH3_Fi#0,"""<c ffc000>アタック<c>：ファイター"""
ClassSet_CH3_Gu#0,"""<c ffc000>アタック<c>：ガンナー"""
ClassSet_CH3_Br#0,"""<c ffc000>アタック<c>：ブレイバー"""
ClassSet_CH3_Hu#0,"""<c 00ffff>ラッシュ<c>：ハンター"""
ClassSet_CH3_Ra#0,"""<c 00ffff>ラッシュ<c>：レンジャー"""
ClassSet_CH3_Bo#0,"""<c 00ffff>ラッシュ<c>：バウンサー"""
ClassSet_CH3_Fo#0,"""<green>サポート<c>：フォース"""
ClassSet_CH3_Te#0,"""<green>サポート<c>：テクター"""
ClassSet_CH3_Hr#0,"""<yellow>ユニーク<c>：ヒーロー"""
ClassSet_CH3_Ph#0,"""<yellow>ユニーク<c>：ファントム"""
ClassSet_CH3_Et#0,"""<yellow>ユニーク<c>：エトワール"""
ClassSet_CH3_Lu#0,"""<yellow>ユニーク<c>：ラスター"""
Preset_CH3_Fi#0,"""正面から戦う<yellow>ファイター型<c>。ＨＰ低下や<br>状態異常など逆境で強化される。"""
Preset_CH3_Gu#0,"""チェイントリガーを駆使し瞬間的に<br>大ダメージを与えられる<yellow>ガンナー型<c>。"""
Preset_CH3_Br#0,"""カタナスキルの無敵と遠距離射撃により<br>攻撃を与え続ける<yellow>ブレイバー型<c>。"""
Preset_CH3_Hu#0,"""防御に優れた<yellow>ハンター型<c>。２段ジャンプ<br>解式ＰＡ使用可。解式ゲージ増加率高。"""
Preset_CH3_Ra#0,"""ウィークバレットを持つ<yellow>レンジャー型<c>。<br>２段ジャンプ、解式ＰＡ使用可。"""
Preset_CH3_Bo#0,"""クリティカル補助を持つ<yellow>バウンサー型<c>。<br>２段ジャンプ、解式ＰＡ使用可。"""
Preset_CH3_Fo#0,"""シフタと状態異常を扱う<yellow>フォース型<c>。<br>複合テク使用可、レスタ回復力高。"""
Preset_CH3_Te#0,"""デバンドなどパーティー支援が強力な<br><yellow>テクター型<c>。複合テク、レスタ使用可。"""
Preset_CH3_Hr#0,"""多彩な攻撃とカウンターで戦うクラス。<br>大剣、双機銃、導具を装備可。"""
Preset_CH3_Ph#0,"""ジェルンで攻撃力低下を狙えるクラス。<br>長銃、抜剣、長杖を装備可。"""
Preset_CH3_Et#0,"""堅牢で、味方をＰＰ支援し戦うクラス。<br>両剣、飛翔剣、短杖を装備可。"""
Preset_CH3_Lu#0,"""銃剣を駆使した高速戦闘を<br>得意とするクラス。銃剣のみ装備可。"""
InShipToast#0,"""一時的にチャレンジブロック専用の状態に切り替わりました。"""
MainMenu_Mail#0,"""Почта общего корабля"""
MainMenu_FriendList#0,"""Сипсок друзей общего корабля"""
MainMenu_Community_Friend#0,"""Сипсок друзей общего корабля"""
MainMenu_Community_Mail#0,"""Почта общего корабля"""
MainMenu_System_SimbolArt#0,"""Символ арты общего корабля"""
MainMenu_Community_CommonFriend#0,"""Сипсок друзей общего корабля"""
