Title#0,"""T:逢魔に誘う幻惑の森"""
Explanation#0,"""異世界オメガ、クエントとヴェルンの<br>国境線上に突如大きい森が出現しました。<br>森の出現に巻き込まれた人々を助けるため<br>ハリエットさんが森に向かったようです！<br>森の中からはダークファルスに似た反応も<br>観測されており、危険です！<br>ハリエットさんの救出に向かってください！<br>――――――――――――――――――――<br>失敗条件/任務の失敗、制限時間の経過<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000全員累計9回の戦闘不能"""
SimpleExplanation#0,"""ハリエットを救出せよ！"""
NpcComMsg1#0,"""目標はハリエットさんの救出です。<br>非常に強い敵性反応が確認されており<br>危険な任務となることが予想されます。"""
NpcComMsg2#0,"""現地は、視界が悪いだけではなく<br>多数の敵性存在も確認されており<br>進行妨害される可能性があります。"""
NpcComMsg3#0,"""こちらの被害状況によっては<br>強制撤退もありえます。<br>十分に注意して向かってください！"""
Area1S#0,"""森の廃城"""
Area1L#0,"""森の廃城"""
a1#0,"""Beende einen bestimmten Klientauftrag."""
a2#0,"""Beende einen bestimmten Klientauftrag."""
a3#0,"""Besitze eine Lizenz fuer Super Schwer."""
a4#0,"""Besitze eine Lizenz fuer Super Schwer."""
TargetExplanation#0,"""クエスト目標「ハリエットを救出せよ！」<br><br><c f0df60>全員で合計 <c ff2020>9回戦闘不能<c f0df60> になるとクエスト失敗<c>"""
