Title#0,"""Endless: Memories Beyond"""
Explanation#0,"""This is a training program that was<br>based on the previous \""Special Training\""<br>simulation and improved upon. This<br>simulation will span across different<br>planets. Try to obtain a good result<br>within the time limit. This is not a<br>simulation for beginners. Good Luck.<br>――――――――――――――――――――<br>Obtain a high score within the time limit."""
SimpleExplanation#0,"""Obtain a high score!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
Area0S#0,"""VR Space (Forest)"""
Area0L#0,"""ARKS Ship - VR Space (Forest)"""
Area1S#0,"""VR Space (Urban Area)"""
Area1L#0,"""ARKS Ship - VR Space(Urban Area)"""
Area2S#0,"""VR Space (Sanctum)"""
Area2L#0,"""ARKS Ship - VR Space (Sanctum)"""
Area3S#0,"""VR Space (Ruins)"""
Area3L#0,"""ARKS Ship - VR Space (Ruins)"""
Area4S#0,"""VR Space (Coast)"""
Area4L#0,"""ARKS Ship - VR Space (Coast)"""
Area5S#0,"""VR Space (Coast)"""
Area5L#0,"""ARKS Ship - VR Space (Coast)"""
Area6S#0,"""Quarry"""
Area6L#0,"""ARKS Ship - VR Space (Quarry)"""
Area7S#0,"""VR Space (Mothership)"""
Area7L#0,"""ARKS Ship - VR Space(Mothership)"""
Area8S#0,"""VR Space (Shironia)"""
Area8L#0,"""ARKS Ship - VR Space (Shironia)"""
Area9S#0,"""VR Space (Facility)"""
Area9L#0,"""ARKS Ship - VR Space (Facility)"""
Area10S#0,"""VR Space (Corrupted Lillipa)"""
Area10L#0,"""ARKS Ship - VR Space (Corrupted Lillipa)"""
Area11S#0,"""VR Space (Corrupted Ruins)"""
Area11L#0,"""ARKS Ship - VR Space (Corrupted Ruins)"""
Area12S#0,"""VR Space (Tokyo)"""
Area12L#0,"""ARKS Ship - VR Space (Tokyo)"""
Area13S#0,"""VR Space (Las Vegas)"""
Area13L#0,"""ARKS Ship - VR Space (Las Vegas)"""
Area14S#0,"""VR Space (Corrupted Amduscia)"""
Area14L#0,"""ARKS Ship - VR Space (Corrupted Amduscia)"""
Area15S#0,"""VR Space (Earth Guide Underground)"""
Area15L#0,"""ARKS Ship - VR Space (Earth Guide Underground)"""
Area16S#0,"""VR Space (Volcanic Caves)"""
Area16L#0,"""ARKS Ship - VR Space (Volcanic Caves)"""
Area17S#0,"""VR Space (Mining Base)"""
Area17L#0,"""ARKS Ship - VR Space (Mining Base)"""
Area18S#0,"""VR Space (Sealed Grounds)"""
Area18L#0,"""ARKS Ship - VR Space(Sealed Grounds)"""
Area19S#0,"""VR Space (Moon) """
Area19L#0,"""ARKS Ship - VR Space(Moon)"""
Area20S#0,"""VR Space (Yggdrasil)"""
Area20L#0,"""ARKS Ship - VR Space (Yggdrasil)"""
Area21S#0,"""VR Space (Devil Castle Grounds)\u3000"""
Area21L#0,"""ARKS Ship - VR Space (Devil Castle Grounds)"""
Area22S#0,"""VR Space(Corrupted Forest)\u3000"""
Area22L#0,"""ARKS Ship - VR Space (Corrupted Forest)"""
Area23S#0,"""VR Space (????)"""
Area23L#0,"""ARKS Ship - VR Space (????)"""
Area24S#0,"""VR Space (ARKS Ship Wreckage - Deck)\u3000"""
Area24L#0,"""ARKS Ship - VR Space (ARKS Ship Wreckage - Deck)"""
Area25S#0,"""VR Space (Mothership)\u3000"""
Area25L#0,"""ARKS Ship - VR Space (Mothership)"""
Area40S#0,"""VR Space (Devil Castle Grounds)"""
Area40L#0,"""ARKS Ship - VR Space (Devil Castle Grounds)"""
Area41S#0,"""ＶＲ空間(市街地)"""
Area41L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area42S#0,"""ＶＲ空間(龍祭壇)"""
Area42L#0,"""アークスシップ\u3000ＶＲ空間(龍祭壇)"""
Area43S#0,"""ＶＲ空間(遺跡)"""
Area43L#0,"""アークスシップ\u3000ＶＲ空間(遺跡)"""
Area44S#0,"""ＶＲ空間(海岸)"""
Area44L#0,"""アークスシップ\u3000ＶＲ空間(海岸)"""
Area45S#0,"""ＶＲ空間(海岸)"""
Area45L#0,"""アークスシップ\u3000ＶＲ空間(海岸)"""
Area46S#0,"""VR空間(採掘場跡)"""
Area46L#0,"""アークスシップ\u3000ＶＲ空間(採掘場跡)"""
Area47S#0,"""ＶＲ空間(マザーシップ内部)"""
Area47L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ内部)"""
Area48S#0,"""ＶＲ空間(白ノ領域)"""
Area48L#0,"""アークスシップ\u3000ＶＲ空間(白ノ領域)"""
Area49S#0,"""ＶＲ空間(浮上施設)"""
Area49L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area50S#0,"""ＶＲ空間(壊世区域\u3000地下坑道)"""
