TEST#0,"""Isso é um teste."""
ConnectErrorLabel#0,"""Erro de Comunicação"""
ConnectErrorText#0,"""Desconectado do servidor. Voltando para tela inicial..."""
InvalidPasswordText#0,"""Nome de usuario invalido ou senha."""
FailVersionText#0,"""Versão do jogo não compativel com a do Servidor. Voltando para tela inicial."""
DnsError#0,"""DNS Erro"""
SignOut_Vita#0,"""Sessão finalizada pela PlayStationÂ® Network.<br>Voltando para tela inicial."""
Resume_Vita#0,"""Conexão com o servidor sem resposta.<br>Voltando para tela inicial."""
ErrorWindowText#0,"""※ara informações e soluções de erros, por favor dirija-se ao site de suporte oficial."""
ErrorCodeText#0,"""Codigo de Erro"""
OkButtonText#0,"""OK"""
WebButtonText#0,"""Visite o Site Oficial"""
ShopButtonText#0,"""Visite o Site de Compra"""
WebURL#0,"""<&URL pso2_players_manual_preparations_arkslobby_block>"""
ShopURL#0,"""<&URL AC_CHARGE_PAGE>"""
Code220_Title#0,"""Nova Versão Disponível"""
Code220_Code#0,"""Falha ao conectar com o servidor."""
Code220_Message#0,"""Nova Versão Disponível.<br>Falha ao conectar com o Servidor."""
Code221_Title#0,"""Nova Versão Disponível"""
Code221_Code#0,"""Falha ao baixar a nova versão."""
Code221_Message#0,"""Falha para atualizar<br>para a versão mais nova.<br>Por favor tente uma verificação de arquivos, então<br>se o problema persistir,<br>dirija-se ao site de suporte oficial."""
Code222_Title#0,"""Nova Versão Disponível"""
Code222_Code#0,"""Falha ao baixar a nova versão."""
Code222_Message#0,"""Falha para atualizar<br>para a versão mais nova.<br>Por favor tente uma verificação de arquivos, então<br>se o problema persistir,<br>dirija-se ao site de suporte oficial."""
Code223_Title#0,"""Checagem de Versão mais Nova"""
Code223_Code#0,"""Falha em validar versão."""
Code223_Message#0,"""Nova Versão Disponível.<br>Falha ao conectar com o Servidor."""
Code224_Title#0,"""Checagem de Versão mais Nova"""
Code224_Code#0,"""Falha em validar versão."""
Code224_Message#0,"""Nova Versão Disponível.<br>Falha ao conectar com o Servidor."""
Code225_Title#0,"""Nova Versão Disponível"""
Code225_Code#0,"""Falha ao baixar os arquivos de systema mais atuais."""
Code225_Message#0,"""Falha para atualizar<br>para a versão mais nova.<br>Por favor tente uma verificação de arquivos, então<br>se o problema persistir,<br>dirija-se ao site de suporte oficial."""
Code226_Title#0,"""Nova Versão Disponível"""
Code226_Code#0,"""Falha ao baixar os arquivos de systema mais atuais."""
Code226_Message#0,"""Falha para atualizar<br>para a versão mais nova.<br>Por favor tente uma verificação de arquivos, então<br>se o problema persistir,<br>dirija-se ao site de suporte oficial."""
Code227_Title#0,"""Nova Versão Disponível"""
Code227_Code#0,"""Falha no download do arquivo."""
Code227_Message#0,"""Falha para atualizar<br>para a versão mais nova.<br>Por favor tente uma verificação de arquivos, então<br>se o problema persistir,<br>dirija-se ao site de suporte oficial."""
Code228_Title#0,"""Nova Versão Disponível"""
Code228_Code#0,"""Falha no download do arquivo."""
Code228_Message#0,"""Falha para atualizar<br>para a versão mais nova.<br>Por favor tente uma verificação de arquivos, então<br>se o problema persistir,<br>dirija-se ao site de suporte oficial."""
Code230_Title#0,"""Conexão com a Rede"""
Code230_Code#0,"""Um erro de conexão com a rede ocorreu."""
Code230_Message#0,"""Um erro de conexão com a rede ocorreu<br>(Sem resposta do Servidor DNS)"""
Code231_Title#0,"""Conexão com a Rede"""
Code231_Code#0,"""Um erro de conexão com a rede ocorreu."""
Code231_Message#0,"""Um erro de conexão com a rede ocorreu<br>(Sem resposta do Servidor DNS)"""
Code240_Title#0,"""Conexão com a Rede"""
Code240_Code#0,"""Um erro de conexão com a rede ocorreu."""
Code240_Message#0,"""Não foi possivel conectar com o servidor.<br>Por favor verifique o status do servidor<br>em noticias etc. no site oficial."""
Code241_Title#0,"""Conexão com a Rede"""
Code241_Code#0,"""Um erro de conexão com a rede ocorreu."""
Code241_Message#0,"""Não foi possivel conectar com o servidor.<br>Por favor espere alguns instantes e tente novamente.<br>Se o problema persistir,<br>por favor dirija-se ao site de suporte oficial."""
Code242_Title#0,"""Conexão com a Rede"""
Code242_Code#0,"""Um erro de conexão com a rede ocorreu."""
Code242_Message#0,"""Não foi possivel conectar com o servidor.<br>Por favor espere alguns instantes e tente novamente."""
Code249_Title#0,"""Conexão com a Rede"""
Code249_Code#0,"""Um erro de conexão com a rede ocorreu."""
Code249_Message#0,"""Não foi possivel conectar com o servidor.<br>Por favor espere alguns instantes e tente novamente.<br>Se o problema persistir,<br>por favor dirija-se ao site de suporte oficial."""
Code250_Title#0,"""Conexão com a Rede"""
Code250_Code#0,"""Um erro de conexão com a rede ocorreu."""
Code250_Message#0,"""Não foi possivel conectar com o servidor.<br>Por favor espere alguns instantes e tente novamente.<br>Se o problema persistir,<br>por favor dirija-se ao site de suporte oficial.<br>[ No.250 - $(0) ]"""
Code601_Title#0,"""Problema com ID"""
Code601_Code#0,"""Falha na autenticação do SEGA ID."""
Code601_Message#0,"""O Servidor pode estar em manutanção. Por favor verifique o website oficial para o status do servidor."""
Code602_Title#0,"""Problema com ID"""
Code602_Code#0,"""Falha na autenticação do SEGA ID."""
Code602_Message#0,"""Por favor verifique o seu SEGA ID (deve estar todo em minusculo) e senha, então reconect."""
Code603_Title#0,"""Problema com ID"""
Code603_Code#0,"""Falha na autenticação do SEGA ID."""
Code603_Message#0,"""Por favor verifique o seu SEGA ID (deve estar todo em minusculo) e senha, então reconect."""
Code604_Title#0,"""Problema com ID"""
Code604_Code#0,"""Falha na autenticação do SEGA ID."""
Code604_Message#0,"""Falhas na autenticação de login maior que a quantidade permitida dentro de um certo tempo – Por favor espere alguns instantes e tente fazer Login novamente."""
Code605_Title#0,"""Problema com ID"""
Code605_Code#0,"""Falha na autenticação do ID."""
Code605_Message#0,"""O servidor que gerencia o seu ID pertence<br>pode estar off por conta de manutenção etc.<br>Para mais informações, por favor contate a empresa de suporte ao ID."""
Code606_Title#0,"""Falha na autenticação do ID."""
Code606_Code#0,"""Falha na autenticação do ID."""
Code606_Message#0,"""A autenticação do ID não foi feita corretamente.<br>Para mais informações, por favor contate a empresa de suporte ao ID."""
Code611_Title#0,"""Conexão com o Servidor"""
Code611_Code#0,"""Não foi possivel conectar com o Servidor."""
Code611_Message#0,"""O servidor pode estar em manutenção.<br>Please check the maintenance information<br>on the Phantasy Star Online 2 official website."""
Code612_Title#0,"""Conexão com o Servidor"""
Code612_Code#0,"""Não foi possivel conectar com o Servidor."""
Code612_Message#0,"""No momento o servidor está congestionado.<br>Por favor espere um pouco, então tente conectar novamente."""
Code615_Title#0,"""Conexão com o Servidor"""
Code615_Code#0,"""Não foi possivel conectar com o Bloco."""
Code615_Message#0,"""Falha ao mudar para o bloco selecionado pois está cheio."""
Code616_Title#0,"""Conexão com o Servidor"""
Code616_Code#0,"""Não foi possivel conectar com o Bloco."""
Code616_Message#0,"""Falha ao mudar para o bloco selecionado pois está cheio."""
Code620_Title#0,"""Falha de login"""
Code620_Code#0,"""Login falhou"""
Code620_Message#0,"""Uma vez que a conexão foi interrompida anormalmente, os dados do seu personagem estão trancados. Por favor tente novamente em cerca de 10 minutos."""
Code622_Title#0,"""Escolha de Quarto"""
