un_049050_0010#0,"""Ah, <%me>!<br>Perfect timing!"""
un_049050_0020#0,"""Fufufu~ I've finally accomplished it!<br>I've bridged a mechanism that allows us to see Earth's progress!"""
un_049050_0030#0,"""Simply put, we can catch up on Hitsugi's and<br>everyone's progress with live video information!<br>*Sigh*... I had a hard time getting this done too~"""
un_049050_0040#0,"""1. Peeping is bad."""
un_049050_0050#0,"""2. Sounds interesting."""
un_049050_0060#0,"""No, no! We're not peeping at all!<br>I said so before--it's all for the latest,<br>honest data!"""
un_049050_0070#0,"""Fufu~ I know right!<br>You're also concerned about the<br>situation over there, right <%me>?"""
un_049050_0080#0,"""Even though Earth's major threat has been eliminated,<br>Ether is still continuing to spread.<br>Hence, the frequent occurence of Phantoms."""
un_049050_0090#0,"""Instead of giving sorties upon information<br>that's brought to us, it's also essential to<br>observe the situation as much as we can<br>and monitor via suppression control"""
un_049050_0100#0,"""Now THAT'S the reason for our mechanism.<br>It'll never be used for the purpose of peeping... ever!"""
un_049050_0110#0,"""Now then~<br>Let's test to see what type of<br>information we'll receive."""
un_049050_0120#0,"""Haaah~ Nothing like a piping hot soak~<br>One good thing about this school is the<br>huge size of their dorm bath."""
un_049050_0130#0,"""Yup. Well... I have to agreee on that, but first..."""
un_049050_0140#0,"""Why are YOU guys here?!"""
un_049050_0150#0,"""No matter where we go or which bath<br>we take, it's all the same.<br>You'll 100% complain anyway."""
un_049050_0160#0,"""Throwing in my two cents,<br>you can probably expect more of this<br>treatment, Ms. Dorm Manager."""
un_049050_0165#0,"""Why'd they even give ME that title?<br>It was our timely arrival, wasn't it?<br>They needed one, and we were there!"""
un_049050_0170#0,"""Speaking of which, aren't you being a bit<br>rude to your teacher and elder? Show some<br>respect, little miss student council president!"""
un_049050_0180#0,"""No way! You're not my homeroom teacher!"""
un_049050_0190#0,"""Then how about I make the next test<br>200% more difficult? Just for you..."""
un_049050_0200#0,"""Okay then. I'll just ace it anyway."""
un_049050_0210#0,"""That's quite enough, children.<br>The bathtub is no battlefield,<br>so please leave your conflicts at the door."""
un_049050_0220#0,"""Yes ma'am..."""
un_049050_0225#0,"""Yes ma'am..."""
un_049050_0230#0,"""W-wait, why's Phaleg here?!<br>She's an outsider, right? You're the<br>student council president! Do something!"""
un_049050_0240#0,"""Like I can do anything! Besides,<br>wouldn't that be YOUR job as faculty staff?<br>Come on, Ms. Och! Do something!"""
un_049050_0250#0,"""At it again, I see. Won't give up, will they?<br>Quite adorable that they're so alike, really..."""
un_049050_0260#0,"""......"""
un_049050_0270#0,"""Umm... Phul?<br>Is something wrong?"""
un_049050_0280#0,"""...Your chest is."""
un_049050_0290#0,"""Huh?"""
un_049050_0300#0,"""How'd you get your breasts so big?<br>I want mine to grow bigger too..."""
un_049050_0310#0,"""I, uh... I never really pay attention to it..."""
un_049050_0320#0,"""What do you eat? What do you think about?<br>What do you do? What should I do?<br>Come on, tell me!"""
un_049050_0330#0,"""W-wait, shouldn't you be asking Phaleg?<br>Aren't hers bigger?!"""
un_049050_0340#0,"""That, my darlings, is the fruits of my daily training!"""
un_049050_0350#0,"""D-does that even work?"""
un_049050_0352#0,"""It absolutely does!"""
un_049050_0354#0,"""100% of the time!"""
un_049050_0356#0,"""You've got to be kidding me!"""
un_049050_0360#0,"""……クゥ、いろいろやってるけど<br>全部効果なしだもんね。"""
