un_049060_0010#0,"""<%me>!<br>Perfect timing, come here!"""
un_049060_0020#0,"""Alright, time to collect information on Earth!<br>Gathering information!<br><%me>, let's begin our secret data harvesting!"""
un_049060_0030#0,"""It's difficult to grasp the situation if we only observe the female team, right?"""
un_049060_0040#0,"""So, we should at least see how Aru and Enga are doing! Don't you agree?"""
un_049060_0050#0,"""Come have a look! Let's see how Earth's doing~"""
un_049060_0060#0,"""Ahaha! Big! Soo big!<br>This bath feels soo comfy!<br>Right, big bro?"""
un_049060_0070#0,"""I won't deny that, but...<br>What's with this encounter?"""
un_049060_0080#0,"""Hoho, you sure have a scary look on your face."""
un_049060_0090#0,"""I'm a special Earth Science Lecturer who happened to pass by. The problem still lies with you."""
un_049060_0100#0,"""Why are you creating this confusing situation, Hagith Anie?!"""
un_049060_0110#0,"""How rude. Since I'm a graduate, I made lots of donations. Simply put, I'm the existence that supports the school. Be respectful."""
un_049060_0120#0,"""Do you know how annoying you sound?<br>It's your fault that we have to deal<br>with your arrogance here."""
un_049060_0130#0,"""That's why I'm expressing my apology<br>in the form of donations. Think of it as corporate philantrophy."""
un_049060_0140#0,"""It wouldn't hurt to stay<br>overnight at the dorms, just<br>like the old days, right?"""
un_049060_0150#0,"""Sorry about this.<br>Even after entering Mother Cluster,<br>he's always the same."""
un_049060_0160#0,"""Geez. You don't have<br>to apologize, Gramps..."""
un_049060_0170#0,"""But, it's good to<br>be lively right?<br>The more the merrier~"""
un_049060_0180#0,"""It'd be nice if<br>Big Sis and the others<br>joined us too."""
un_049060_0190#0,"""Idiot, it'll cause<br>a fuss if you do that!"""
un_049060_0200#0,"""We went in together<br>last time..."""
un_049060_0210#0,"""What?!"""
un_049060_0220#0,"""Gimme details!"""
un_049060_0230#0,"""Oi, get out of<br>here, old grad!"""
un_049060_0240#0,"""How rude. At this age, healthy<br>men like us should be curious<br>about it, right?"""
un_049060_0250#0,"""This area is for men only.<br>There's no need to hold back."""
un_049060_0260#0,"""Mhm... By the way Enga,<br>it seems like you were trying to<br>annoy Och about something, right?"""
un_049060_0270#0,"""You're jumping on<br>that, Gramps?!"""
un_049060_0280#0,"""Yup, you like small<br>tits don't you?"""
un_049060_0290#0,"""I didn't even say that!<br>Mind your language!"""
un_049060_0300#0,"""Big Bro, what's small tits?<br>What is it? Tell me~"""
un_049060_0310#0,"""How troublesome could this get?!<br>Ah- That's right, Hitsugi's one. We're talking about breast size<br>similar to hers. Ones where you can't feel anything."""
un_049060_0320#0,"""Eh? Big sis's breasts<br>went \""Boing\"" though."""
un_049060_0330#0,"""You're... kidding me!"""
un_049060_0340#0,"""But, Kohri's was more amazing.<br>You could feel the \""Boooooing\""!"""
un_049060_0350#0,"""Hoho. Have to agree that<br>Kohri's growth is facinating.<br>It's extrodinarily eye-catching."""
un_049060_0360#0,"""You shouldn't even mention<br>that, perverted Gramps! """
un_049060_0370#0,"""Fufu~ Now that's what you call a men's conversation. Aah... I've always wanted to have a conversation like this back in my school days."""
un_049060_0380#0,"""You really were lonely back then...<br>No wonder you became the school<br>council president."""
un_049060_0390#0,"""Well, I was excellent<br>at that time!"""
un_049060_0400#0,"""Now I know the reason<br>why I dislike you."""
un_049060_0410#0,"""So Enga, what's your type?<br>Do you prefer big or small?"""
un_049060_0420#0,"""I can go either way.<br>Small has its charm, big<br>ones also have their charm!"""
un_049060_0430#0,"""Shut up, you're not<br>the one being asked,<br>so stop rambling!"""
un_049060_0440#0,"""If I were to choose<br>between Hitsugi or Kohri...<br>I'd pick Kohri."""
un_049060_0450#0,"""You sure have<br>guts, don't you?"""
un_049060_0460#0,"""Oh, so you're saying<br>that you like small tits?<br>The same as Och. Well then,<br>let's use my latest app so<br>that both of you get along."""
un_049060_0470#0,"""Oi, you're asking<br>for a death wish here."""
un_049060_0480#0,"""What do you think Aru?<br>After feeling Hitsugi and Kohri,<br>who's breasts do you prefer?"""
un_049060_0490#0,"""Hmm... I don't know what<br>you're saying, but I<br>prefer hugging them."""
un_049060_0500#0,"""Sometimes, I don't like Kohri's<br>because it made my heart skip.<br>All of them are warm so, I like both."""
un_049060_0510#0,"""I know, right?!<br>You agree with me!"""
un_049060_0520#0,"""Don't pervert Aru's<br>innocent thoughts like that!"""
un_049060_0530#0,"""Hoho~ How young. Events like<br>these embody peace. Right... Mother?"""
un_049060_0540#0,"""Hah! I'm sorry!<br>I was lost in my own world!"""
un_049060_0550#0,"""E-everyone seems to be getting along soo well! Yup, yup! Information gathering is over."""
un_049060_0560#0,"""Yup! I'll keep this video information STRICTLY confidential!"""
