11_voice_NPC_5091_100#0,"""Oh, senpai. You came at just the right time."""
Io_favs_before_020#0,"""Um... here. Please take this."""
Io_favs_after_010#0,"""...You're always doing things for me. So, this is my way of saying thanks."""
Io_favs_after_020#0,"""Ahh, don't look at me like that. I know this kind of thing doesn't feel right coming from me, but I have to thank you somehow."""
Io_favs_after_030#0,"""Look, I'm giving it to you. It's fine, just take it.<br>...See you around, senpai."""
Io_favs_present_010#0,"""Received <yellow>Sharp Bomber<c> from Io."""
Io_favs_present_020#0,"""Received <yellow>Penetrating Arrow<c> from Io."""
Io_favs_present_030#0,"""Received <yellow>Synthesizer<c> from Io."""
Io_favs_present_040#0,"""Received <yellow>Torrential Arrow<c> from Io."""
Io_favs_present_050#0,"""Received <yellow>Synthesizer<c> from Io."""
Io_favs_present_060#0,"""Received <yellow>Gravity Point<c> from Io."""
Io_favs_present_070#0,"""Received <yellow>Synthesizer<c> from Io."""
Io_favs_present_080#0,"""Received <yellow>Kamikaze Arrow<c> from Io."""
Io_favs_present_090#0,"""Received <yellow>Synthesizer<c> from Io."""
Io_favs_present_100#0,"""Received <yellow>Master Shot<c> from Io."""
Io_favs_present_011#0,"""Received <yellow>Photon Sphere<c> from Io."""
Io_favs_present_021#0,"""Received <yellow>Torrential Arrow<c> from Io."""
Io_favs_present_031#0,"""Received <yellow>Excube<c> from Io."""
Io_favs_present_041#0,"""Received <yellow>Extreme Pass<c> from Io."""
Io_favs_present_051#0,"""Received <yellow>Tritt Shooter<c> from Io."""
Io_favs_present_061#0,"""Received <yellow>Tri Boost +50%<c> from Io."""
Io_favs_present_071#0,"""Received <yellow>Ability Success Rate +10%<c> from Io."""
Io_favs_present_081#0,"""Received <yellow>Grind Risk Reduction (+2)<c> from Io."""
Io_favs_present_091#0,"""Received <yellow>Final Nemesis<c> from Io."""
Io_favs_present_101#0,"""Received <yellow>Million Storm<c> from Io."""
Io_favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Io."""
Alice_01_10#0,"""Hm? What is it, senpai? You look like you want something."""
Alice_01_20#0,"""If you have a question for me, I'll do my best to answer it."""
Alice_01_30#0,"""What did you say? Could I see myself in an interracial relationship?<br>...What exactly are you trying to ask me, senpai?"""
Alice_01_40#0,"""Hmm, I think you're up to something, senpai. You've got some ulterior motive. Fine, I'll give you an answer."""
Alice_01_50#0,"""Well... I wouldn't mind being with someone of another race."""
Alice_01_60#0,"""I mean, I'm a Dewman, after all. There aren't exactly many like me to choose from in the first place."""
Alice_01_70#0,"""Besides, if I fell in love with someone, I'd like to think their race or their appearance wouldn't matter..."""
Alice_01_80#0,"""...Ahh, what the heck am I saying?! Senpai, forget everything you just heard! This didn't happen! Oh, this is so embarrassing..."""
11_voice_NPC_5091_100#1,"""あ、センパイ……え、おれに質問？<br>すこしでもセンパイの役に立つなら<br>何でも聞いてくれよ。"""
Auyuku_01_020#0,"""えっ、色々な人と仲良くしてるけど<br>そのために心がけてることがあれば<br>教えてほしい……？"""
Auyuku_01_030#0,"""おれは、人付き合いは苦手だよ。<br>ただ、なぜか色々な人からお願いされて<br>クラスの宣伝とか、やってるけど……"""
11_voice_NPC_5091_104#0,"""……ううー！<br>センパイ、勘弁してくれ。<br>思い出すだけで恥ずかしくなる……！"""
11_voice_NPC_5091_105#0,"""え……？\u3000真面目に相手の話を<br>聞いてくれる所が頼られる理由……？<br>センパイが言うなら、そうなのかもな。"""
11_voice_NPC_5091_104#1,"""このあたりには、あんまり<br>デューマンがいないか。<br>……みんな出撃中かな？"""
11_voice_NPC_5091_105#1,"""まわりに背の高い人が多くて<br>首が疲れるな。"""
Npc91_mb02_020#0,"""あと少しで良いから<br>背が欲しかった……かも。"""
11_voice_NPC_5091_104#2,"""デューマンであることに<br>負い目があったりはしないけど<br>時々、視線は気になるかな。"""
Npc91_mb03_020#0,"""さしあたって、ツノぐらいは<br>帽子とかで隠してみてもいいかもな。"""
11_voice_NPC_5091_104#3,"""帽子？\u3000ああ、すぐやめたよ。<br>逆に目立ってしまってたまらない。"""
Npc91_mb04_020#0,"""注目されるのは別に良いけど<br>うっとりしたような表情で見られるのは<br>……流石にちょっと困るな。"""
11_voice_NPC_5091_100#2,"""……この前、いきなり見ず知らずの人に<br>話しかけられて、ファッションの話を<br>延々とされちゃったよ。綺麗、ってさ。"""
Npc91_mb05_020#0,"""別に物珍しさで見られてるって<br>わけじゃなかったみたいだ。<br>……ちょっと自意識過剰だったかな。"""
11_voice_NPC_5091_100#3,"""強い人の動きは参考になるよな。<br>どうやってるのか、少しずつ<br>わかってくるのも、楽しい。"""
Npc91_mb06_020#0,"""そういう人にも未熟だった時期があって<br>そこから上達したって考えると<br>なおさらやる気も出てくるしな。"""
11_voice_NPC_5091_100#4,"""おれは強くなろうとは思ってないんだ。<br>ただ、弱いままでいたくないだけ。"""
11_voice_NPC_5091_104#4,"""イヤな雰囲気が漂ってるな。<br>おれでもわかるぐらいだよ、これは。"""
11_voice_NPC_5091_106#0,"""あれが……ダークファルスか。<br>想像以上だったな。"""
Npc91_mb09_020#0,"""しかもあれで被害が少ない方って<br>話なんだろ？<br>たまらないな、まったく。"""
11_voice_NPC_5091_104#5,"""暴走龍っていうのが話題になってるけど<br>おれはろくに会わないから<br>どうにもしっくりこないんだよな。"""
Npc91_mb10_020#0,"""暴走してるんなら、もっと行く先々で<br>襲ってきそうなもんだろ？"""
11_voice_NPC_5091_104#6,"""戦技大会？<br>あんまり興味はないかな。<br>おれはいち見学者でいいよ。"""
Npc91_mb11_020#0,"""目立つの、あんまり好きじゃないから。"""
11_voice_NPC_5091_100#5,"""おれたちデューマンは防御面に<br>若干不安があるから、パーティーを<br>組んだほうが戦いやすいぜ。"""
Npc91_mb12_020#0,"""……ほとんどソロで動いてるおれが<br>言えた義理じゃないけどな。"""
11_voice_NPC_5091_100#6,"""一人でいる理由？<br>だって、その方が気が楽じゃん。"""
Npc91_mb13_020#0,"""べつに他人が嫌いってわけじゃないぜ。<br>必要ならちゃんと協力するし<br>話すのが怖いってわけじゃない。"""
Npc91_mb13_030#0,"""ただ、自分から話しかけるのって<br>……なんだか照れくさいだろ。"""
11_voice_NPC_5091_104#7,"""センパイはさ、よくいろんな人と<br>話していたりするよな。<br>アークス内の知り合いも多い感じだし。"""
Npc91_mb14_020#0,"""一人だと気は楽だけど<br>ときどき、さびしかったりもするから<br>……ちょっと羨ましくもある。"""
Npc91_mb14_030#0,"""……なんだよ、その顔。<br>おれらしくないって？\u3000ああ、ああ<br>その通りだと、おれも思うよ！"""
11_voice_NPC_5091_104#8,"""もっと他のアークスと交流を、って？<br>いい、いいよ、そういうのは。<br>おれはそういうの、向いてない。"""
Npc91_mb15_020#0,"""おれは別に友達を作りたくて<br>アークスになったわけでもないんだ。<br>そういう交流は、最低限で十分。"""
Npc91_mb15_030#0,"""それに今は、センパイが<br>おれに話しかけてきてくれるだろ。"""
11_voice_NPC_5091_105#2,"""……イヤな予感がするんだ。<br>何が、って言われると困るけど<br>はっきりと、イヤな感じがする。"""
Npc91_mb16_020#0,"""……センパイは、大丈夫だよな。<br>急にいなくなったりしないでくれよ？"""
Npc91_mb16_030#0,"""折角いろいろ話せるようになったのに<br>いきなりいなくなられると……困る。"""
11_voice_NPC_5091_100#7,"""……あ！<br>センパイ、無事だったんだな！<br>よかった……"""
Npc91_mb16zeno_020#0,"""ははっ……なんていうか、やっと<br>ほっとして、力が抜けたよ。<br>安心できた、って言うのかな。"""
Npc91_mb16zeno_030#0,"""センパイ……本当にお疲れさま。<br>こうしてまた会えて、話せて<br>……おれは嬉しい。"""
11_voice_NPC_5091_106#1,"""なんだか、びっくりするぐらい<br>アークス内の空気が変わってるんだ。<br>センパイはそう思わないか？"""
Npc91_mb18_020#0,"""風通しがよくなってるっていうのかな？<br>おれなんかは、いつも一人でいるから<br>そういうのが、よくわかる。"""
11_voice_NPC_5091_100#8,"""どれもこれも、半年前にセンパイが<br>頑張ってくれたから、なんだよな。<br>……なんか嬉しいよな、こういうの。"""
Npc91_mb19_010#0,"""最近、センパイ以外の人にも<br>話しかけられる事が増えたんだ。"""
11_voice_NPC_5091_100#9,"""あんまり、人と話すのは<br>得意じゃないけど……<br>別に、悪い気はしないから、いい。"""
Npc91_mb19_030#0,"""でもやっぱ、センパイと話してる時が<br>いちばん楽だな。気軽に話せる。<br>だからいつでも、話しかけてくれよ。"""
Npc91_mb20_010#0,"""あ、センパイ。<br>ヒマなら少し、話していかないか？"""
11_voice_NPC_5091_104#9,"""……べ、別に何かあったわけじゃない。<br>ただセンパイと話したくなっただけで<br>心配されるようなことは、ないよ。"""
Npc91_mb20_030#0,"""そんな子供扱いしないでくれって。<br>おれは大丈夫だから、さ。"""
Npc91_mb21_010#0,"""よう、センパイ。<br>え？\u3000今日はパティさんたちと<br>一緒じゃないのかって？"""
Npc91_mb21_020#0,"""前回は、たまたまなんだよ。<br>話したと思うけど、頼み込まれて<br>ほんと仕方なく、なんだ。"""
11_voice_NPC_5091_106#2,"""ああ……思い出しただけで<br>恥ずかしくなってきた……<br>センパイ、頼むから忘れてくれ……"""
11_voice_NPC_5091_104#10,"""ふう……って、あ、センパイ。<br>ため息ついて、どうしたんだって？<br>はは、なんでもないよ。"""
Npc91_mb22_020#0,"""久々に一人でのんびりしていた。<br>ほんと、それだけだよ。"""
Npc91_mb22_030#0,"""そんなに心配しなくても<br>おれなら大丈夫だからさ。<br>でも、気にかけてくれてありがとうな。"""
Npc91_mb23_010#0,"""あれ、マトイさんは？<br>今は一人？\u3000珍しいな。"""
11_voice_NPC_5091_104#11,"""いやさ、最近センパイと言えば<br>マトイさんと一緒だったからさ。<br>どうしたのかなって。"""
11_voice_NPC_5091_100#10,"""はは、勝手に心配しただけだよ。<br>いつも一緒にいる人がいないとさ。<br>余計なお世話だったかな、悪い。"""
Npc91_mb23_after_010#0,"""……どうして、こんな風なことに<br>なっちゃったんだろうな。"""
11_voice_NPC_5091_104#12,"""おれさ、現場にいたわけじゃないけど<br>なんか出来たんじゃないかなって思うよ。"""
Npc91_mb23_after_030#0,"""センパイに頼ってもらえるくらいに<br>力があればいいのにって<br>今は、そう思えてしかたないんだ。"""
Npc91_mb24_010#0,"""マトイさんが帰ってきたら<br>言いたいことがたくさんあるんだ。"""
Npc91_mb24_020#0,"""いなくなって、さみしかったこと。<br>悲しかったこと、それから……<br>スゴく腹がたったこと。"""
11_voice_NPC_5091_100#11,"""だからさ、センパイ……<br>おれが言うのも変だけど、頼むよ。<br>マトイさんを連れて帰ってきてくれ。"""
11_voice_NPC_5091_100#12,"""あ、センパイ！<br>よかった……会いたかったんだ。"""
Npc91_mb24_after_020#0,"""おれが言うのもおかしいけど……<br>ありがとうな。<br>マトイさん、連れて帰ってきてくれて。"""
Npc91_mb24_after_030#0,"""また会えてすごく嬉しかった。<br>だから、ありがとう。"""
Npc91_mb25_010#0,"""センパイってほんと<br>あらゆる問題に関わってるよな。"""
11_voice_NPC_5091_102#0,"""今ちょっと騒ぎになってる<br>リリーパのやつも、関わってんだろ。"""
Npc91_mb25_030#0,"""巻き込まれるタイプかもしれないけど<br>まあ……ほどほどにな。"""
Stratos_01_010#0,"""Huh?! Valentine's worries?!<br>...Well, I guess if you really want to hear it..."""
11_voice_NPC_5091_104#13,"""There is something that's stumping me. I don't get how you're supposed to give people chocolate."""
Stratos_01_030#0,"""It's better to wear something cute when you're offering it, right? So maybe I should wear... No, no, I'm fine as I am!"""
