IncidentName#0,"""Defeat many enemies!"""
TrialBeginMsg#0,"""Defeat many enemies within the time limit!"""
TrialAbstract#0,"""Defeat many enemies within the time limit!"""
Toast75EnemyMsg#0,"""75 remaining!"""
Toast50EnemyMsg#0,"""50 remaining!"""
Toast25EnemyMsg#0,"""25 remaining!"""
Toast10EnemyMsg#0,"""10 remaining!"""
NpcComOnBegin#0,"""A lot of enemies will appear.<br>Defeat as many as you can within the time limit.<br>Now... fight."""
NpcComOnDefeatedHalfEnemy#0,"""You're doing well.<br>You've defeated about half of them.<br>Thank you for making such good progress."""
NpcComOnTimeLimit30#0,"""30 seconds left.<br>Keep doing your best until the end."""
NpcComOnDefeatedAllEnemy#0,"""Confirmed, all enemies defeated.<br>You did it... How wonderful!<br>Thank you very much!"""
NpcComOnSuccess#0,"""Your time is up.<br>This training ends here.<br>Thank you very much."""
NpcComOnBegin#1,"""A lot of enemies will appear.<br>Defeat as many as you can within the time limit.<br>Now... fight."""
NpcComOnDefeatedHalfEnemy#1,"""You're doing well.<br>You've defeated about half of them.<br>Thank you for making such good progress."""
NpcComOnTimeLimit30#1,"""30 seconds left.<br>Keep doing your best until the end."""
NpcComOnDefeatedAllEnemy#1,"""Confirmed, all enemies defeated.<br>You did it... How wonderful!<br>Thank you very much!"""
NpcComOnSuccess#1,"""Your time is up.<br>This training ends here.<br>Thank you very much."""
