a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""Decisive Battle: Final Target"""
Explanation#0,"""敵大型戦艦を舞台に<br>最終標的と定めた強大なエネミーと<br>対決し、撃破することが目的です。<br>全力を出し切り、制限時間内での<br>撃破を目指してください。<br>――――――――――――――――――――<br>Objective: Clear an E-trial<br>Failure: Life points reach 0"""
SimpleExplanation#0,"""Defeat the final target!"""
NpcComMsg1#0,"""You've done really well so far.<br>This is the final battle.<br>Don't get careless just because it's VR."""
NpcComMsg2#0,"""This is a very powerful enemy Karin and I designed based on Xiao's calculations.<br>I'm looking forward to seeing it fight."""
NpcComMsg3#0,"""Please mind your time limit and remaining Life points.<br>Well then... Fight!"""
Area0S#0,"""Enemy Battleship: Deck"""
Area0L#0,"""Enemy Battleship: Deck"""
