Title#0,"""Force: Basic Training"""
Summary#0,"""Hounyan, the ARKS training instructor, teaches you how to fight as a Force.<br><br><yellow>※Recommended Class Skill:<br>\u3000Photon Flare<c>"""
Objective311#0,"""Set your Main Class to Force"""
text0101#0,"""Set your Main Class to Force"""
Objective321#0,"""Go to Mt. Magnus"""
text0102#0,"""Go to Southern Aelio as a Force"""
text0103#0,"""Use Photon Flare"""
Objective322#0,"""Use Photon Flare"""
Objective323#0,"""Defeat enemies at Mt. Magnus as a Force"""
text0104#0,"""Defeat enemies at Southern Aelio as a Force"""
Objective331#0,"""Report to Hounyan"""
