name01#0,"""Xiera"""
text01#0,"""次は、ファントムのアサルトライフル<br><red>「ファントムライフル」<c>の<br>訓練に移ります！"""
text02#0,"""アサルトライフルのファントムシフトは<br><red>「ファントムビット」が展開され<br>自動攻撃<c>してくれます！"""
text03#0,"""それでは、<red>ファントムビットで<br>エネミーを攻撃<c>してみましょう！"""
text101#0,"""Task 6: <yellow>Hit an enemy with the Assault Rifle Weapon Action"""
train_title#0,"""Task 6: <yellow>Hit an enemy with the Assault Rifle Weapon Action"""
tut_title#0,"""The Rifle Weapon Action"""
text100#0,"""・Use the Rifle Weapon Action<br>on enemies with <%PhotonArts>"""
text100_3b#0,"""・Use the Rifle Weapon Action<br>on enemies with <%MainPaletteC>"""
tut_win_title#0,"""The Phantom Rifle Weapon Action"""
tut_win_text100#0,"""Phantom Rifle's Weapon Action fires \""Bits\"", which attack enemies indirectly at long range.<br><br>You can also charge the Weapon Action to shoot a powerful piercing shot."""
