name01#0,"""Xiera"""
text01#0,"""それでは、応用編です！<br>今度は、基本ＰＡとシフトＰＡを<br>組み合わせてみましょう！"""
text02#0,"""「シュヴァルツカッツェ」は<br>基本ＰＡが離脱、シフトＰＡが接近の<br>効果を持っています。"""
text03#0,"""まず、シフトＰＡで急接近攻撃し<br>その後すぐ、基本ＰＡで離脱しつつの<br>攻撃をしてみましょう！"""
text101#0,"""課題３：<yellow>ロッドのシフトPAの後にPAを３回使う"""
train_title#0,"""課題３：<yellow>ロッドのシフトPAの後にPAを３回使う"""
tut_title#0,"""シフトPAを使った連続攻撃"""
text100#0,"""・<%PhotonArts>で武器アクションを使い<br>\u3000<%WeaponAction>と<%PhotonArts>でPAを発動<br>\u3000その後続けてPAを発動させる"""
text100_3b#0,"""・<%MainPaletteC>で武器アクションを使い<br>\u3000<%PhotonArts>でPAを発動<br>\u3000その後続けてPAを発動させる"""
tut_win_title#0,"""『***』について"""
tut_win_text100#0,"""***について説明します。"""
