msc_013280_0010#0,"""イルマ……？"""
msc_013280_0020#0,"""あれ……みんな……？"""
msc_013280_0030#0,"""イルマ！"""
msc_013280_0032#0,"""イルマ！"""
msc_013280_0034#0,"""イルマ！"""
msc_013280_0036#0,"""イルマ！"""
msc_013280_0040#0,"""みんな、来てくれたんだね！"""
msc_013280_0050#0,"""こんなところで何してたの！"""
msc_013280_0060#0,"""心配したんだぞ！"""
msc_013280_0070#0,"""ごめん。じいちゃんの研究内容を調べてるうちに、<br>ロストセントラルに入るヒントを見つけて……。"""
msc_013280_0080#0,"""ちょっと様子を見に来るだけのつもりだったんだけど……、<br>強そうなドールズに通路をふさがれちゃってさ。"""
msc_013280_0090#0,"""連絡を取りたくても、ジャミングがひどくて、<br>身動きが取れなかったんだ。"""
msc_013280_0100#0,"""助けに来てくれて、ありがとう。"""
msc_013280_0110#0,"""はあ、相変わらずなんだから。"""
msc_013280_0120#0,"""まったく……研究に我を忘れるのは、お前らしいけどな。"""
msc_013280_0130#0,"""しょうがないやつだ……。"""
msc_013280_0140#0,"""心配したんだからね、でも無事でよかった。"""
msc_013280_0150#0,"""よかったね……。"""
msc_013280_0160#0,"""イルマを見つけられたのは、<br>キミたちのおかげだ！"""
msc_013280_0170#0,"""そうね、ありがとう。"""
msc_013280_0180#0,"""そんなことないよ。<br>みんなの力だよね？"""
msc_013280_0190#0,"""イルマ、あなたに話があるの。"""
msc_013280_0200#0,"""キミたちは……？"""
msc_013280_0210#0,"""あたしたち、クロフォードに頼まれて<br>セントラルシティから来たんだよ。"""
msc_013280_0220#0,"""……ああー。"""
msc_013280_0230#0,"""セントラルキャノンの調整に必要なデータだったね。"""
msc_013280_0240#0,"""前回の戦闘でセントラルキャノンで、<br>ダークファルスにダメージを与えられることはわかった。"""
msc_013280_0250#0,"""でも同時に、大きな課題がふたつあることは、<br>君たちも把握していると思う。"""
msc_013280_0260#0,"""ひとつは出力。ダークファルスにダメージを<br>与えることはできても破壊には至っていないからね。"""
msc_013280_0270#0,"""これには、フォトンの圧縮率を高めた上で、<br>圧縮したフォトンをそのまま打ち出せる加速器が必要だ。"""
msc_013280_0280#0,"""もうひとつは耐久性。今回、セントラルキャノンを<br>一発撃っただけで砲身が破損してしまった。"""
msc_013280_0283#0,"""補強すべきパーツは砲身とフォトン加速器。<br>発射機構内部のフレームにはより耐久性の高い材料が必要なんだ。"""
msc_013280_0286#0,"""まあ、これらの問題はクロフォードに伝えた通り、<br>ここの資材と技術を使えば解消できることは試算できた。"""
msc_013280_0290#0,"""で、ここからが本題。実は、ここから更に進んだエリアに<br>かなり有用なデータや機材がありそうなんだよ！"""
msc_013280_0300#0,"""……えっと。"""
msc_013280_0310#0,"""全然分からないわよ、イルマ。"""
msc_013280_0320#0,"""あー、つまり……昔、ダークファルスを撃退した<br>ロストセントラルの兵器。"""
msc_013280_0330#0,"""それに使われた資材と技術データをみつけたんだけど、<br>それ以外にもイイものがありそうなんだ。"""
msc_013280_0350#0,"""え……？"""
msc_013280_0360#0,"""奥に行けばわかるよ。<br>みんな、付いてきて！"""
