ra_010610_0010#0,"""<%me> 씨 보고가<br>있습니다."""
ra_010610_0020#0,"""얼마 전에 조사해 주신<br>나베리우스의 지질 등에<br>대한겁니다만 분석하면 할수록<br>이상함이 보입니다."""
ra_010610_0030#0,"""우선 그 행성은 산림부<br>지질이 기초를 이루고<br>있습니다. 동토는 나중에 생긴<br>지형입니다."""
ra_010610_0040#0,"""그런데 그 동토가 생긴 원인…<br>보통은 운석 낙하나 이상기후<br>등이지만 …그 흔적을 찾을 수<br>없습니다."""
ra_010610_0050#0,"""…게다가 동토 중에서도<br>데이터의 편차가 있고 <br>파라미터가 얻어지지 않는<br>장소도 있었습니다."""
ra_010610_0060#0,"""마칭 재밍이라도 하고있는 것<br>처럼…"""
ra_010610_0070#0,"""…이건 더 이상 추론이<br>아닙니다. 저 행성은 뭔가<br>수상합니다."""
ra_010610_0080#0,"""나베리우스… 미개한 원시<br>행성이라고 저희는 알고<br>지냈습니다. 하지만 이건… 이<br>데이터는…"""
ra_010610_0090#0,"""…저는 이번에 허락을 받고<br>직접 조사하러 가보려고<br>합니다. 위험하다는 것은 익히<br>알고있습니다."""
ra_010610_0100#0,"""하지만 지금까지의 조사결과를<br>다름 아닌 당신에게만<br>알려드리고 싶어서…"""
ra_010610_0110#0,"""…연구도 마무리 했고 로비에<br>얼굴좀 내비치도록 하겠습니다.<br>또 뵙겠습니다."""
ra_010610_0120#0,"""A.P.238/3/18"""
