Generic_001#0,"""Продвигаясь по сюжету, вы получите доступ к заблокированным<br>пунктам меню и функциям магазина."""
Generic_002#0,"""Нажав <%Avoid> для уклонения во время бега, вы начнёте фотонный рывок.<br>Он нужен для быстрого перемещения."""
Generic_003#0,"""После прыжка <%Jump> нажмите и удерживайте <%Jump>, чтобы парить<br>в воздухе с помощью фотонного парения."""
Generic_004#0,"""Получив урон во время боя, можно восстановить свои НР<br>с помощью Resta Sign из под-палитры."""
Generic_005#0,"""По вопросам перевода на русский можно обращаться в дискорде:<br>Sinitsa#6642. Пожалуйста не забывайте, данный перевод является<br>своего рода портом версии для японского клиента."""
Generic_006#0,"""Для открытия карты удерживайте (<swguidetype T_MainMenu>).<br>※За исключением некоторых платформ."""
Generic_007#0,"""С помощью ー＋<%Function> со стрелками можно быстро<br>прокрутить список предметов."""
Generic_008#0,"""ハンターは、高いHPと防御力を誇り、<br>単独でも戦うことができる。"""
Generic_009#0,"""レンジャーは、射撃武器によって、<br>エネミーと距離をとって戦うことができる。"""
Generic_010#0,"""フォースは、“テクニック”によって、<br>遠距離からエネミーを攻撃することができる。"""
Generic_011#0,"""ファイターは、防御力を犠牲にし、<br>強力な猛攻撃でエネミーを粉砕する。"""
Generic_012#0,"""ガンナーは、すさまじい弾幕と優れた機動力で、<br>エネミーを翻弄する。"""
Generic_013#0,"""テクターは、“テクニック”に長け、<br>他のプレイヤーを支援する。"""
Generic_014#0,"""ブレイバーは、遠近の武器を使いわけて、<br>臨機応変に戦うことができる。"""
Generic_015#0,"""バウンサーは、物理ダウンや属性ダウンを誘発し、<br>戦闘を有利に進めることができる。"""
Generic_016#0,"""“メインメニュー”の“システム”から、<br>ゲーム中の“ヘルプ”を確認することができる。"""
Generic_017#0,"""“アルファリアクター”は換金用アイテムであり、<br>高額で売却できる。"""
Generic_018#0,"""“N-ミッションバッヂ”は、アイテムトレーダーの<br><yellow>“アイテム交換ショップ”<c>で使用できる。"""
Generic_019#0,"""PSEバースト中は、一定時間エネミーが大量出現し、<br>多くの経験値やN-メセタ、アイテムを獲得できる。"""
Generic_020#0,"""“ゴルドプリムソード”などを活用することで、<br>武器強化時に“N-グラインダー”を節約できる。"""
Generic_021#0,"""画面のブラーやブルームなどの効果は、<br>オプションのグラフィック設定から調整できる。"""
Esthetic_001#0,"""Не превысив ограничение на аксессуары, вы сможете<br>экипировать до 12 аксессуаров."""
Esthetic_002#0,"""Вы самостоятельно можете определить место размещения аксессуаров,<br>а затем настроить их более точное местоположение."""
Esthetic_003#0,"""Физическую форму тела персонажа можно проверить<br>посредством снятия многослойной одежды."""
Esthetic_004#0,"""Вы можете свободно комбинировать верхнюю одежду (Ba), внутреннюю одежду(In) и<br>внешнюю одежду (Ou) для создания собственной уникальной комбинации одежды."""
Esthetic_005#0,"""Вы можете использовать функцию редактирования голоса, чтобы придать<br>голосу вашего персонажа более высокий/низкий тон."""
Dead_r01_gd_box_ba_001#0,"""С большей вероятностью Нагурус будет атаковать лапами."""
Dead_r01_gd_box_ba_002#0,"""Нагурус атакует находящихся в воздухе ARKS мощной атакой."""
Dead_r01_gd_phe_ba_001#0,"""Если вам тяжело попасть в тело Орука, цельтесь в его опущенный хвост."""
Dead_r01_gd_phe_ba_002#0,"""Уничтожив броню на голове Орука вы раскроете его ядро,<br>что является его слабым местом."""
Dead_r01_gd_ktn_ba_001#0,"""Перед атакой оружие Буджина начнёт мигать чёрным."""
Dead_r01_gd_ktn_ba_002#0,"""Контратака - один из способов противостоять яростным атакам Буджина."""
Dead_r01_gd_mag_ba_001#0,"""Следите за летающими руками Вараса, чтобы не попасть под атаки из слепых зон."""
Dead_r01_gd_mag_ba_002#0,"""Когда руки Вараса летят, это отличный шанс прицелиться<br>в его ничем не защищённое уязвимое ядро."""
Dead_r01_gd_dra_ba_001#0,"""Получая всё больше и больше урона, тело Некс Эарио начнёт гореть,<br>а его ядро раскроется по бокам."""
Dead_r01_gd_dra_ba_002#0,"""Когда Некс Эарио начинает глубокий вдох, это значит, что он<br>собирается использовать свою разрушительную атаку огненным шаром."""
Dead_r01_gd_dra_rai_001#0,"""После зарядки, Некс Вера проведёт мощную атаку."""
Dead_r01_gd_dra_rai_002#0,"""Остановить смертельную атаку Некс Вера можно сбив его."""
Dead_r01_gd_gia_sw_001#0,"""Даже если вы находитесь позади Дайдару мечника, он всё ещё может поразить<br>вас атакой лучом из головы."""
Dead_r01_gd_gia_sw_002#0,"""У Дайдару мечника слепая зона в зоне ног."""
Dead_r01_gd_gia_ax_001#0,"""Внимательно следите за широкими взмахами атак Дайдару с топором.<br>Будьте готовы противостоять им."""
Dead_r01_gd_gia_ax_002#0,"""Дайдару с топором можно временно вывести из строя<br>с помощью атак с атрибутом льда."""
Dead_r01_gd_sol_rai_001#0,"""Когда Педас Вера атакует вас, сосредоточьтесь<br>на уклонении до прекращения серии атак."""
Dead_r01_gd_sol_rai_002#0,"""Когда Педас Вера находится в воздухе, используя свою атаку лазерами,<br>бейте его по сияющим кристаллам, чтобы ракрыть слабое место."""
Dead_r01_nat_bea_ba_001#0,"""Высвободиться из рук Крагбера можно многократно нажимая клавиши направления."""
Dead_r01_nat_bea_ba_002#0,"""Высоко подняв руки, Крагбер испустит ударную волну дальнего действия."""
Dead_r01_nat_fan_m_001#0,"""Широко расставив лапы и твёрдо поставив ступни, Ард Бансеры издают рык."""
Dead_r01_nat_fan_m_002#0,"""Если уничтожить когти Ард Бансера, он будет падать после быстрых атак."""
Dead_r01_nat_fan_f_001#0,"""Если будете стаять позади Ард Банши, она попытается<br>поцарапать вас своей задней лапой."""
Dead_r01_nat_fan_f_002#0,"""Атаки атрибутом огня могут временно опрокинуть Ард Банши."""
Dead_r01_nat_fan_thum_001#0,"""Глубоко вдыхая, Санд Банса собирается использовать<br>свою разрушительную атаку дыханием."""
Dead_r01_nat_fan_thum_002#0,"""Атаки атрибутом огня могут временно опрокинуть Санд Банса."""
Dead_r01_nat_fan_thuf_001#0,"""Находясь позади Санд Банши, можно уклониться<br>от её царапающей атаки и продолжить атаковать."""
Dead_r01_nat_fan_thuf_002#0,"""Будьте осторожны, чтобы не получить статус шока от атак Санд Банши."""
Dead_r01_alt_cli_ba_001#0,"""Чиа Курио может усиливать ближайших врагов."""
Dead_r01_alt_cli_ba_002#0,"""Оставленные Чиа Курио сверкающие следы, будут гореть некоторое время,<br>нанося урон всем дотронувшимся."""
Dead_r01_alt_wlf_ba_001#0,"""Отпрыгнув на некоторое расстояние, Ваурон использует мощную вращающую атаку."""
Dead_r01_alt_wlf_ba_002#0,"""Повернув своё лицо, Ваурон произведёт мощную лазерную атаку."""
Dead_r01_alt_flg_ba_001#0,"""Чтобы избежать прыжковой атаки Биг Фрогга, уклоняйтесь<br>влево и вправо в момент касания его хвоста земли."""
Dead_r01_alt_flg_ba_002#0,"""Будьте осторожны, чтобы не попасть под атаку ядом Биг Фрогга,<br>чтобы не получить состояние отравления."""
Dead_r01_alt_tis_ba_001#0,"""Возьмите в прицел (lock-on) Элди Сайз, чтобы проще было следить<br>за его движениями."""
Dead_r01_alt_tis_ba_002#0,"""Элди Сайз можно ослабить, уничтожив серпы на его руках."""
Dead_Hint_001#0,"""Старайтесь стабильно пополнять Resta Sign в открытых областях,<br>чтобы их не осталось слишком мало."""
Dead_Hint_002#0,"""Когда у вас мало НР, края экрана начинают краснеть, сигнализируя о том,<br>что вы находитесь в опасном положении."""
Dead_r01_gd_ins_ba_001#0,"""Когда Дестраграс становится красным, а руки изменяются,<br>разрушив стволы, можно уменьшить количество выпускаемых пуль."""
Dead_r01_gd_ins_ba_002#0,"""Когда Дестраграс светится и подпрыгивает в воздух,<br>он совершает серию мощных атак по области."""
Dead_r02_gd_box_ba_001#0,"""После того, как Санд Нагурус ударит по земле, он выполнит<br>дополнительную атаку с использованием песка."""
Dead_r02_gd_box_ba_002#0,"""После того, как Санд Нагурус станет красным и его руки<br>трансформируются, вы сможете их уничтожить, чтобы замедлить атаки."""
Dead_r02_gd_sip_ba_001#0,"""Имейте в виду, когда Ризентос становится красным,<br>радиус его атак сначительно увеличивается."""
Dead_r02_gd_sip_ba_002#0,"""После уничтожения обоих ног Ризентоса, он будет<br>падать при каждой попытке атаки."""
Dead_r02_gd_cas_mi_001#0,"""Снаряды, выпущенные Фортосом из его пусковых<br>установк, будут нацелены на ARKS."""
Dead_r02_gd_cas_mi_002#0,"""Когда Фортос с пусковыми установками начинает светиться,<br>можно ожидать последующие атаки сверху."""
Dead_r02_gd_cas_el_001#0,"""Фортос с лазерами в основном использует линейные атаки."""
