r01_gd_flo_wi#0,"""Фван"""
r01_gd_pyc_ba#0,"""Тинос"""
r01_gd_sol_sw#0,"""Педас мечник"""
r01_gd_sol_swld#0,"""Педакс мечник"""
r01_gd_sol_ri#0,"""Педас стрелок"""
r01_gd_sol_rild#0,"""Педакс стрелок"""
r01_gd_sol_ax#0,"""Педас с топором"""
r01_gd_sol_axld#0,"""Педакс с топором"""
r01_gd_sol_lu#0,"""Педас с п. установкой"""
r01_gd_sol_luld#0,"""Педакс с п. установкой"""
r01_gd_gor_ba#0,"""Горорон"""
r01_gd_gor_bald#0,"""Горорокс"""
r01_gd_for_ba#0,"""Дотс"""
r01_gd_box_ba#0,"""Нагурус"""
r01_gd_phe_ba#0,"""Орук"""
r01_gd_ktn_ba#0,"""Буджин"""
r01_gd_mag_ba#0,"""Варас"""
r01_gd_dra_ba#0,"""Некс Эарио"""
r01_gd_dra_rai#0,"""Некс Вера"""
r01_gd_gia_sw#0,"""Дайдару мечник"""
r01_gd_gia_ax#0,"""Дайдару с топором"""
r01_gd_sol_rai#0,"""Педас Вера"""
r01_gd_god_1#0,"""？？？？？"""
r01_nat_monki_ba#0,"""Удан Роа"""
r01_nat_month_ba#0,"""Дза Удан Роа"""
r01_nat_wol_sm#0,"""Гальф Роа"""
r01_nat_wol_bi#0,"""Фонгальф Роа"""
r01_nat_bir_ba#0,"""Агинис Роа"""
r01_nat_armma_ba#0,"""Гара Гаронго"""
r01_nat_bea_ba#0,"""Крагбер"""
r01_nat_fan_m#0,"""Ард Бансер"""
r01_nat_fan_f#0,"""Ард Банши"""
r01_nat_fan_thum#0,"""Санд Банса"""
r01_nat_fan_thuf#0,"""Санд Банши"""
r01_unk_rap_ba#0,"""Рэппи"""
r01_alt_hrp_ba#0,"""Эвиру Анжес"""
r01_alt_lzd_fl#0,"""Ризард Фрей"""
r01_alt_lzd_sn#0,"""Ризард Айс"""
r01_alt_lzd_th#0,"""Ризард Сандер"""
r01_alt_der_ba#0,"""Херук"""
r01_alt_hog_ba#0,"""Байн Хогг"""
r01_alt_cli_ba#0,"""Чиа Курио"""
r01_alt_wlf_ba#0,"""Ваурон"""
r01_alt_flg_ba#0,"""Биг Фрогга"""
r01_alt_tis_ba#0,"""Элди Сайз"""
r01_ani_rbt_w#0,"""Сани"""
r01_ani_rbt_b#0,"""Муни"""
r01_ani_sli_a#0,"""Отарика"""
r01_ani_ush_a#0,"""Мобер"""
r01_ani_ush_b#0,"""Туабер"""
r01_ani_boa_a#0,"""Носси"""
r01_ani_kit_a#0,"""Фокс"""
r01_ani_moo_a#0,"""Диан"""
r01_ani_bir_s#0,"""-"""
r01_ani_brs_a#0,"""Патт"""
r01_ani_bir_b#0,"""Бади"""
r01_ani_bir_yz#0,"""Франго"""
r01_non_dro_a#0,"""Дром"""
r01_unk_rap_9av#0,"""Церемон. Рэппи"""
r01_unk_rap_ea#0,"""Фуруру Рэппи"""
r01_gd_sol_swbo#0,"""Бомс мечник"""
r01_gd_sol_swbold#0,"""Бомукс мечник"""
r01_gd_sol_ribo#0,"""Бомс стрелок"""
r01_gd_sol_ribold#0,"""Бомукс стрелок"""
r01_gd_ins_ba#0,"""Дестраграс"""
r01_unk_rap_mo#0,"""Цукими Рэппи"""
r01_unk_rap_ha#0,"""Рэппи с косой"""
r02_gd_flo_th#0,"""Санд Фван"""
r02_gd_pyc_ba#0,"""Санд Тинос"""
r02_gd_gos_ba#0,"""Санд Корон"""
r02_gd_sol_sw#0,"""Дезас мечник"""
r02_gd_sol_ri#0,"""Дезас стрелок"""
r02_gd_sol_lu#0,"""Дезас с п. установкой"""
r02_gd_sol_gs#0,"""Дезас Слэш"""
r02_gd_gor_ba#0,"""Санд Ророн"""
r02_gd_gor_bald#0,"""Санд Ророкс"""
r02_gd_for_ba#0,"""Санд Дотс"""
r02_gd_bra_ba#0,"""Бранкур"""
r02_gd_mtl_ba#0,"""Метиус"""
r02_gd_box_ba#0,"""Санд Нагурус"""
r02_gd_phe_ba#0,"""Санд Орук"""
r02_gd_sip_ba#0,"""Ризентос"""
r02_gd_cas_mi#0,"""Фортос с п. установками"""
r02_gd_cas_el#0,"""Фортос с лазерами"""
r02_gd_kic_ba#0,"""Кенкуруд"""
r02_gd_sna_ba#0,"""Ренус Ритем"""
r02_gd_sna_rai#0,"""Ренус Вера"""
r02_gd_gia_hm#0,"""Снайдар с молотом"""
r02_gd_gia_rai#0,"""Снайдар Вера"""
r02_alt_sin_ba#0,"""Муми-дог"""
r02_alt_dwf_ba#0,"""Саварук"""
r02_alt_dks_ba#0,"""Керогеро"""
r02_alt_hrp_ba#0,"""Савар Андже"""
r02_alt_snk_ba#0,"""Гараснегг"""
r02_alt_tkm_ba#0,"""Рафинбеар"""
r02_alt_tig_ba#0,"""Кропар"""
r02_alt_dvs_ba#0,"""Пузырьковый краб"""
r02_ani_rbt_a#0,"""Рамуру Сани"""
r02_ani_bis_a#0,"""Рамуру Патт"""
r02_ani_bis_b#0,"""Рамуру Патти"""
r02_ani_bir_b#0,"""Рамуру Бади"""
r02_ani_sli_a#0,"""Рамуру Отарика"""
r02_ani_kit_a#0,"""Рамуру Фокс"""
r02_ani_cam_a#0,"""Камелио"""
r02_ani_cam_b#0,"""Камелия"""
r02_ani_hip_a#0,"""Пипотан"""
r02_ani_hip_b#0,"""Хипокко"""
r02_ani_boa_a#0,"""Рамуру Носси"""
r01_unk_rap_ch#0,"""Тона Рэппи"""
r02_gd_god2_ba#0,"""Дарк Фальц"""
r03_gd_flo_th#0,"""Сноу Фван"""
r03_gd_pyc_ba#0,"""Сноу Тинос"""
r03_gd_tyu_ba#0,"""Джянгес"""
r03_gd_sol_sw#0,"""Мечник Замус"""
