MesetaDenomination#0,""" Месеты"""
AcDenomination#0,"""AC"""
CpDenomination#0,"""КП"""
FunDenomination#0,"""FUN"""
StarDenomination#0,"""Звёзды"""
CcDenomination#0,"""Монеты казино"""
CmDenomination#0,"""ЧМ"""
SgDenomination#0,"""SG"""
BcDenomination#0,"""BC"""
SpDenomination#0,"""SP"""
Cash#0,"""Деньги"""
CashMeseta#0,"""В наличии месет"""
CashAc#0,"""В наличии AC"""
CashCp#0,"""В наличии CP"""
CashFun#0,"""В наличии FUN"""
CashStar#0,"""В наличии звёзд"""
CashCc#0,"""В наличии CC"""
CashCm#0,"""В наличии CM"""
CashSg#0,"""В наличии SG"""
CashBc#0,"""В наличии BC"""
CashSp#0,"""В наличии SP"""
CashDenomi#0,"""В наличии $(0)"""
TotalAmount#0,"""Всего"""
TotalMeseta#0,"""Всего месет"""
TotalAc#0,"""Всего AC"""
TotalCp#0,"""Всего CP"""
TotalFun#0,"""Всего FUN"""
TotalStar#0,"""Всего звёзд"""
TotalCc#0,"""Всего CC"""
TotalCm#0,"""Всего CM"""
TotalSg#0,"""Всего SG"""
TotalBc#0,"""Всего BC"""
TotalSp#0,"""Всего SP"""
TotalDenomi#0,"""Всего $(0)"""
InputBuyNumberTitle_Vita#0,"""Количество предметов для покупки"""
InputSellNumberTitle_Vita#0,"""Количество предметов для продажи"""
StockNumber_Vita#0,"""在庫数 $(0)"""
InsufficientCash#0,"""Недостаточно $(0)"""
BuyDayLimitOver#0,"""Уже нельзя приобрести."""
ExchangeDayLimitOver#0,"""Уже нельзя обменять."""
BuyNumLimitOver#0,"""Вы пытаетесь приобрести<br>больше, чем доступно."""
ExchangeNumLimitOver#0,"""Вы пытаетесь обменять<br>больше, чем доступно."""
ItemBuyDBAccessError#0,"""Нелзя приобрести по причине<br>ошибки сервера."""
ItemChangeDBAccessError#0,"""Нелзя обменять по причине<br>ошибки сервера."""
ShopTitle#0,"""Магазин ценностей"""
ShopTitle_N_SG#0,"""トレジャーショップ<pict 4space><pict StarGem>"""
ShopTitle_N_Meseta#0,"""トレジャーショップ<pict 4space><pict reb_meseta>"""
MenuGuide#0,"""<c f0df60>Пожалуйста, выберите магазин.<c>"""
MenuGuide_N_SG#0,"""日替わりで商品が変わる、SGで購入できるアイテムのショップです。“商品の更新”で、すぐに商品リストを更新できます。（毎日1回無料）"""
MenuGuide_N_Meseta#0,"""日替わりで商品が変わる、N-メセタで購入できるアイテムのショップです。“商品の更新”で、すぐに商品リストを更新できます。（毎日1回無料）"""
MenuTitle#0,"""Меню магазина"""
MenuSG#0,"""Потратить Star Gems"""
MenuMeseta#0,"""Потратить месеты"""
MenuEnd#0,"""Покинуть магазин"""
SgShopTitle#0,"""Потратить Star Gems"""
SgShopGuide#0,"""<c f0df60>Пожалуйста, выберите предмет для покупки. Выбрав пункт \""обновить список вручную\""<c><pict StarGem><c f0df60>」, можно обновить список предметов.<c>"""
SgShopGuide_v#0,"""<c f0df60>Пожалуйста, выберите предмет для покупки. Выбрав пункт \""обновить список вручную\""<c><pict StarGem><c f0df60>」, можно обновить список предметов.<c>"""
MesetaShopTitle#0,"""Потратить месеты"""
MesetaShopGuide#0,"""<c f0df60>Пожалуйста, выберите предмет для покупки. Выбрав пункт \""обновить список вручную\""<c><pict StarGem><c f0df60>」, можно обновить список предметов.<c>"""
MesetaShopGuide_v#0,"""<c f0df60>Пожалуйста, выберите предмет для покупки. Выбрав пункт \""обновить список вручную\""<c><pict StarGem><c f0df60>」, можно обновить список предметов.<c>"""
ShopListTitle#0,"""Список товаров"""
ShopListResetTime#0,"""Следующее обновление: $(0)"""
ShopListReset_N_Time#0,"""次回更新まで：あと$(0)"""
ShopListReset_N_UpdateTime#0,"""ショップを開き直すと商品更新"""
ShopListResetButton#0,"""<yellow>Список обновлений<c><pict StarGem>"""
ShopListResetButton_N_Free#0,"""商品の更新（毎日1回無料）"""
ShopListResetButton_N_Premium#0,"""商品の更新（プレミアム）"""
ShopListResetButton_N_SG#0,"""商品の更新<pict 4space><pict StarGem>"""
ShopListResetTime_wait#0,"""Получение информации"""
RenewConfirmTitle#0,"""Список обновлений"""
RenewConfirmTitle_N#0,"""商品の更新"""
