moralskeeper_Title#0,"""Жалоба на игроков"""
moralskeeper_menu_playername#0,"""Имя игрока и ID игрока для жалобы"""
moralskeeper_menu_category#0,"""Категория <red>※Необходимо<c>"""
moralskeeper_menu_comment#0,"""Комментарий"""
moralskeeper_category_default#0,"""Пожалуйста, выберите категорию"""
moralskeeper_category_leave#0,"""Покинул квест"""
moralskeeper_category_disturb#0,"""Нарушение игрового процесса"""
moralskeeper_category_harassment#0,"""Домогательство"""
moralskeeper_category_cheat#0,"""Взлом"""
moralskeeper_category_AntiPublic#0,"""Нарушение нормы порядка/морали"""
moralskeeper_category_Infringement#0,"""Нарушение прав"""
moralskeeper_category_HumanRightsViolations#0,"""Нарушение прав человека"""
moralskeeper_category_HumanRightsDiscrimination#0,"""Расизм"""
moralskeeper_category_etcetera#0,"""Прочее"""
moralskeeper_comment_default#0,"""<c c0c0c0>Пожалуйста, заполните содержание жалобы.<c>"""
moralskeeper_button_transmit#0,"""Отправить"""
moralskeeper_button_cancel#0,"""Отменить"""
moralskeeper_message#0,"""Благодарим за жалобу."""
moralskeeper_confirm_title#0,"""Подтверждение содержания"""
moralskeeper_confirm_message#0,"""Вы отправите отчёт.<br>Уверены что хотите продолжить?"""
moralskeeper_confirm_playername#0,"""Имя игрока и ID игрока для жалобы"""
moralskeeper_confirm_Teamname#0,"""Название ПдТ/ПК"""
moralskeeper_confirm_category#0,"""Категория жалобы"""
moralskeeper_confirm_comment#0,"""Комментарий"""
moralskeeper_confirm_nocomment#0,"""Без комментария."""
moralskeeper_confirm_transmit#0,"""Отправить"""
moralskeeper_confirm_cancel#0,"""Отменить"""
moralskeeper_precautionary_statement#0,"""Если вы найдете игрока, который нарушает<br>условия предоставления услуг, сообщите о нём.<br>Если игрок нарушает условия пользовательского<br>соглашения, мы приостановим эту<br>учетную запись."""
moralskeeper_precautionary_statement_CSpace#0,"""Если вы обнаружите Пространство для Творчества,<br>которое нарушает условия предоставления<br>услуг, сообщите об этом.<br>Если игрок нарушает условия пользовательского<br>соглашения, мы приостановим эту<br>учетную запись."""
moralskeeper_precautionary_statement_TSpace#0,"""Если вы обнаружите Пространство Команды,<br>которое нарушает условия предоставления<br>услуг, сообщите об этом.<br>Если игрок нарушает условия пользовательского<br>соглашения, мы приостановим эту<br>учетную запись."""
moralskeeper_CreativeSpace#0,"""Пожаловаться на ПдТ"""
moralskeeper_TeamSpace#0,"""Пожаловаться на ПК"""
moralskeeper_Blueprint#0,"""Пожаловаться на чертёж"""
moralskeeper_ReportGuideText_CreativeSpace#0,"""Жалоба на ПдТ"""
moralskeeper_ReportGuideText_Blueprint#0,"""Жалоба на чертёж"""
moralskeeper_menu_CreativeSpace#0,"""Название/Номер ПдТ"""
moralskeeper_menu_CreativeSpace_Confirm#0,"""Название ПдТ/Player ID"""
moralskeeper_menu_TeamSpace#0,"""Название/Номер ПК"""
moralskeeper_menu_Blueprint#0,"""Название чертежа"""
