Common#0,"""Доступ"""
Npc#0,"""Говорить"""
Gather#0,"""Взять"""
Sit#0,"""Сесть"""
TransferSingle#0,"""Телепортироваться"""
TransferMultiStart#0,"""Запустить телепорт"""
TransferMultiStop#0,"""Остановить телепорт"""
ItemStorage#0,"""Доступ к складу"""
Jump#0,"""Прыжок"""
DivaAccess#0,"""Переключение камеры"""
GazeCamera#0,"""Смотреть на цель"""
ReturnNormalCamera#0,"""Камеру обратно"""
Pickup#0,"""Подобрать"""
FloatingBoardRide#0,"""Плавающая доска"""
FieldRace#0,"""Гонка в области"""
Door_open#0,"""開ける"""
Door_close#0,"""閉める"""
Sleep#0,"""横になる"""
Bath#0,"""入浴する"""
Shower#0,"""シャワーを浴びる"""
ToStiaSection_1#0,"""スティア外縁部へ"""
ToStiaSection_2#0,"""ドライゼンプラントへ"""
ToStiaSection_3#0,"""メディオラ外郭第２区へ"""
ToStiaSection_4#0,"""ノイゼンプラントへ"""
ToStiaSection_5#0,"""メディオラ外郭第１区へ"""
