Title_Partyselect#0,"""Selección de Grupo"""
Room_Friend_Filter#0,"""Reduzca las habitaciones con sus amigos"""
Room_Team_Filter#0,"""Reduzca las habitaciones con su Team"""
Basic_Info#0,"""Información básica"""
Field_Info#0,"""Información de campo"""
Menber_Info#0,"""Miembros del Grupo"""
Filter_On#0,"""ON"""
Filter_OFF#0,"""OFF"""
Room_Timecount#0,"""$(0)：$(1)"""
Room_Leaving#0,"""<red>3 horas o más<c>"""
PasswordTitle#0,"""Contraseña"""
PasswordMessage#0,"""Ingresar Contraseña"""
Window_Titletelop#0,"""クエスト受注メニュー"""
Window_TwolineGuide#0,"""自分がパーティーリーダーになるか、他のパーティーにメンバーとして参加するかを選択してください。"""
Window_ControlGuide#0,"""<%Decide>：Decidir\u3000<%Cancel>：Cancelar"""
Top_Quest_info#0,"""Info de misión"""
Top_Quest_infodetails#0,"""Detalles de misión"""
Title_Quest_Name#0,"""Descripción general"""
Title_Quest_Reward#0,"""Recompensa"""
Title_Quest_Reward_2#0,"""初回クリア報酬"""
Title_Quest_Restriction#0,"""Restricciones"""
Title_Quest_Recommended#0,"""Lv de poder recomendado"""
Title_Quest_Order#0,"""Condiciones de pedido"""
Title_Quest_Clear_Failure#0,"""Condiciones de exito/condiciones de fallo"""
Title_Quest_Clear#0,"""Condiciones de exito"""
Title_Quest_Failure#0,"""condiciones de fallo"""
Title_Quest_Description#0,"""Descripción"""
Btn_Departimmediately#0,"""Salida Inmediata"""
Btn_Partyconfluence#0,"""Unirse al grupo"""
AcceptNG_Description1#0,"""パーティーメンバーは、<br>クエストを受注できません。"""
AcceptNG_Description2#0,"""条件を満たしていないため、<br>クエストを受注できません。"""
AcceptNG_Description3#0,"""クリア回数制限を超えているメンバーがいるため、<br>クエストを受注できません。"""
Btn_Fasttravel#0,"""Viaje rápido"""
Btn_Storyconfirmation#0,"""Ver la historia"""
Title_Mainmission#0,"""Misión principal"""
Title_Submission#0,"""Sub misión"""
Title_Bestscore#0,"""Registro personal (En solitario)"""
Title_Bestscore_pt#0,"""個人記録（パーティープレイ時）"""
Title_Subjugationtarget#0,"""Someter al enemigo objetivo"""
Title_Recommendeditems#0,"""Drop recomendado"""
Reward_Exp#0,"""$(0)<pict 4space><pict exp_boost_icon>"""
Reward_Meseta#0,"""$(0)<pict 4space><pict reb_meseta>"""
Reward_SeasonPoint#0,"""$(0)<pict 4space><pict event_point>"""
Reward_quantity#0,"""×$(0)"""
Reward_quantity2#0,"""+$(0)"""
Reward_Skillpt#0,"""Puntos de habilidad"""
Bestscore_time#0,"""$(1):$(2).$(0)"""
HighLevelQuestName#0,"""<yellow>Misión de emergencia<c>"""
CreateNewRoom#0,"""Ordene una misión"""
InRoom#0,"""Únete a un grupo en una misión"""
OrdersOption#0,"""Cambiar la configuración de la orden"""
Exit_QuestCounter#0,"""Salir del menú"""
SelectPartyList#0,"""Unirse al Grupo en el bloque actual"""
SearchPartyList#0,"""Únete & busca misiones"""
QuestSelectTitle#0,"""Selección de misiones"""
EventQuestName#0,"""Misiones por tiempo limitado"""
BonusQuestName#0,"""Misiones de bonificación"""
StoryQuestName#0,"""Recuerdo de historias"""
Title_Quest_Order2#0,"""Condiciones de desbloqueo"""
Must_Quest_Recommended#0,"""Nivel de poder requerido"""
PtMakingTitle#0,"""Menú de entrada de Grupo"""
AdmissionOption#0,"""Configuración de entrada"""
AdmissionWelcome#0,"""Bienvenido"""
PartnerCardOn#0,"""Solo amigos"""
GuildMemberOn#0,"""Solo Team"""
PasswordOption#0,"""Configurar contraseña"""
PasswordWrite#0,"""Introducir contraseña"""
PTPledge1#0,"""Restringido solo al grupo"""
PTPledge2#0,"""Multijugador limitado con otros grupos"""
OrdersOptionBlock1#0,"""Ordenar una Misión"""
OrdersOptionBlock2#0,"""Ordenar una Misión en el bloque actual"""
StoryInfo#0,"""Información de la historia"""
NoMust_Quest_Recommended#0,"""---"""
StoryQuestGuide#0,"""一度クリアしたメインクエストをもう一度遊ぶことが出来ます。"""
QuestTypeSelectTitle#0,"""Selección del tipo de misión"""
QuestSelectCheckTitle#0,"""Confirmación de pedido de misión"""
QuestSelectCheck#0,"""このクエストを受注してもよろしいですか？"""
