name_7211#0,"""シャンディー"""
ssn_019120_002_0010#0,"""来てくれて、ありがとうございます。<br>あらためて、自己紹介を。"""
ssn_019120_002_0020#0,"""私は、シャンディー。ハルファで発生する<br>さまざまな特異現象を研究しています。"""
ssn_019120_002_0030#0,"""あなたを呼んだのは、今起きている<br>現象の調査を手伝ってもらいたいと思ってまして。"""
ssn_019120_002_0040#0,"""実はここ最近、<br>各地でエネミーの数が増えているようなんです。"""
ssn_019120_002_0050#0,"""大きな被害の報告などはありませんが、<br>今後、状況が変わらないとも限りません。"""
ssn_019120_002_0060#0,"""そこで、エネミーとの交戦データを集めて、<br>状況分析を進めています。"""
ssn_019120_002_0070#0,"""とくに、関連性が指摘されている<br>この時期特有のシンボルが付いたエネミーに注目しています。"""
ssn_019120_002_0080#0,"""あなたも、このエネミーデータの収集を、<br>手伝ってもらえないでしょうか？"""
ssn_019120_002_0090#0,"""協力者には、特別な報酬も用意してあります。"""
ssn_019120_002_0100#0,"""それでは、よろしくお願いします。"""
ssn_019120_002_0110#0,"""来てくれて、ありがとうございます。"""
ssn_019120_002_0120#0,"""今回も、あなたに調査協力を<br>お願いできればと思っているのですが……。"""
ssn_019120_002_0130#0,"""実はここ最近、<br>各地でエネミーの数が増えているようなんです。"""
ssn_019120_002_0140#0,"""大きな被害の報告などはありませんが、<br>今後、状況が変わらないとも限りません。"""
ssn_019120_002_0150#0,"""そこで、エネミーとの交戦データを集めて、<br>状況分析を進めています。"""
ssn_019120_002_0160#0,"""とくに、関連性が指摘されている<br>この時期特有のシンボルが付いたエネミーに注目しています。"""
ssn_019120_002_0170#0,"""あなたも、このエネミーデータの収集を、<br>手伝ってもらえないでしょうか？"""
ssn_019120_002_0180#0,"""協力者には、特別な報酬も用意してあります。"""
ssn_019120_002_0190#0,"""それでは、よろしくお願いします。"""
ssn_019120_002_1010#0,"""おかえりなさい。<br>おかげで、多くのデータが得られました。"""
ssn_019120_002_1020#0,"""そのデータによると、エネミーの活動は、<br>確かに活発になっているようです。"""
ssn_019120_002_1030#0,"""金色や白銀のエネミーが、ほかのエネミーに、<br>なんらかの影響を与えている可能性があります。"""
ssn_019120_002_1040#0,"""これが、これからどう推移していくかは、<br>もう少し調べてみる必要がありそうです。"""
ssn_019120_002_1050#0,"""今回の事象は、幸いなことに、<br>差し迫った危険はなさそうです。"""
ssn_019120_002_1060#0,"""でも、どんなに小さな変化でも、<br>地道に調査を積み重ねることが大切なんです。"""
ssn_019120_002_1070#0,"""<%me>さん。<br>協力、ありがとうございました。"""
ssn_019120_002_1080#0,"""報酬をお渡ししますので、<br>必要なものを教えてください。"""
ssn_019120_002_1090#0,"""それでは、またなにかあったら、<br>よろしくお願いしますね。"""
ssn_019120_002_5010#0,"""エネミーの活動は、謎が多いです。"""
ssn_019120_002_5020#0,"""無軌道に見えて、よく調べてみると、<br>全体では規則的な動きをしていたりします。"""
npc_menu_0010#0,"""シーズナルポイントと交換する（$(0)まで）"""
npc_menu_0020#0,"""クリスマス'22のシーズナルポイントと交換する（$(0)まで）"""
npc_menu_0030#0,"""シーズナルイベントについて聞く"""
npc_menu_0040#0,"""メニューを閉じる"""
npc_menu_1010#0,"""“シーズナルイベント”について"""
npc_menu_1020#0,"""“ラッピーの集会場”について"""
npc_menu_1030#0,"""“シーズンエネミー”について"""
npc_menu_1040#0,"""“シーズナルリージョンマグ”について"""
npc_menu_1050#0,"""“ミスチーフシンボル”について"""
npc_menu_2000#0,"""聞きたいことはない"""
