favs_before_010#0,"""貴方に渡したいものがある。<br>これを受け取ってほしい。"""
11_voice_NPC_5254_100#0,"""情報部も、司令も関係ない。<br>これは私から、個人的なお礼だ。"""
favs_after_020#0,"""これからも、よろしく頼む。"""
favs_present_010#0,"""Received 『<%skit_text>』 from Aika."""
favs_present_020#0,"""Received 『<%skit_text>』 from Aika."""
favs_present_030#0,"""Received 『<%skit_text>』 from Aika."""
favs_present_040#0,"""Received 『<%skit_text>』 from Aika."""
favs_present_050#0,"""Received 『<%skit_text>』 from Aika."""
favs_present_060#0,"""Received 『<%skit_text>』 from Aika."""
favs_present_070#0,"""Received 『<%skit_text>』 from Aika."""
favs_present_080#0,"""Received 『<%skit_text>』 from Aika."""
favs_present_090#0,"""Received 『<%skit_text>』 from Aika."""
favs_present_100#0,"""Received 『<%skit_text>』 from Aika."""
favs_present_add_001#0,"""Received 『<%skit_text>』 from Aika."""
skit01_010#0,"""取得できたようだな。<br>それが、スペシャルギフトだ。"""
skit01_020#0,"""そのスペシャルギフトから<br>ボーナスキーを得られれば<br>ボーナスクエストに挑戦できる。"""
skit01_030#0,"""機会があれば、積極的に<br>取得を目指してほしい。<br>そのための仕組みだからな。"""
11_voice_NPC_5254_100#1,"""地球は、私にとっても大切な場所。<br>大事な思い出を残してきた場所だ。"""
st01_020#0,"""言ってしまえば、地球は私にとって<br>もう一つの故郷ともいえる。<br>守りたいと思うのは、当然だ。"""
11_voice_NPC_5254_104#0,"""私が言うのもなんだが<br>司令の情報収集力には驚かされる。"""
st01_020#1,"""こちらが隠しておきたいことも<br>司令は知っていたりする。<br>とても……その、厄介だ。"""
11_voice_NPC_5254_104#1,"""私が言うのもなんだが<br>司令には全く隙がないと思う。"""
st01_020#2,"""隠しておきたいことも<br>司令は知っていたりするんだ。"""
st01_010#0,"""……私が地球に赴いていたのは<br>イツキやリナを監視し、守るため。"""
st01_020#3,"""そしてもう一つ。<br>かの組織の尻尾を探るためだ。"""
st01_030#0,"""もっとも、そちらについては<br>気配すら気取れなかったのだが……<br>今になってこうも堂々と出てくるとは。"""
st01_040#0,"""それだけの準備が整った……<br>ということなのかもしれないな。"""
st01_010#1,"""協力者――ヒツギのことについては<br>情報部の方でも報告を受けている。"""
st01_020#4,"""殺されたのではなく攫われたのならば<br>それはその人物の身柄を利用して<br>何かを成そうとしているのだろう。"""
st01_030#1,"""一番簡単な答えは人質、だろうが<br>可能性はそれだけではない。"""
st01_040#1,"""地球においての立ち回りでは<br>向こうに一日の長がある。<br>何にせよ、後手後手だな。"""
st01_010#2,"""綿密な調査のために、アークスシップが<br>こちら側の世界に来ていたのが<br>仇となってしまったようだ。"""
st01_020#5,"""敵の侵入経路は、セキュリティを<br>騙した上での、転移能力によるもの。<br>今はどちらも対策がされている。"""
st01_030#2,"""二度はない。と思いたいが<br>具現武装の力は、私達の想定を軽々と<br>越えていくからな。油断はできない。"""
