HELLO#0,"""이곳에서는 아이템 교환을<br>진행합니다"""
HELLO_FAV4#0,"""이곳에서는 아이템 교환을<br>진행합니다"""
HELLO_FAV3#0,"""이곳에서는 아이템 교환을<br>진행합니다"""
HELLO_FAV2#0,"""이곳에서는 아이템 교환을<br>진행합니다"""
HELLO_FAV1#0,"""이곳에서는 아이템 교환을<br>진행합니다"""
HELLO_FAV0#0,"""이곳에서는 아이템 교환을<br>진행합니다"""
Q0#0,"""이곳에서는 아이템 교환을<br>진행합니다"""
GOODBYE#0,"""다음 이용을 기다리겠습니다"""
GOODBYE_FAV4#0,"""다음 이용을 기다리겠습니다"""
GOODBYE_FAV3#0,"""다음 이용을 기다리겠습니다"""
GOODBYE_FAV2#0,"""다음 이용을 기다리겠습니다"""
GOODBYE_FAV1#0,"""다음 이용을 기다리겠습니다"""
GOODBYE_FAV0#0,"""다음 이용을 기다리겠습니다"""
00_01#0,"""선택지 1"""
00_02#0,"""선택지 2"""
TALK_ST#0,"""대화하기"""
C_ORDER_ST#0,"""상담 듣기"""
