HELLO#0,"""Puedes comprar y vender discos aquí."""
HELLO_FAV4#0,"""Puedes comprar y vender discos aquí."""
HELLO_FAV3#0,"""Puedes comprar y vender discos aquí."""
HELLO_FAV2#0,"""Puedes comprar y vender discos aquí."""
HELLO_FAV1#0,"""Puedes comprar y vender discos aquí."""
HELLO_FAV0#0,"""Puedes comprar y vender discos aquí."""
Q0#0,"""Puedes comprar y vender discos aquí."""
GOODBYE#0,"""¡Adios!"""
GOODBYE_FAV4#0,"""¡Adios!"""
GOODBYE_FAV3#0,"""¡Adios!"""
GOODBYE_FAV2#0,"""¡Adios!"""
GOODBYE_FAV1#0,"""¡Adios!"""
GOODBYE_FAV0#0,"""¡Adios!"""
00_01#0,"""Opción 1"""
00_02#0,"""Opción 2"""
TALK_ST#0,"""Hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
