GREET_RANGE#0,"""Hello sir!"""
GREET_SHOP_OPEN#0,"""いらっしゃいませっ！"""
GREET_SHOP_DISABLE#0,"""ごめんなさいっ！<br>今日はね、貸し切りなんだ！"""
GREET_SHOP_CLOSE#0,"""ありがとねっ！"""
HINT_EAST#0,"""お姉ちゃんは東に<br>いそうな気がする！<br>絶対！\u3000たぶん！\u3000おそらくっ！"""
HINT_WEST#0,"""お姉ちゃんは西に<br>いそうな気がする！<br>絶対！\u3000たぶん！\u3000おそらくっ！"""
HINT_SOUTH#0,"""お姉ちゃんは南に<br>いそうな気がする！<br>絶対！\u3000たぶん！\u3000おそらくっ！"""
HINT_NORTH#0,"""お姉ちゃんは北に<br>いそうな気がする！<br>絶対！\u3000たぶん！\u3000おそらくっ！"""
00_01#0,"""Option 1"""
00_02#0,"""選択¢その２"""
TALK_ST#0,"""Talk"""
C_ORDER_ST#0,"""Listen to details"""
