NAME#0,"""Anneliese"""
NICKNAME#0,"""Asesor de Misiones"""
HELLO#0,"""¿Que mision le gustaria hacer?"""
HELLO_FAV0#0,"""¿Que mision le gustaria hacer?"""
HELLO_FAV1#0,"""¿Que mision le gustaria hacer?"""
HELLO_FAV2#0,"""¿Que mision le gustaria hacer?"""
HELLO_FAV3#0,"""¿Que mision le gustaria hacer?"""
HELLO_FAV4#0,"""¿Que mision le gustaria hacer?"""
Q0#0,"""¿Que mision le gustaria hacer?"""
TALK_BYE_QUEST#0,"""Por favor, ve al campship utilizando la puerta de al lado, cuando estes listo para comenzar tu mision."""
GOODBYE#0,"""Esperamos poder servirle de nuevo."""
GOODBYE_FAV0#0,"""Esperamos poder servirle de nuevo."""
GOODBYE_FAV1#0,"""Esperamos poder servirle de nuevo."""
GOODBYE_FAV2#0,"""Esperamos poder servirle de nuevo."""
GOODBYE_FAV3#0,"""Esperamos poder servirle de nuevo."""
GOODBYE_FAV4#0,"""Esperamos poder servirle de nuevo."""
RECOMMEND#0,"""Puedes aceptar las ordenes<br>de los clientes relacionados con esta mision"""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""Hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
