WINDOW_TITLE#0,"""¿Qué?"""
CLOSE_MENU#0,"""Volver"""
START_CLIENT_ORDER#0,"""Orden del cliente"""
START_TALK#0,"""Hablar"""
MB_ACCEPT#0,"""Aceptar"""
MB_REPORT#0,"""Reportar"""
MB_REJECT#0,"""Rechazar"""
TICKET_BOARD#0,"""Recibir Pase Extreme """
ARKSROAD_FORM#0,"""アークスロードの達成確認"""
ARKSROAD#0,"""Sobre las [Lecciones ARKS]"""
ARKSMISSION_FORM#0,"""アークスミッション"""
KNOWLEDGE#0,"""Lecciones privadas de Astarte"""
SHIP_BATTLE_MENU#0,"""アークスシップ対抗戦"""
SHOP_PASTRY#0,"""Pasteleria Naura"""
SHAO1#0,"""Ofrecer cooperación"""
SHAO2#0,"""Revisar el conocimiento de la base"""
SHAO3#0,"""Comprobar la situación actual"""
PRESENT_POINT#0,"""Recibiras un regalo de $(0)."""
PET_LIMIT_BREAK#0,"""Solicitar Pet Limit Break"""
SUMMONER_MENU#0,"""サモナーの説明を聞く"""
STORY_BOARD#0,"""ストーリーボード【EP4】"""
EVENT_CHRONICLE#0,"""イベントクロニクル"""
SUMMONER_MENU1#0,"""Acerca de las personalidades de las mascotas"""
GAT_TUTORIAL#0,"""Escuchar explicacion de recolecccion"""
GAT_TUTORIAL1#0,"""Escuchar explicacion de los anillos"""
EQUIP_NOTE#0,"""Archivo de recolección"""
EQUIP_NOTE_TUTORIAL#0,"""Acerca del archivo de recolección"""
ArksLeague#0,"""Recompensas de la liga"""
ArksLeagueRanking#0,"""Info mas reciente de la liga"""
Arks_Tut#0,"""Acerca de [Liga ARKS]"""
INVITE_REWARD#0,"""Cargo por invitación"""
FCap_Tut#0,"""Sobre \""Copa Famitsu\"""""
GetPokaRankingReward#0,"""Recibir Recompensa de Ranking de Batalla"""
Celestial_Sphere#0,"""Cambiar escenario"""
EP4_CHANGE_SIERRA#0,"""Cambiar al EP4"""
EP5_CHANGE_SIERRA#0,"""Cambiar al EP5"""
ALMA_MENU#0,"""質問する"""
HERO_MENU01#0,"""ヒーローの説明を聞く"""
PHANTOM_MENU01#0,"""ファントムの説明を聞く"""
ETOILE_MENU01#0,"""エトワールの説明を聞く"""
LUSTER_MENU01#0,"""ラスターの説明を聞く"""
RECYCLESHOP_JIG_TITLE1#0,"""Tienda de intercambio: emblemas"""
QC_STORY_EP5#0,"""Mision principal EP5"""
QC_OMNIBUS#0,"""オムニバスクエスト【EP1～3】"""
QC_OMNIBUS_EP1#0,"""EPISODIO 1"""
QC_OMNIBUS_EP2#0,"""EPISODIO 2"""
QC_OMNIBUS_EP3#0,"""EPISODIO 3"""
