Q0#0,"""Hola."""
HELLO#0,"""Hola."""
HELLO_FAV4#0,"""や、待っていたよ"""
HELLO_FAV3#0,"""ああ、キミか"""
HELLO_FAV2#0,"""Hola."""
HELLO_FAV1#0,"""¿Que pasa?"""
HELLO_FAV0#0,"""Tienes algunos negocios conmigo?"""
GOODBYE#0,"""Bien entonces."""
GOODBYE_FAV4#0,"""Quedemos otra vez."""
GOODBYE_FAV3#0,"""Pues bien, nos vemos."""
GOODBYE_FAV2#0,"""Bien entonces."""
GOODBYE_FAV1#0,"""ああ"""
GOODBYE_FAV0#0,"""...¿Necesitas algo?"""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""Hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
