00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""Hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
Q0#0,"""Te explicare como jugar"""
HELLO#0,"""Te explicare como jugar"""
HELLO_FAV4#0,"""Te explicare como jugar"""
HELLO_FAV3#0,"""Te explicare como jugar"""
HELLO_FAV2#0,"""Te explicare como jugar"""
HELLO_FAV1#0,"""Te explicare como jugar"""
HELLO_FAV0#0,"""Te explicare como jugar"""
GOODBYE#0,"""満席なら、アクまで待ってね"""
GOODBYE_FAV4#0,"""満席なら、アクまで待ってね"""
GOODBYE_FAV3#0,"""満席なら、アクまで待ってね"""
GOODBYE_FAV2#0,"""満席なら、アクまで待ってね"""
GOODBYE_FAV1#0,"""満席なら、アクまで待ってね"""
GOODBYE_FAV0#0,"""満席なら、アクまで待ってね"""
