name_7436#0,"""홀사"""
ssn_015050_0001#0,"""이 선발대는 대부분 에아리오 출신 아크스다.<br>리템 출신은 나 정도 밖에 없을 거야."""
ssn_015050_0002#0,"""그러니 그 쪽 사람들하고 꾸준히 어울려야지.<br>고립돼 버리면 임무에 지장을 주니까."""
ssn_015050_0101#0,"""이야기 들었다.<br>또 맹활약을 했다더군."""
ssn_015050_0102#0,"""대원들 사이에서도<br>네 이야기가 자자해."""
ssn_015050_0103#0,"""그래서 네게 부탁하고 싶은 것이 있다.<br>사람 돕는 셈 치고 들어주지 않겠나?"""
ssn_015050_0201#0,"""붉은 컨테이너의 조사를 부탁한다.<br>내용물을 확인하는 정도면 충분해."""
ssn_015050_0202#0,"""갯수는 최대한 많이 부탁한다 .<br>물론 크바리스에 있는 것만이 대상이다."""
ssn_015050_0203#0,"""그럼 부탁한다."""
ssn_015050_0301#0,"""그렇군……. 하는 수 없지.<br>다음에 부탁한다."""
ssn_015050_0401#0,"""오오, 제대로 데이터를 모아 왔군.<br>이거라면 대장에게 좋은 보고를 올릴 수 있겠어."""
ssn_015050_0402#0,"""신세를 졌군, 고맙다.<br>이 은혜는 꼭 갚지."""
ssn_015050_0501#0,"""컨테이너의 데이터 수집, 큰 도움이 됐다.<br>대장도 만족하더군."""
ssn_015050_0502#0,"""리템의 아크스는 입은 은혜를 절대로 잊지 않아.<br>무슨 일이 있거든 내게 말해줘."""
