name_7740#0,"""트럭스턴"""
ssn_015063_0101#0,"""좋아.<br>그럼 이야기하도록 하지."""
ssn_015063_0102#0,"""그 놈의 이름은<br>\""에인션트 에너미\""라고 한다."""
ssn_015063_0103#0,"""이야기는, 로스트 센트럴이<br>\""센트럴 시티\""라고 불리던 시절로 거슬러 올라간다."""
ssn_015063_0104#0,"""그 지역이 \""다크 펄스\""의 공격으로<br>지금처럼 되어 버린 건 너도 알고 있겠지."""
ssn_015063_0105#0,"""정확히는 돌즈의 총 공격이지."""
ssn_015063_0106#0,"""과거의 크바리스 아크스는<br>공격 자체는 물리쳤다고 한다."""
ssn_015063_0107#0,"""하지만 그 뒤 원인 불명의 급격한 한랭화가 닥쳐와,<br>시티는 얼음 속에 갇혀 버렸지."""
ssn_015063_0108#0,"""그때 활동을 멈춘 채,<br>얼음 속에 파묻힌 게 에인션트 에너미다."""
ssn_015063_0109#0,"""우리 활동에 반응한 건지는 알 수 없지만,<br>그 에너미가 움직이기 시작한 모양이야."""
ssn_015063_0110#0,"""조우한 선발대의 아크스는<br>도망쳐 왔다더군."""
ssn_015063_0111#0,"""강적을 좇는 너라면,<br>흥미가 동할 만한 이야기겠지."""
ssn_015063_0112#0,"""레이요르드 협만에서 에인션트 에너미의<br>목격 정보가 들어온 곳을 알려 주지."""
ssn_015063_0113#0,"""우선 격파까진 못 하더라도,<br>데이터 수집만큼은 도와 줬으면 한다."""
ssn_015063_0114#0,"""방한 대책과 장비를 갖추고<br>찾아가 보게."""
