name_7199#0,"""구이덴"""
ssn_014811_0101#0,"""그래, 그럼 얘기하지."""
ssn_014811_0102#0,"""넌 “전투력”을 의식해 가면서 싸우고 있나?"""
ssn_014811_0103#0,"""전투력은 그 아크스의 능력을<br>각자의 마그가 총합해 판단, 계산하는 거다."""
ssn_014811_0104#0,"""그 수치는 네 신체능력 뿐만 아니라,<br>무기, 방어구의 성능도 반영된다."""
ssn_014811_0105#0,"""장비를 어떻게 강화하느냐도<br>중요하다 할 수 있지."""
ssn_014811_0106#0,"""물론, 특수 능력 세팅 역시<br>전투력에 반영된다."""
ssn_014811_0107#0,"""무기를 강화하기만 하고, 세부조정은 하지 않았다면, <br>이 기회에 한 번 시험해 보도록."""
ssn_014811_0108#0,"""먼저 아이템 랩에서<br>“특수 능력 캡슐”의 교환 방법을 확인해 보도록."""
ssn_014811_0109#0,"""그래, 이번엔 필요할 법한 소재를 주지."""
ssn_014811_0110#0,"""C/스태미너Ⅱ를 10개, C/스피리타Ⅱ를 10개, C/파워Ⅱ를 10개, C/슛Ⅱ를 10개 입수했습니다."""
ssn_014811_0111#0,"""C/테크닉Ⅱ를 10개, 포톤 쿼츠를 50개, 트라이나이트를 50개 입수했습니다."""
ssn_014811_0112#0,"""C/스태미너Ⅱ를 10개, 포톤 쿼츠를 10개, 트라이나이트를 10개 입수했습니다."""
ssn_014811_0113#0,"""어느 캡슐로 교환할지는 네 자유다.<br>한 번 해 봐."""
ssn_014811_0114#0,"""C/어빌리티 Ⅲ을10개, C/파워 Ⅳ를10개 입수했습니다."""
ssn_014811_0115#0,"""C/슛 Ⅳ를10개, C/테크닉 Ⅳ를10개 입수했습니다."""
ssn_014811_0116#0,"""포톤 쿼츠를 50개, 테드라사이트를 50개 입수했습니다."""
ssn_014811_0117#0,"""C/어빌리티 Ⅲ을10개 입수했습니다."""
ssn_014811_0118#0,"""포톤 쿼츠를 20개, 테드라사이트를 20개 입수했습니다."""
ssn_014811_0119#0,"""교환할 캡슐 말이다만,<br>\""어빌리티 Ⅳ\""를 추천한다."""
ssn_014811_0120#0,"""그럼 잘 해봐."""
