Title#0,"""Ranger: Basic Training"""
Summary#0,"""Sharkey, the ARKS training instructor, teaches you how to fight as a Ranger.<br><br><yellow>※Recommended Class Skills:<br>Weak Bullet<c>"""
Objective311#0,"""Set Main Class to Ranger"""
text0101#0,"""Set your Main Class to Ranger"""
Objective321#0,"""Go to Mt. Magnus"""
text0102#0,"""Go to South Aerio as a Ranger"""
text0103#0,"""Use Weak Bullet"""
Objective322#0,"""Use Weak Bullet"""
Objective323#0,"""Defeat enemies at Mt. Magnus as a Ranger"""
text0104#0,"""Defeat enemies in South Aerio as a Ranger"""
Objective331#0,"""Report to Sharkey"""
