un_048010_0010#0,"""Ahh, <%me>!<br>¡Has llegado aquí justo a tiempo!"""
un_048010_0020#0,"""Cuando presenté una queja a la División de Inteligencia sobre un asunto anterior, el Sr. Casra de repente se acercó. ¿No es esto lo que ellos llaman una situación explosiva?"""
un_048010_0030#0,"""Aunque tengo cero intenciones de escalar esta situación más lejos. Bueno, de todos modos..."""
un_048010_0040#0,"""La información por sí sola me pareció bastante aburrida, así como Comandante de la División de Inteligencia, pensé que era mejor pedir disculpas y explicar los detalles."""
un_048010_0050#0,"""Al monitorear a Aika y cuestionar a los visitantes de la Tierra."""
un_048010_0060#0,"""Aunque era posible investigar en secreto, era mi sincera intención tratar con esto sin ocultar o retirar información de usted."""
un_048010_0070#0,"""Sin embargo, no era mi intención hacerte sentir mal. Para eso, como el comandante de la división de información, me disculpo sinceramente."""
un_048010_0080#0,"""Incluso sin tales actos, ya había enviado la información relativa a Hitsugi y los demás. Entonces, ¿por qué continúan estas investigaciones?"""
un_048010_0090#0,"""Es como usted dice. Hemos recibido información de la Sra. Hitsugi y el Sr. Enga de Xiera."""
un_048010_0100#0,"""Sin embargo, había una sección que estaba oculta, con respecto a la Sra. Hitsugi. Era ilegible."""
un_048010_0110#0,"""Eh... Algo ilegible?"""
un_048010_0120#0,"""Sí, tenía un cifrado muy fuerte. A juzgar por la fecha, creo que contenía datos visuales sobre la vida cotidiana en la Tierra."""
un_048010_0130#0,"""…………Ah!"""
un_048010_0135#0,"""Creo que puede haber sido cuando investigamos el baño..."""
un_048010_0140#0,"""Datos de inteligencia cifrados y desconocidos que lo crearon. Hipotéticamente hablando, si hubiese intercambio de información entre una organización enemiga, podría haber sido preocupante."""
un_048010_0150#0,"""Como parte de la División de Inteligencia, no podía permitir que se deslice. Así que me vi obligado a hacer algunas investigaciones a fondo."""
un_048010_0160#0,"""¿Sucede algo Xiera? Te ves un poco tensa, ¿te has dado cuenta de algo?"""
un_048010_0170#0,"""¿Qué? ¡No no no! Nada interesante, nada en absoluto! Verdad, <%me>?"""
un_048010_0180#0,"""<%me>, ¿sabes algo tambien?"""
un_048010_0190#0,"""１．No sé nada..."""
un_048010_0200#0,"""２．Que típico de ti"""
un_048010_0210#0,"""Ya veo... Bueno, eso es todo."""
un_048010_0220#0,"""Bueno, ¿qué quieres decir con eso?"""
un_048010_0230#0,"""Ahora bien, debo irme. Ha habido un aumento de trabajo, ya ves."""
un_048010_0240#0,"""...¿Un aumento de trabajo?"""
un_048010_0250#0,"""Calculamos el culpable detrás de la ocultación cruda de Intel, y por lo tanto sería malo no limpiarlo después."""
un_048010_0260#0,"""Después de todo, podría ser algo que podría cambiar la forma en que vemos la Tierra."""
un_048010_0270#0,"""Uuuu! Lo entiendo, lo entiendo! ¡Sr. Casra!"""
un_048010_0280#0,"""...Xiera, mientras que usted puede ser excelente. No eres muy buena en las negociaciones."""
un_048010_0290#0,"""Por favor, se mezclan con los demás, y tal vez algún día, podría ser capaces de burlarse de mí."""
un_048010_0300#0,"""<%me>,<br>Me disculpo por perder el tiempo. Me despido."""
un_048010_0310#0,"""Ugh! ¡Este chico! ¡Qué pasa con él! Algún día, le mostraré! Voy a ser la ultima en reir!"""
