un_044050_0010#0,"""Oh, <%me>!<br>¡Qué inesperado encontrarte aquí!"""
un_044050_0020#0,"""De vez en cuando he escuchado de Claris Claes, pero es diferente cuando nos encontramos así. Tienes un sentimiento genuino."""
un_044050_0030#0,"""1. ¿Qué hay de nuevo?"""
un_044050_0040#0,"""2. Me alegra que te vaya bien."""
un_044050_0050#0,"""¡Nada en particular, sólo uno de esos paseos periódicos en Naberius!"""
un_044050_0060#0,"""Acabé en el mando de la unidad de Combate, pero todo eso no importa!, ¡Esto es supremacía en la acción!"""
un_044050_0070#0,"""Hahaha!, ¡Naturalmente!, ¡Ese es mi mérito!"""
un_044050_0080#0,"""¡Piense por un momento! si no tuviera voluntad para continuar, ¡Qué torpe habría sido eso!"""
un_044050_0090#0,"""¿Lo llamaste Tierra? Debido a nuestra respuesta a ese planeta en otra dimensión, nuestra respuesta en otra parte de nuestra propia dimensión, se ha vuelto insuficiente."""
un_044050_0100#0,"""¡Así que Claris Claes y Yo, estamos patrullando cuando estamos libres!"""
un_044050_0110#0,"""Entiendo los problemas que están sucediendo en la Tierra, ¡Pero nosotros los ARKS tenemos problemas de Darker persistentes!"""
un_044050_0120#0,"""Esta no es manera sobre lo que debemos<br>priorizar. Se trata de ser la persona adecuada<br>en el lugar correcto."""
un_044050_0130#0,"""Estamos aquí, <%me> está<br>allí. Cuando es necesario, nos ayudamos mutuamente."""
un_044050_0140#0,"""Para eso están los camaradas."""
un_044050_0150#0,"""¡Por eso me siento tranquilo y contento por tu regreso!"""
un_044050_0160#0,"""Eh, ¿Qué?!... ¡En algún lugar, una voz pide mi ayuda! <%me>!, ¡Hasta la proxima vez!"""
