un_049050_0010#0,"""Ah, <%me>!<br>Justo a tiempo!"""
un_049050_0020#0,"""Hehehe! Finalmente lo he hecho! ¡He creado un mecanismo que nos permite ver el progreso de la Tierra!"""
un_049050_0030#0,"""En pocas palabras, podemos ponernos al día con Hitsugi y el progreso de todos con información de video en vivo! *Sigh*... Tuve dificultades para hacer esto también ~"""
un_049050_0040#0,"""1. Espiar es malo."""
un_049050_0050#0,"""2. Suena interesante."""
un_049050_0060#0,"""No, No ¡No estamos espiando en absoluto!<br>Lo dije antes - ¡todo es por los datos más recientes y honestos!"""
un_049050_0070#0,"""Jeje ¿verdad? También te preocupa cómo van las cosas, ¿no es así?, <%me>?"""
un_049050_0080#0,"""A pesar de que la principal amenaza de la Tierra ha sido eliminada, Ether sigue propagándose. Por lo tanto, la aparición frecuente de Phantoms aun es posible."""
un_049050_0090#0,"""En lugar de dar sorties a la información que nos ha traído, también es esencial para observar la situación tanto como podemos y controlar a través de control de supresión."""
un_049050_0100#0,"""Ahora esa es la razón de nuestro mecanismo.<br>Nunca se utilizará con el propósito de espiar<br>No! ¡Nunca!"""
un_049050_0110#0,"""Ahora, con eso dicho, vamos a probarlo para ver qué tipo de información recibiremos."""
un_049050_0120#0,"""Aaah... Nada como un buen baño caliente! Una buena cosa sobre esta escuela es el enorme tamaño de los baños."""
un_049050_0130#0,"""¡Sí! Bueno, estoy de acuerdo con esa parte, pero..."""
un_049050_0140#0,"""¿Por qué están aquí?!"""
un_049050_0150#0,"""No importa a dónde vayamos o qué baño tomemos, no hará la diferencia. Usted 100% se queja de todos modos."""
un_049050_0160#0,"""Lanzando mis dos centavos, probablemente puede esperar más de este tratamiento, la Sra. Dorm Manager."""
un_049050_0165#0,"""No quería exactamente ese título!<br>Necesitaban a alguien,<br>y yo estaba allí.<br>¡Fue una coincidencia!"""
un_049050_0170#0,"""Hablando de eso, ¿no estás siendo un poco grosera con tu maestra? ¡Muéstrele respeto, presidenta del consejo estudiantil de la pequeña señorita!"""
un_049050_0180#0,"""¡De ninguna manera! ¡No eres mi maestra de homeroom!"""
un_049050_0190#0,"""Entonces, ¿qué tal si hago la siguiente prueba un 200% más difícil? Solo para ti..."""
un_049050_0200#0,"""Está bien entonces. Lo acepto de todos modos."""
un_049050_0210#0,"""Eso es suficiente, niñas. La bañera no es un campo de batalla, así que por favor dejen sus conflictos en la puerta."""
un_049050_0220#0,"""Sí, señora..."""
un_049050_0225#0,"""Sí, señora..."""
un_049050_0230#0,"""Espera, ¿por qué está Phaleg aquí?<br>Es una extraña, ¿verdad? ¡Eres la<br>presidenta del consejo estudiantil! <br>¡Haz algo!"""
un_049050_0240#0,"""¡Yo puedo hacer cualquier cosa!<br>Además, ¿no sería su trabajo como<br>personal de la facultad?<br>¡Vamos, Sra. Och! ¡Haz algo!"""
un_049050_0250#0,"""De nuevo, veo. No se rinden, ¿verdad? Bastante adorable que son tan parecidas, realmente..."""
un_049050_0260#0,"""......."""
un_049050_0270#0,"""Umm... Phul? ¿Hay algo raro?"""
un_049050_0280#0,"""Tu pecho es..."""
un_049050_0290#0,"""¿Huh?"""
un_049050_0300#0,"""¿Cómo conseguiste eso pechos tan grandes? Quiero que los míos crezcan más grandes también..."""
un_049050_0310#0,"""Yo, uh ... nunca le presto atención..."""
un_049050_0320#0,"""¿Que es lo que tú comes? ¿Qué piensa usted acerca de? ¿Qué haces? ¿Que debería hacer? ¡Vamos dime!"""
un_049050_0330#0,"""Espera, ¿no deberías estar preguntando a Phaleg? ¿No son las suyas más grandes?!"""
un_049050_0340#0,"""¡Eso, mis queridas, son los frutos de mi entrenamiento diario!"""
un_049050_0350#0,"""¿Crees que estaría de acuerdo contigo?"""
un_049050_0352#0,"""¡No funciona!"""
un_049050_0354#0,"""¡100%!"""
un_049050_0356#0,"""¡Tienes que estar bromeando!"""
un_049050_0360#0,"""Hey, Och ... Sé que has estado intentando todo lo que puedes pensar, pero no puedo ver ningún resultado."""
un_049050_0370#0,"""¡Cállate, Phul! Es 100% grasa inútil de todos modos! Hey, Hitsugi! ¡Di algo!"""
un_049050_0380#0,"""No como si estuviera de tu lado en esto. Una nueva profesora dijo que hay una diferencia definitiva entre cero y uno, ¿no?"""
un_049050_0390#0,"""Tranquilo, usted! Si usted está comparando el suyo con el mío, entonces el resto de nosotros son errores!"""
un_049050_0400#0,"""Eso es demasiados errores, Och. ¿No dijiste lo mismo cuando hablábamos de Enga hace un tiempo?"""
un_049050_0410#0,"""¿Por qué lo mencionas? ¿Cómo se relaciona con esto?"""
un_049050_0420#0,"""Ah... Siento decepcionarte, pero creo que a mi hermano le gustan más grande."""
un_049050_0430#0,"""¡No pedí tu opinión!"""
un_049050_0440#0,"""Quiero decir,<br>¿no son todos los hombres así?<br>¿Verdad, Kohri?"""
un_049050_0450#0,"""No me preguntes ¡No me interesan los hombres! ¡Prefiero a Hitsugi todo el día!"""
un_049050_0460#0,"""Ahora esa información vale la pena reunir..."""
un_049050_0470#0,"""¡Oh vamos! Al menos dame el 50% de lo que tienes! Usted puede ahorrar algunos!"""
un_049050_0480#0,"""Queee?!"""
un_049050_0490#0,"""Och, los maestros que acosan sexualmente a sus estudiantes son criminales."""
un_049050_0500#0,"""¡No es acoso sexual! Es skinship! Vamos, gimmie!"""
un_049050_0510#0,"""Deténte, Och. Es desagradable."""
un_049050_0520#0,"""Grrr..."""
un_049050_0530#0,"""El verdadero amor es algo que trasciende la forma y la forma. Estos escasos problemas con respecto a la apariencia de sus cuerpos no deben significar nada para usted."""
un_049050_0540#0,"""Lo importante es su corazón. Deberías haber aprendido todo eso ahora."""
un_049050_0550#0,"""Todavía eres joven, pero cuidar y cuidar es cómo uno experimenta verdaderamente el amor. Es una parte integral de la naturaleza humana."""
un_049050_0560#0,"""Esa es la persuasión carismática. Pero conociéndote, tienes la experiencia para respaldar ese conocimiento."""
un_049050_0570#0,"""¿Experiencia? ¿Que tipo?"""
un_049050_0580#0,"""¿Qué te hace pensar que lo sé?"""
un_049050_0590#0,"""Oh. Hablando de experiencia, ¿cuántos años tienes, Phaleg?"""
un_049050_0600#0,"""¡Eso fue contundente! Manera de cortar por lo sano, Yandere!"""
un_049050_0610#0,"""Manera de plantear una buena pregunta! ¡Eso es algo que necesitamos saber! Buena pregunta, chica!"""
un_049050_0620#0,"""No tiene sentido discutir el paso del tiempo. No soy nada más ni menos que lo que mi corazón desea ser."""
un_049050_0630#0,"""¡UH oh! vamos a mantener esto confidencialidad!"""
un_049050_0640#0,"""Yo no vi nada, y tampoco tú, <%me>!<br>¡Es un secreto para todos!"""
