un_045020_0010#0,"""HAHAHAHA!<br>¡Así que has soportado la pelea, incluso con nosotros dos!"""
un_045020_0020#0,"""¡Eres una persona increíble! me pregunto cuánto tiempo te tomó alcanzar ese poder!"""
un_045020_0030#0,"""Hah, es un honor recibir tu alabanza. Probablemente eres el único en notar que este es el fruto del trabajo duro."""
un_045020_0040#0,"""Aunque ojalá pudiéramos continuar, parece que han surgido algunos asuntos."""
un_045020_0050#0,"""Vamos a seguir esto en otro momento. Piensen en esto un preludio para la próxima vez. Hasta entonces."""
un_045020_0060#0,"""Uff...<br>caray, ¿Estás bien?,<br>¿<%me>?"""
un_045020_0070#0,"""Se suponía que íbamos a buscar un Phantom peligroso, pero acábamos encontrando algo mucho peor."""
un_045020_0080#0,"""Incluso durante la pelea, no parecía estar presionada en absoluto. Para ser sincero, es incomprensible."""
un_045020_0090#0,"""Pero wow, este mundo es un lugar enorme! Estoy contento de ver que todavía tengo un largo camino por recorrer!, ¡Vale la pena!"""
un_045020_0100#0,"""Bueno, vamos a volver a casa!"""
skit01#0,"""PRUEBA"""
skit02#0,"""Temporal"""
