ra_043030_0001#0,"""A.P.241/4/2"""
ra_043030_0010#0,"""지구인 고유의 무장구현화 능력에 대해서 말이죠.<br>이건 거의 분석이 완료됐어요."""
ra_043030_0020#0,"""아크스에서 말하는 서모너 능력.<br>그 지구인 버전이에요."""
ra_043030_0030#0,"""히츠기 씨, 그 검을<br>구현화해주실래요?"""
ra_043030_0040#0,"""어, 응.<br>……「아메노하바키리」。"""
ra_043030_0050#0,"""이러면 돼?"""
ra_043030_0060#0,"""네, 감사합니다."""
ra_043030_0070#0,"""지금 히츠기 씨의 커맨드에 응해<br>대기중의 포톤이 집적되어 구현됐습니다."""
ra_043030_0080#0,"""아크스 능력 중 일부도<br>포톤을 구현화시키긴 하지만<br>지구인 여러분은 좀 다른 것 같아요."""
ra_043030_0090#0,"""더 갑작스러운 느낌……<br>이미지를 그대로 허공에 구현화하고 있어요.<br>에테르에 익숙한 지구인이니까 가능한 일이죠."""
ra_043030_0100#0,"""이미지가 구현으로 직결되어있어서<br>성능은 그쪽이 매우 높을 겁니다."""
ra_043030_0110#0,"""그만큼 범용성이 부족해서<br>능력을 쓸 수 있는 사람이 거의 없는 것이<br>단점이라 할 수 있죠."""
ra_043030_0120#0,"""그러고보니 히츠기 씨가 구현화한<br>그 무기, 뭐라고 했었죠……<br>아메노하키리? 좀 다른가."""
ra_043030_0130#0,"""아깝다. 정답은 「아메노하바키리」."""
ra_043030_0140#0,"""그건 뭔가 유래가 있는 건가요?"""
ra_043030_0150#0,"""아, 그게……"""
ra_043030_0160#0,"""네, 네, 네!<br>일본신화, 이즈모신화에 나오는 무기!<br>야마타노오로치를 베어버렸다는 검!"""
ra_043030_0170#0,"""어, 알, 어떻게 아는 거야?"""
ra_043030_0180#0,"""누나 방에 있어서 읽었어.<br>그밖에도 잔뜩 있었어, 신화 책.<br>여러 신화가 잔~뜩."""
ra_043030_0190#0,"""책을 좋아해?"""
ra_043030_0200#0,"""신화를 좋아해?"""
ra_043030_0210#0,"""……뭐 그렇지.<br>특히 종이책을 넘기며 읽는 게 좋아.<br>뭐라 그래야하나, 안심이 되거든."""
ra_043030_0220#0,"""책은 다양하게 읽지만……<br>역시 신화나 영웅담이나<br>그런 게 좋아."""
ra_043030_0230#0,"""……신화도 그렇지만<br>영웅담이 좋다고 할까."""
ra_043030_0240#0,"""현실에서 무슨 일이 있어도<br>책을 읽고 영웅에 몰입하는 동안은<br>구원받는 느낌이 들어서……"""
ra_043030_0250#0,"""……으, 어린애 같다고 생각하고 있지.<br>됐어 됐어, 어차피 난<br>몸도 마음도 어린애인채인 걸. 흥."""
