un_043080_0001#0,"""A.P.2028/x/xx"""
un_043080_0010#0,"""어머, 마침 잘 됐네요.<br><%me> 씨도 함께<br>아크스의 역사를 복습하실래요?"""
un_043080_0020#0,"""히츠기 씨랑 알이 관심 있는 것 같아서<br>여러 자료를 보여주고 있던 참이에요."""
un_043080_0030#0,"""하아…… 관심이 있달까 난 얼마 전까지<br>이런 기록을 몰래 조사하고 있었는데……"""
un_043080_0040#0,"""이렇게 당당하게 보여주면<br>여태한 고생은 뭐였던 건지 생각하게 되네."""
un_043080_0050#0,"""아크스도 과거의 역사를 은폐하던 시기가<br>있었지만 현재 체제로 바뀌고 나선<br>기본적으로 풀 오픈이에요."""
un_043080_0060#0,"""모두에게 숨겨야하는 떳떳하지 못한 일은<br>딱히 아무 것도 없으니까요!"""
un_043080_0070#0,"""저기, 시에라.<br>이 시온이라는 사람 말인데……"""
un_043080_0080#0,"""오, 알. 안목이 좋네요.<br>시온의 기록에 주목하다니."""
un_043080_0090#0,"""시온이라는 사람은 뭐였던 거야?"""
un_043080_0100#0,"""……음~, 좀 개념적인 얘기가 되어버리는데<br>시온은 이쪽 우주의 관측자라 불렸습니다.<br>우주의 역사를 기록하는 도서관 같은 존재에요."""
un_043080_0110#0,"""우주가 생겼을 때부터 지금까지의 기록을 가진<br>말하자면 하나의 『전지존재』죠."""
un_043080_0120#0,"""『전지존재』?<br>뭐든지 알고있었다는 말이야?"""
un_043080_0130#0,"""뭐든지 알고있었다고 생각해요.<br>다만 어디까지나 알고 있을뿐이지만요."""
un_043080_0140#0,"""또한 인간의 감정 파악 같은 게 서툴러서<br>그로 인해 사람과의…… 포토너와의<br>교류를 바랬던 겁니다."""
un_043080_0150#0,"""……포토너."""
un_043080_0160#0,"""시온은 그들에게 포톤의 사용법을 가르쳐주고<br>포토너는 그걸 기반으로 발전했습니다."""
un_043080_0170#0,"""너무 발전해서 쓸데없는 걸 만들다보니<br>다커의 기원이 되는 【심원의 어둠】까지<br>만들어버렸지만 말이에요."""
un_043080_0180#0,"""……【심원의 어둠】이란 걸 만들기 전에도<br>포토너는 여러모로 저질렀던 거지?？<br>시온을 이용해서, 뭔가 이것저것"""
un_043080_0190#0,"""맞습니다, 잘 알고 계시네요.<br>그 「뭔가 이것저것」의 결말이<br>【심원의 어둠】의 발생이었답니다."""
un_043080_0200#0,"""포토너는 시온의 복제를 만들려고<br>몇번이나 실패하다가 마지막 크나큰 실패로 인해<br>【심원의 어둠】이 만들어졌다는 느낌입니다."""
un_043080_0210#0,"""으음…… 즉 시온은 굉장한 사람이고<br>포토너는 나쁜 사람들이고……<br>양쪽 다 이젠 없다는 거지?"""
un_043080_0220#0,"""발전을 위해서 등등을 제쳐둔다면<br>상세하지는 않지만<br>그 인식이 틀리지 않습니다."""
un_043080_0230#0,"""그리고 전 그 굉장한 사람인<br>시온의 자식인 샤오의 자식.<br>즉 시온의 손녀라고 할 수 있죠!"""
un_043080_0240#0,"""굉장한 사람의…… 손녀?<br>그러면 시에라는 혹시 굉장한 사람……?？"""
un_043080_0250#0,"""헤헹~. 혹시가 아니라 굉장한 거 맞아요~!<br>더욱 더 존경해도 된다고요~!"""
un_043080_0260#0,"""…………"""
un_043080_0270#0,"""뭐 신경쓰이는 점이라도 있어?"""
un_043080_0280#0,"""뭐 의문이라도?"""
un_043080_0290#0,"""아, 아니.<br>그런 거는…… 거는 맞긴 한데."""
un_043080_0300#0,"""……아, 아니, 아크스에 대해서<br>의문이 있는 건 아닌데."""
un_043080_0310#0,"""마더가 수집을 부탁한 정보 중에는<br>「포토너가 있는 곳」이라는 게 있었어.<br>……그건 무슨 목적이었을까."""
un_043080_0320#0,"""흠흠. 아크스의 역사라기보단<br>내력에 대해서 조사했던 걸까요.<br>혹은 그것과는 다른 목적이……?"""
un_043080_0330#0,"""……이제 와서는 알 방법이 없네."""
