Title#0,"""결단의 날"""
Explanation#0,"""【가면】은 말했다.<br>「나베리우스, 약속의 땅에서 기다린다」.<br>그 말이 어디를 가리키는지는 명백했다.<br>나베리우스에서 맺은 약속이란<br>10년 전의 단 하나. 그녀와의 약속뿐.<br><br>두 사람밖에 모를 터인 약속.<br>재회를 맹세한 나무 아래, 전부 밝혀진다.<br>――――――――――――――――――――<br>실패 조건/전투 불능 후 리타이어 선택"""
SimpleExplanation#0,"""？？？"""
Area0S#0,"""삼림 에어리어"""
Area0L#0,"""행성 나베리우스 삼림 에어리어"""
Area1S#0,"""괴세구역 유적 에어리어"""
Area1L#0,"""행성 나베리우스 괴세구역 유적 에어리어"""
Area2S#0,"""괴세구역 삼림 에어리어1"""
Area2L#0,"""행성 나베리우스 괴세구역 삼림 에어리어1"""
Area3S#0,"""괴세구역 삼림 에어리어2"""
Area3L#0,"""행성 나베리우스 괴세구역 삼림 에어리어2"""
Area4S#0,"""괴세구역 삼림 에어리어3"""
Area4L#0,"""행성 나베리우스 괴세구역 삼림 에어리어3"""
Area5S#0,"""괴세구역 유적 에어리어"""
Area5L#0,"""행성 나베리우스 괴세구역 유적 에어리어"""
