un_045050_0010#0,"""음~… 앗!<br>왔다 왔어! 어서 와!"""
un_045050_0020#0,"""이야~, 고마워!<br>사고 직후라 패닉 상태였는데<br>그때 <%me> 없었으면…"""
un_045050_0030#0,"""저, 저기, 에밀리아 씨."""
un_045050_0040#0,"""응, 왜 그래, 비비안?"""
un_045050_0050#0,"""<%me> 씨.<br>어안이 벙벙하신 것 같아요.<br>일단 자기소개를 하죠."""
un_045050_0060#0,"""앗, 그러고 보니 그렇네.<br>그럼 새삼스럽지만…<br>나는 에밀리아 퍼시벌."""
un_045050_0070#0,"""전 비비안이라고 합니다.<br>누군지도 모르는 저희를 도와주신 걸<br>감사드립니다."""
un_045050_0080#0,"""저희는 뭐라 해야 할까요…<br>다른 세계의 주민이라 할까요.<br>이른바 아공간에서 온 방문자거든요."""
un_045050_0090#0,"""아공간 항해 도중에 배의 상태가<br>갑자기 나빠져서 말이야~."""
un_045050_0100#0,"""나베리우스였나?<br>그 행성에 불시착해 버린 거야."""
un_045050_0110#0,"""이런 일이 있을까 봐<br>불시착에 대비해 둬서 다행이지."""
un_045050_0120#0,"""굳이 말하자면<br>불시착이 일어나지 않도록<br>준비를 부탁드리고 싶었습니다…"""
un_045050_0130#0,"""배 자체는 나베리우스라는 행성에<br>잘 숨겨뒀으니까<br>한동안은 괜찮겠지."""
un_045050_0140#0,"""하지만 불시착 때 충격으로<br>여러 부분이 부서져 버려서<br>수리해야 해."""
un_045050_0150#0,"""그런 이유로!<br>앞으로 배 수리의 가닥이 잡힐 때까지<br>여기에 머무르게 되었거든!"""
un_045050_0160#0,"""이쪽 관리자 씨의 호의에<br>기대게 되어 죄송스럽지만…<br>부디 잘 부탁드립니다."""
